,Dimensions,Phonebook,Model Image,Type_1,_1,Alarm,Model Name,Messaging,Card slot,Brand,EDGE,Speed,Stand-by,Sensors,Video_1,_2,Announced,CPU,Positioning,Technology,Loudspeaker,SIM,_3,2G bands,3.5mm jack,Video,Features,Java,Clock,Single_1,Talk time_1,Type,Games,Talk time,Call records,WLAN,Size,Single,3G bands,Bluetooth,Radio,USB,Status,Internal,Stand-by_1,OS,Colors,Alert types,Browser,GPRS,Weight,Infrared port,Resolution
Second external mono display (80 x 48 pixels),72 x 41 x 22 mm (2.83 x 1.61 x 0.87 in),100 fields,https://fdn2.gsmarena.com/vv/bigpic/tex60i.gif,Removable Li-Ion 720 mAh battery,No,,Telit X60i,"SMS, MMS",No,Telit,No,,Up to 200 h,,,Predictive text inputOrganizerVoice memo,"2004, Q2",,No,GSM,No,Mini-SIM,,GSM 900 / 1800 / 1900,No,,,No,,,,"CSTN, 65K colors",Yes,Up to 3 h 30 min,,No,,,,No,No,,Discontinued,,,,"Silver, Blue","Vibration; Downloadable polyphonic ringtones, composer",WAP 1.2.1,Class 10,65 g (2.29 oz),,"128 x 128 pixels, 1:1 ratio"
Second external display (64 x 48 pixels),97 x 52 x 28 mm (3.82 x 2.05 x 1.10 in),,https://fdn2.gsmarena.com/vv/bigpic/teg90.gif,Removable Li-Po 1000 mAh battery,Intel Xscale 200 MHz,,Telit G90,,SD,Telit,No,,Up to 100 h,,,No,"2003, Q4",Intel XScale 200 MHz,No,GSM,No,Mini-SIM,MP3/AAC/AAC+/WMA/OGG/AMR playerWMV/MP4 playerPredictive text inputVoice memo (3 min.)Organizer,GSM 900 / 1800 / 1900,No,No,,,,,,"TFT, 65K colors",,Up to 2 h,,No,"2.2 inches, 35 x 44 mm, 15.2 cm2(~30.2% screen-to-body ratio)",CIF,,No,No,Proprietary,Discontinued,"16MB RAM, 32MB ROM",,Microsoft Smartphone 2002,Silver,Vibration; Polyphonic(40) ringtones,WAP 2.0/xHTML,Class 10,135 g (4.76 oz),Yes,176 x 220 pixels (~128 ppi density)
No,108 x 45 x 20 mm (4.25 x 1.77 x 0.79 in),Yes,https://fdn2.gsmarena.com/vv/bigpic/teg83.gif,Removable Li-Ion 780 mAh battery,Predictive text inputOrganizerVoice dial/memoPhoto editor,,Telit G83,"SMS, EMS, MMS, Email",No,Telit,No,,,,,,"2003, Q4",,No,GSM,No,Mini-SIM,,GSM 900 / 1800 / 1900,No,No,,Yes,,,,"TFT, 65K colors",4,,,No,,VGA,,No,No,,Discontinued,,,,,"Vibration; Polyphonic(16) ringtones, composer",WAP 2.0/xHTML,Class 10,90 g (3.17 oz),Yes,128 x 160 pixels
3 fonts,105 x 60 x 23 mm (4.13 x 2.36 x 0.91 in),Contact groups,https://fdn2.gsmarena.com/vv/bigpic/teg80.gif,Removable Li-Ion 600 mAh battery,No,Yes,Telit G80,"SMS, EMS, MMS, Email",No,Telit,No,,Up to 160 h,"Barometer, altimeter",,Predictive text inputOrganizer,"2002, Nov",,No,GSM,No,Mini-SIM,,GSM 900 / 1800 / 1900,No,No,,No,Yes,,,"CSTN, 65K colors",Yes,Up to 6 h 30 min,,No,,QVGA,,No,No,,Discontinued,,,,,"Vibration; Polyphonic ringtones, composer",WAP 2.0/xHTML,Class 8,96 g (3.39 oz),,"160 x 120 pixels, 4:3 ratio"
3 fonts,114 x 53 x 27 mm (4.49 x 2.09 x 1.06 in),Contact groups,https://fdn2.gsmarena.com/vv/bigpic/teg82.gif,Removable Li-Ion 550 mAh battery,No,Yes,Telit G82,"SMS, EMS, MMS, Email",No,Telit,No,,Up to 250 h,,,Predictive text inputOrganizer,2002,,No,GSM,No,Mini-SIM,,GSM 900 / 1800 / 1900,No,,,No,Yes,,,"CSTN, 4096 colors",Yes,Up to 6 h 30 min,,No,,,,No,No,,Discontinued,,,,,"Vibration; Monophonic ringtones, composer",WAP 2.0/xHTML,Class 8,90 g (3.17 oz),,"128 x 96 pixels, 4:3 ratio"
Downloadable logos and backgrounds,105 x 46 x 18.5 mm (4.13 x 1.81 x 0.73 in),Contact groups,https://fdn2.gsmarena.com/vv/bigpic/teg40.gif,Removable Li-Ion 610 mAh battery,No,Yes,Telit G40,"SMS, EMS",No,Telit,No,,Up to 240 h,,,Predictive text inputChronometerOrganizer,"2003, Q2",,No,GSM,No,Mini-SIM,,GSM 900 / 1800,No,,,No,Yes,,,Monochrome graphic,"4 - Maze box, Failing, GridGuest, Dengo",Up to 2 h 30 min,Advanced,No,,,,No,No,,Discontinued,,,,,Vibration; Polyphonic ringtones,WAP 1.2.1,Class 7,75 g (2.65 oz),,101 x 80 pixels
Blue backlight3 fontsFixed iconsSoftkeys,107 x 54 x 22 mm (4.21 x 2.13 x 0.87 in),"150 entries, contact groups",https://fdn2.gsmarena.com/vv/bigpic/tegm882.gif,Removable NiMH 550 mAh battery,11 predefined messages,Yes,Telit GM 882,"SMS, EMS, Email",No,Telit,No,,Up to 200 h,,,No,2002,,No,GSM,No,Mini-SIM,Predictive text inputOrganizer,GSM 900 / 1800,No,,,No,Yes,,,Monochrome graphic,3,Up to 6 h 30 min,,No,,,,No,No,,Discontinued,,,,,"Vibration; Monophonic ringtones, composer",WAP 1.2.1,Class 8,100 g (3.53 oz),,"132 x 65 pixels, 18.5:9 ratio"
Dynamic font sizeFixed iconsSoftkeys,117 x 51 x 20 mm (4.61 x 2.01 x 0.79 in),,https://fdn2.gsmarena.com/vv/bigpic/tegm830b.gif,Removable Li-Ion 650 mAh battery,No,Yes,Telit GM 830,SMS,No,Telit,No,,52 h,,,,1999,,No,GSM,No,Mini-SIM,,GSM 900 / 1800,No,,,No,Yes,,,Monochrome graphic,No,4 h,"10 dialed, 10 received, 10 missed calls",No,,,,No,No,,Discontinued,,,,4,"Vibration; Monophonic ringtones, composer",,No,105 g (3.70 oz),,4 lines
Dynamic font sizeFixed iconsSoftkeys,117 x 51 x 18 mm (4.61 x 2.01 x 0.71 in),,https://fdn2.gsmarena.com/vv/bigpic/tegm810b.gif,Removable Li-Ion 650 mAh battery,No,Yes,Telit GM 810,SMS,No,Telit,No,,52 h,,,,1999,,No,GSM,No,Mini-SIM,,GSM 900 / 1800,No,,,No,Yes,,,Monochrome graphic,No,4 h,,No,,,,No,No,,Discontinued,,,,4,"Vibration; Monophonic ringtones, composer",,No,105 g (3.70 oz),,4 lines
Water and shock resistant,134 x 53 x 24 mm (5.28 x 2.09 x 0.94 in),,https://fdn2.gsmarena.com/vv/bigpic/teestreb.gif,Removable Li-Ion 1000 mAh battery,Dynamic font sizeFixed iconsSoftkeys,Yes,Telit Estremo,SMS,No,Telit,No,,70 h,,,No,1999,,No,GSM,No,Mini-SIM,,GSM 900,No,,,No,Yes,,,Monochrome graphic,No,5 h,,No,,,,No,No,,Discontinued,,,,3,"Monophonic ringtones, composer",,No,176 g (6.21 oz),,4 lines
Dynamic font sizeFixed iconsSoftkeys,117 x 51 x 18 mm (4.61 x 2.01 x 0.71 in),,https://fdn2.gsmarena.com/vv/bigpic/tegm710b.gif,Removable Li-Ion 650 mAh battery,No,Yes,Telit GM 710,SMS,No,Telit,No,,48 h,,,,1999,,No,GSM,No,Mini-SIM,,GSM 900,No,,,No,Yes,,4 h,Monochrome graphic,No,4 h,,No,,,,No,No,,Discontinued,,48 h,,4,"Vibration; Monophonic ringtones, composer",,No,105 g (3.70 oz),,4 lines
Dynamic font sizeFixed iconsSoftkeys,130 x 48 x 15 mm (5.12 x 1.89 x 0.59 in),,https://fdn2.gsmarena.com/vv/bigpic/tegm410b.gif,Removable Li-Ion 600 mAh battery,5 phonebook groups,Yes,Telit GM 410,SMS,No,Telit,No,,96 h,,,No,1999,,No,GSM,No,Mini-SIM,,GSM 900,No,,,No,Yes,,,Monochrome graphic,No,4 h,,No,,,,No,No,,Discontinued,,,,3,Monophonic ringtones,,No,115 g (4.06 oz),,5 lines
