,CPU,Single,Internal,Model Image,SIM,WLAN,Price,Dimensions,128GB 6GB RAM,128GB 8GB RAM,Dual,NFC,Infrared port,OS,4G bands,USB,Protection,Video,5G bands,Size,Speed,Card slot,3G bands,2G bands,64GB 3GB RAM,Positioning,Announced,Type,Video_1,Type_1,256GB 8GB RAM,Build,GPRS,Bluetooth,Radio,Chipset,Features,Sensors,Technology,Colors,Weight,Status,Models,Single_1,Loudspeaker,_1,Charging,Features_1,EDGE,GPU,_2,64GB 4GB RAM,3.5mm jack,Resolution,Model Name,Brand
IP68,,,Unspecified storage,https://fdn2.gsmarena.com/vv/bigpic/itel-smart-watch-2es.jpg,No,No,,-,,,,No,,Proprietary OS,N/A,No,,,,1.8 inches,No,No,N/A,N/A,,No,2023,IPS LCD,,250 mAh,,"Plastic back, plastic frame",No,"5.3, A2DP, LE",No,,,"Accelerometer, heart rate, SpO2",No cellular connectivity,Black,-,Available. Released 2023,,,Yes,No,,,No,,,,No,240 x 286 pixels (~207 ppi density),itel Smartwatch 2ES,itel
IP68,,,Unspecified storage,https://fdn2.gsmarena.com/vv/bigpic/itel-smart-watch-2.jpg,No,No,,-,,,,No,,Proprietary OS,N/A,No,,,,1.8 inches,No,No,N/A,N/A,,No,2023,IPS LCD,,230 mAh,,"Plastic back, plastic frame",No,"5.1, A2DP, LE",No,,,"Accelerometer, heart rate, SpO2",No cellular connectivity,Black,-,Available. Released 2023,,,Yes,No,,,No,,,,No,240 x 286 pixels (~207 ppi density),itel Smart Watch 2,itel
,Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),5 MP,"32GB 3GB RAM, 64GB 2GB RAM, 64GB 4GB RAM",https://fdn2.gsmarena.com/vv/bigpic/itel-p40.jpg,Dual SIM,Yes,About 130 EUR,-,,,13 MP0.3 MP,No,,Android 12 (Go edition),LTE,microUSB,,1080p@30fps,,"6.6 inches, 104.6 cm2","HSPA, LTE",microSDXC,HSDPA 850 / 900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,2023,IPS LCD,Yes,6000 mAh,,,,Yes,Unspecified,Unisoc SC9863A (28 nm),LED flash,"Fingerprint (rear-mounted), accelerometer",GSM / HSPA / LTE,"Force Black, Dreamy Blue, Luxurious Gold",-,Available. Released 2023,"P662L, P662LN",,Yes,,18W wired,,,IMG8322,,,Yes,"720 x 1612 pixels, 20:9 ratio (~267 ppi density)",itel P40,itel
,Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),8 MP (wide)0.08 MP (auxiliary lens),"64GB 4GB RAM, 128GB 4GB RAM",https://fdn2.gsmarena.com/vv/bigpic/itel-a60s-.jpg,Dual SIM,Yes,About 70 EUR,-,,,,No,,Android 12,"1, 3, 5, 8, 38, 40, 41","microUSB, OTG",,Yes,,"6.6 inches, 104.6 cm2","HSPA, LTE",microSDXC,HSDPA 850 / 900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,2023,IPS LCD,Yes,5000 mAh,,,,Yes,Unspecified,Unisoc SC9863A1 (28 nm),LED flash,"Fingerprint (rear-mounted), accelerometer, compass",GSM / HSPA / LTE,"Shadow Black, Glacier Green, Moonlit Violet",-,Available. Released 2023,,5 MP,Yes,,10W wired,,,IMG8322,,,Yes,"720 x 1612 pixels, 20:9 ratio (~267 ppi density)",itel A60s,itel
,Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),8 MP,32GB 2GB RAM,https://fdn2.gsmarena.com/vv/bigpic/itel-a05s.jpg,Dual SIM,Yes,About 70 EUR,-,,,,No,,Android 12 (Go edition),LTE,USB Type-C,,Yes,,"6.6 inches, 104.6 cm2","HSPA, LTE",microSDXC,HSDPA 850 / 900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,2023,IPS LCD,Yes,4000 mAh,,,,Yes,Unspecified,Unisoc SC9863A1 (28 nm),LED flash,"Fingerprint (rear-mounted), accelerometer, compass",GSM / HSPA / LTE,"Meadow Green, Nebula Black",-,Available. Released 2023,A663LC,5 MP,Yes,,,,,IMG8322,,,Yes,"720 x 1612 pixels, 20:9 ratio (~267 ppi density)",itel A05s,itel
,Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),8 MP,64GB 2GB RAM,https://fdn2.gsmarena.com/vv/bigpic/itel-s18.jpg,Dual SIM,Yes,,-,,,"8 MP (wide)0.08 MP, (macro)0.08 MP (auxiliary lens)",No,,Android 11 (Go edition),LTE,microUSB,,Yes,,"6.6 inches, 104.6 cm2","HSPA, LTE",microSDXC,HSDPA 850 / 900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,2022,IPS LCD,Yes,5000 mAh,,,,Yes,Unspecified,Unisoc SC9863A (28 nm),Dual-LED flash,"Fingerprint (rear-mounted), accelerometer",GSM / HSPA / LTE,"Mint Green, Digital Sliver, Midnight Black",-,Available. Released 2022,,,Yes,,,,,IMG8322,,,Yes,"720 x 1612 pixels, 20:9 ratio (~267 ppi density)",itel S18,itel
,Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),5 MP,64GB 2GB RAM,https://fdn2.gsmarena.com/vv/bigpic/itel-p38-pro.jpg,Dual SIM,Yes,,-,,,13 MP0.3 MP,No,,Android 11 (Go edition),LTE,microUSB,,1080p@30fps,,"6.8 inches, 111.1 cm2","HSPA, LTE",microSDXC,HSDPA 850 / 900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,2022,IPS LCD,Yes,6000 mAh,,,,Yes,Unspecified,Unisoc SC9863A (28 nm),LED flash,"Fingerprint (rear-mounted), accelerometer",GSM / HSPA / LTE,"Mint Green, Ocean Blue, Night Black",-,Available. Released 2022,,,Yes,,18W wired,,,IMG8322,,,Yes,"720 x 1612 pixels, 20:9 ratio (~260 ppi density)",itel P38 Pro,itel
,Quad-core 1.3 GHz,8 MP (wide)0.08 MP (auxiliary lens),32GB 2GB RAM,https://fdn2.gsmarena.com/vv/bigpic/itel-p38.jpg,Dual SIM,Yes,,-,,,,No,,Android 11 (Go edition),LTE,microUSB,,Yes,,"6.6 inches, 104.6 cm2","HSPA, LTE",microSDXC,HSDPA 850 / 900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,2022,IPS LCD,Yes,5000 mAh,,,,Yes,Unspecified,,LED flash,"Fingerprint (rear-mounted), accelerometer",GSM / HSPA / LTE,"Galaxy Blue, Spruce Green, Nebula Black",-,Available. Released 2022,,5 MP,Yes,,15W wired,,,,,,Yes,"720 x 1612 pixels, 20:9 ratio (~267 ppi density)",itel P38,itel
,Quad-core 1.4 GHz,5 MP,32GB 2GB RAM,https://fdn2.gsmarena.com/vv/bigpic/itel-a60.jpg,Dual SIM,Yes,,-,,,8 MP0.3 MP,No,,Android 11 or 12 (Go edition),"1, 3, 5, 8, 40, 41","microUSB, OTG",,Yes,,"6.6 inches, 104.6 cm2","HSPA, LTE",microSDXC,HSDPA 850 / 900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,2022,IPS LCD,Yes,5000 mAh,,,,Yes,Unspecified,Unisoc SC9832E (28 nm),LED flash,"Fingerprint (rear-mounted), accelerometer, proximity",GSM / HSPA / LTE,"Dawn Blue, Vert Menthe, Sapphire Black",-,Available. Released 2022,,,Yes,,10W wired,,,Mali-T820 MP1,,,Yes,"720 x 1612 pixels, 20:9 ratio (~267 ppi density)",itel A60,itel
,,5 MP (wide)0.08 MP (auxiliary lens),32GB 2GB RAM,https://fdn2.gsmarena.com/vv/bigpic/itel-a04.jpg,Dual SIM,Yes,,-,,,,No,,Android (Go edition),LTE,microUSB,,Yes,,"6.3 inches, 102.4 cm2","HSPA, LTE",microSDXC,HSDPA 850 / 900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,2023,IPS LCD,Yes,4000 mAh,,,,Yes,Unspecified,,LED flash,"Fingerprint (rear-mounted), accelerometer",GSM / HSPA / LTE,"Lake Cyan, Violet, Sandstone Black",-,Available. Released 2023,,5 MP,Yes,,,,,,,,Yes,"480 x 960 pixels, 18:9 ratio (~170 ppi density)",itel A04,itel
,Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),8 MP (wide)0.08 MP (auxiliary lens),64GB 3GB RAM,https://fdn2.gsmarena.com/vv/bigpic/itel-vision-3-turbo.jpg,Dual SIM,Yes,,-,,,,No,,Android 11 (Go edition),LTE,microUSB,,1080p@30fps,,"6.6 inches, 105.2 cm2","HSPA, LTE",microSDXC,HSDPA 850 / 900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,2022,IPS LCD,Yes,5000 mAh,,,,Yes,Unspecified,Unisoc SC9863A (28 nm),LED flash,"Fingerprint (rear-mounted), accelerometer",GSM / HSPA / LTE,Blue,-,Available. Released 2022,,5 MP,Yes,,18W wired,,,IMG8322,,,Yes,"720 x 1600 pixels, 20:9 ratio (~266 ppi density)",itel Vision 3 Turbo,itel
,Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),8 MP (wide)0.08 MP (auxiliary lens),"32GB 2GB RAM, 64GB 3GB RAM",https://fdn2.gsmarena.com/vv/bigpic/itel-vision3.jpg,Dual SIM,Yes,,-,,,,No,,Android 11 (Go edition),LTE,microUSB,,1080p@30fps,,"6.6 inches, 105.2 cm2","HSPA, LTE",microSDXC,HSDPA 850 / 900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,2022,IPS LCD,Yes,5000 mAh,,,,Yes,Unspecified,Unisoc SC9863A (28 nm),LED flash,"Fingerprint (rear-mounted), accelerometer",GSM / HSPA / LTE,Blue,-,Available. Released 2022,,5 MP,Yes,,18W wired,,,IMG8322,,,Yes,"720 x 1600 pixels, 20:9 ratio (~266 ppi density)",itel Vision 3,itel
,Quad-core 1.4 GHz,2 MP,32GB 2GB RAM,https://fdn2.gsmarena.com/vv/bigpic/itel-a23s.jpg,Dual SIM,Yes,,-,,,,No,,Android 11 (Go edition),LTE,microUSB,,Yes,,"5.0 inches, 68.9 cm2","HSPA, LTE",microSDXC,HSDPA 850 / 900 / 2100,GSM 850 / 900 / 1800 / 1900,,Unspecified,2022,IPS LCD,Yes,3020 mAh,,,,Yes,Unspecified,Unisoc SC9832E (28 nm),LED flash,Accelerometer,GSM / HSPA / LTE,"Sky Cyan, Sky Black, Ocean Blue",-,Available. Released 2022,,0.3 MP,Yes,,,LED flash,,Mali-T820 MP1,,,Yes,"480 x 854 pixels, 16:9 ratio (~196 ppi density)",itel A23S,itel
,Quad-core 1.4 GHz,5 MP,32GB 2GB RAM,https://fdn2.gsmarena.com/vv/bigpic/itel-a27.jpg,Dual SIM,Yes,,-,,,,No,,Android 11 (Go edition),LTE,microUSB,,Yes,,"5.45 inches, 76.7 cm2","HSPA, LTE",microSDXC,HSDPA 850 / 900 / 2100,GSM 850 / 900 / 1800 / 1900,,Unspecified,2022,IPS LCD,Yes,4000 mAh,,,,Yes,Unspecified,Unisoc SC9832E (28 nm),LED flash,"Fingerprint (rear-mounted), accelerometer",GSM / HSPA / LTE,Blue,-,Available. Released 2022,,2 MP,Yes,,,,,Mali-T820 MP1,,,Yes,"480 x 960 pixels, 18:9 ratio (~197 ppi density)",itel A27,itel
,Quad-core 1.4 GHz,5 MP,32GB 2GB RAM,https://fdn2.gsmarena.com/vv/bigpic/itel-a49.jpg,Dual SIM,Yes,,-,,,,No,,Android 11 (Go edition),LTE,microUSB,,Yes,,"6.6 inches, 105.2 cm2","HSPA, LTE",microSDXC,HSDPA 850 / 900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,2022,IPS LCD,Yes,4000 mAh,,,,Yes,Unspecified,Unisoc SC9832E (28 nm),LED flash,"Fingerprint (rear-mounted), accelerometer",GSM / HSPA / LTE,Blue,-,Available. Released 2022,,5 MP,Yes,,,,,Mali-T820 MP1,,,Yes,"720 x 1600 pixels, 20:9 ratio (~266 ppi density)",itel A49,itel
,Quad-core 1.4 GHz,5 MP (wide)0.08 MP (auxiliary lens),32GB 2GB RAM,https://fdn2.gsmarena.com/vv/bigpic/itel-a48.jpg,Dual SIM,Yes,,-,,,,No,,Android 10 (Go edition),LTE,microUSB,,Yes,,"6.1 inches, 89.8 cm2","HSPA, LTE",microSDXC,HSDPA 850 / 900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,2021,IPS LCD,Yes,3000 mAh,,,,Yes,Unspecified,Unisoc SC9832E (28 nm),LED flash,"Fingerprint (rear-mounted), accelerometer",GSM / HSPA / LTE,"Black, Purple, Green",-,Available. Released 2021,,5 MP,Yes,,,,,Mali-T820 MP1,,,Yes,"720 x 1600 pixels, 20:9 ratio (~288 ppi density)",itel A48,itel
,Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),5 MP,32GB 2GB RAM,https://fdn2.gsmarena.com/vv/bigpic/itel-vision-2s.jpg,Dual SIM,Yes,,166 x 76.3 x 8.9 mm (6.54 x 3.00 x 0.35 in),,,8 MP0.3 MP,No,,Android 11 (Go edition),LTE,microUSB,,1080p@30fps,,"6.52 inches, 102.6 cm2(~81.0% screen-to-body ratio)","HSPA, LTE",microSDXC,HSDPA 850 / 900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,2021,IPS LCD,Yes,5000 mAh,,,,Yes,Unspecified,Unisoc SC9863A (28 nm),LED flash,"Fingerprint (rear-mounted), accelerometer",GSM / HSPA / LTE,"Gradation Purple, Gradation Blue, Deep Blue",-,Available. Released 2021,,,Yes,,18W wired,,,IMG8322,,,Yes,"720 x 1600 pixels, 20:9 ratio (~269 ppi density)",itel Vision 2S,itel
,Quad-core 1.4 GHz,2 MP,8GB 1GB RAM,https://fdn2.gsmarena.com/vv/bigpic/itel-a23-pro.jpg,Dual SIM,Yes,,-,,,,No,,Android 10 (Go edition),LTE,microUSB,,Yes,,"5.0 inches, 68.9 cm2","HSPA, LTE",microSDXC,HSDPA 850 / 900 / 2100,GSM 850 / 900 / 1800 / 1900,,Unspecified,2021,IPS LCD,Yes,2400 mAh,,,,Yes,Unspecified,Unisoc SC9832E (28 nm),LED flash,Accelerometer,GSM / HSPA / LTE,"Sapphire Blue, Lake Blue",-,Available. Released 2021,,0.3 MP,Yes,,,LED flash,,Mali-T820 MP1,,,Yes,"480 x 854 pixels, 16:9 ratio (~196 ppi density)",itel A23 Pro,itel
,Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),8 MP,32GB 2GB RAM,https://fdn2.gsmarena.com/vv/bigpic/itel-vision-2.jpg,Dual SIM,Yes,,-,,,"13 MP, (wide)2 MP, (macro)0.08 MP (auxiliary lens)",No,,Android 10 (Go edition),LTE,microUSB,,1080p@30fps,,"6.6 inches, 105.2 cm2","HSPA, LTE",microSDXC (dedicated slot),HSDPA 850 / 900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,2021,IPS LCD,Yes,4000 mAh,,,,Yes,Unspecified,Unisoc SC9863A (28 nm),LED flash,"Fingerprint (rear-mounted), accelerometer",GSM / HSPA / LTE,Green,-,Available. Released 2021,,,Yes,,,,,IMG8322,,,Yes,"720 x 1600 pixels, 20:9 ratio (~266 ppi density)",itel Vision 2,itel
,Quad-core 1.4 GHz,5 MP,16GB 1GB RAM,https://fdn2.gsmarena.com/vv/bigpic/itel-a25.jpg,Dual SIM,Yes,,-,,,,No,,Android 9.0 (Pie),LTE,microUSB,,Yes,,"5.0 inches, 68.9 cm2","HSPA, LTE",microSDHC,HSDPA 850 / 900 / 2100,GSM 850 / 900 / 1800 / 1900,,Unspecified,2020,IPS LCD,Yes,3020 mAh,,,,Yes,Unspecified,Unisoc SC9832E (28 nm),LED flash,Accelerometer,GSM / HSPA / LTE,"Violet, Blue",-,Available. Released 2020,,2 MP,Yes,,,LED flash,,Mali-T820 MP1,,,Yes,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",itel A25,itel
IP68,,,Unspecified storage,https://fdn2.gsmarena.com/vv/bigpic/itel-smart-watch-1gs.jpg,No,No,,-,,,,No,,Proprietary OS,N/A,No,,,,1.32 inches,No,No,N/A,N/A,,No,2022,IPS LCD,,250 mAh,,"Aluminum frame, plastic back",No,Yes,No,,,"Accelerometer, heart rate, SpO2",No cellular connectivity,Black,-,Available. Released 2022,,,Yes,No,,,No,,,,No,360 x 360 pixels (~386 ppi density),itel Smartwatch 1GS,itel
IP68,,,Unspecified storage,https://fdn2.gsmarena.com/vv/bigpic/itel-smart-watch-1es.jpg,No,No,,-,,,,No,,Proprietary OS,N/A,No,,,,1.7 inches,No,No,N/A,N/A,,No,2022,IPS LCD,,220 mAh,,"Plastic back, plastic frame",No,"5.1, A2DP, LE",No,,,"Accelerometer, heart rate, SpO2",No cellular connectivity,Black,-,Available. Released 2022,ISW-11,,No,No,,,No,,,,No,240 x 283 pixels (~218 ppi density),itel Smartwatch 1ES,itel
IP67,,,Unspecified storage,https://fdn2.gsmarena.com/vv/bigpic/itel-smart-watch-1.jpg,No,No,,-,,,,No,,Proprietary OS,N/A,No,,,,1.72 inches,No,No,N/A,N/A,,No,2022,IPS LCD,,200 mAh,,"Plastic back, plastic frame",No,"5.0, A2DP, LE",No,,,"Accelerometer, heart rate, SpO2",No cellular connectivity,Black,-,Available. Released 2022,,,Yes,No,,,No,,,,No,240 x 283 pixels (~216 ppi density),itel Smart Watch 1,itel
IP54 dust protected and water resistant (water splashes),Octa-core 1.8 GHz,"13 MP, AFAuxiliary lens","64GB 3GB RAM, 64GB 4GB RAM, 128GB 3GB RAM, 128GB 4GB RAM, 256GB 4GB RAM",https://fdn2.gsmarena.com/vv/bigpic/itel-a90.jpg,Dual SIM,Yes,About 70 EUR,8.6 mm thickness,,,,No,,"Android 14, itel OS 14",LTE,"USB Type-C 2.0, OTG",,1080p@30fps,,"6.6 inches, 104.6 cm2","HSPA, LTE",microSDXC (dedicated slot),HSDPA 850 / 900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,"2025, April 20","IPS LCD, 90Hz, 480 nits (typ), 1500 nits (peak)",Yes,5000 mAh,,,,Yes,Unspecified,Unisoc T7100,"LED flash, HDR, panorama",Fingerprint (side-mounted); unspecified sensors,GSM / HSPA / LTE,"Starlit Black, Space Titanium, Aurora Blue, Cosmic Green",187 g (6.60 oz),"Available. Released 2025, April",,5 MP,Yes,Always-On Display,15W wired,,,PowerVR GE8322,eMMC 5.1,,Yes,"720 x 1612 pixels, 20:9 ratio (~267 ppi density)",itel A90,itel
IP64 dust tight and water resistant (water splashes)Drop resistant up to 1.5m,Octa-core (2x1.8 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),13 MP,"128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM, 256GB 4GB RAM",https://fdn2.gsmarena.com/vv/bigpic/itel-city-100.jpg,Nano-SIM + Nano-SIM,Yes,About 80 EUR,167.7 x 77.5 x 7.7 mm (6.60 x 3.05 x 0.30 in),,,,No,Yes,"Android 14, Pure 14.5 OS",LTE,"USB Type-C, OTG",,Yes,,"6.75 inches, 110.0 cm2(~84.6% screen-to-body ratio)","HSPA, LTE",microSDXC,HSDPA 850 / 900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,"2025, April 27","IPS LCD, 90Hz, 700 nits (HBM)",Yes,5200 mAh,,,,Yes,Unspecified,Unisoc T7250 (12 nm),"LED flash, HDR, panorama",Fingerprint (side-mounted); unspecified sensors,GSM / HSPA / LTE,"Navy Blue, Pure Titanium, Fairy Purple",185 g (6.53 oz),"Available. Released 2025, April 27",,8 MP,Yes,UFS 2.2,18W wiredReverse wired,,,Mali-G57 MP1,,,Yes,"720 x 1600 pixels, 20:9 ratio (~260 ppi density)",itel City 100,itel
