,CPU,Single,Internal,Model Image,SIM,WLAN,Price,Dimensions,128GB 6GB RAM,128GB 8GB RAM,Dual,NFC,Infrared port,OS,4G bands,USB,Protection,Video,5G bands,Size,Speed,Card slot,3G bands,2G bands,64GB 3GB RAM,Positioning,Announced,Type,Video_1,Type_1,256GB 8GB RAM,Build,GPRS,Bluetooth,Radio,Chipset,Features,Sensors,Technology,Colors,Weight,Status,Models,Single_1,Loudspeaker,_1,Charging,Features_1,EDGE,GPU,_2,64GB 4GB RAM,3.5mm jack,Resolution,Model Name,Brand
eMMC 5.1,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),"108 MP, f/1.6, (wide), 1/1.67"", 0.64µm, AF0.08 MP (auxiliary lens)","128GB 4GB RAM, 128GB 8GB RAM, 256GB 8GB RAM",https://fdn2.gsmarena.com/vv/bigpic/itel-s24.jpg,Nano-SIM + Nano-SIM,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","₹ 7,999",163.5 x 75.5 x 8.3 mm (6.44 x 2.97 x 0.33 in),,"₹ 7,999",,Yes (market/region dependent),,Android 13,"1, 3, 5, 8, 28, 38, 40, 41","USB Type-C 2.0, OTG",,"1440p@30fps, 1080p@30fps",,"6.6 inches, 104.6 cm2(~84.8% screen-to-body ratio)","HSPA, LTE",microSDXC (dedicated slot),HSDPA 850 / 900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,"2024, March 29","IPS LCD, 90Hz, 480 nits (peak)","1440p@30fps, 1080p@30fps",Li-Po 5000 mAh,,,,"5.2, A2DP, LE","FM radio, recording",Mediatek Helio G91 Ultra,LED flash,"Fingerprint (side-mounted), accelerometer, compass",GSM / HSPA / LTE,"Dawn White, Coastline Blue, Starry Black",192 g (6.77 oz),"Available. Released 2024, April",S667LN,8 MP,Yes,,"18W wired, bypass charging, 50% in 40 min",,,Mali-G52 MC2,,,Yes,"720 x 1612 pixels, 20:9 ratio (~267 ppi density)",itel S24,itel
UFS 2.2 - 256GB,Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),50 MP0.08 MP (auxiliary lens),"128GB 4GB RAM, 128GB 8GB RAM, 256GB 8GB RAM",https://fdn2.gsmarena.com/vv/bigpic/itel-p55-plus.jpg,Nano-SIM + Nano-SIM,Yes,"₹ 7,999",8.0 mm thickness,,,,Yes (market/region dependent),,Android 13,LTE,"USB Type-C, OTG",,Yes,,"6.6 inches, 104.6 cm2","HSPA, LTE",microSDXC,HSDPA 850 / 900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,"2024, January 26","IPS LCD, 90Hz",Yes,5000 mAh,"₹ 7,999",,,Yes,Unspecified,Unisoc T606 (12 nm),"Dual-LED flash, panorama",Fingerprint (side-mounted); unspecified sensors,GSM / HSPA / LTE,"Royal Green, Galaxy Blue, Meteor Purple",187 g (6.88 oz),"Available. Released 2024, February 13","P663LN, P663L",8 MP,Yes,,"45W wired, 70% in 30 min",,,Mali-G57 MP1,,,Yes,"720 x 1612 pixels, 20:9 ratio (~267 ppi density)",itel P55+,itel
UFS 2.2,Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),50 MP0.08 MP (auxiliary lens),"128GB 4GB RAM, 128GB 8GB RAM, 256GB 8GB RAM",https://fdn2.gsmarena.com/vv/bigpic/itel-p55.jpg,Nano-SIM + Nano-SIM,Yes,,8.0 mm thickness,,,,No,,Android 13,LTE,"USB Type-C, OTG",,Yes,,"6.6 inches, 104.6 cm2","HSPA, LTE",microSDXC,HSDPA 850 / 900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,"2024, January 26","IPS LCD, 90Hz",Yes,5000 mAh,,,,Yes,Unspecified,Unisoc T606 (12 nm),"Dual-LED flash, panorama",Fingerprint (side-mounted); unspecified sensors,GSM / HSPA / LTE,"Aurora Blue, Brilliant Gold, Moonlit Black, Starry Purple",190 g (6.70 oz),"Available. Released 2024, January 31","A666L, A666LN",8 MP,Yes,,18W wired,,,Mali-G57 MP1,,,Yes,"720 x 1612 pixels, 20:9 ratio (~267 ppi density)",itel P55,itel
,Octa-core,13 MP0.08 MP (auxiliary lens),"64GB 4GB RAM, 128GB 3GB RAM, 128GB 4GB RAM, 256GB 4GB RAM",https://fdn2.gsmarena.com/vv/bigpic/itel-a70.jpg,Dual SIM,Yes,,8.6 mm thickness,,,,No,,Android 13 (Go edition),LTE,USB Type-C 2.0,,Yes,,"6.6 inches, 104.6 cm2","HSPA, LTE",microSDXC (dedicated slot),HSDPA 850 / 900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,"2023, October 30","IPS LCD, 500 nits (peak)",Yes,5000 mAh,,,,Yes,Unspecified,Unisoc T603,"Dual-LED flash, HDR",Fingerprint (side-mounted); unspecified sensors,GSM / HSPA / LTE,"Brilliant Gold, Stylish Black, Field Green, Azure Blue",-,"Available. Released 2023, November",A665L,8 MP,Yes,,10W wired,,,,,,Yes,"720 x 1612 pixels, 20:9 ratio (~267 ppi density)",itel A70,itel
,Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),"50 MP, (wide), AF0.08 MP (auxiliary lens)","64GB 4GB RAM, 128GB 6GB RAM",https://fdn2.gsmarena.com/vv/bigpic/itel-power-55.jpg,Nano-SIM + Nano-SIM,Yes,"₹ 6,490",8.4 mm thickness,"₹ 6,490",,,No,,"Android 13, itel OS 13","1, 3, 5, 8, 28, 38, 40, 41",USB Type-C,,1080p@30fps,"1, 3, 5, 8, 28, 38, 40, 41, 77, 78 SA/NSA","6.6 inches, 104.6 cm2","HSPA, LTE, 5G",Unspecified,HSDPA 850 / 900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,"2023, September 26","IPS LCD, 90Hz",Yes,5000 mAh,,,,Yes,Unspecified,Mediatek Dimensity 6080 (6 nm),LED flash,"Fingerprint (side-mounted), accelerometer",GSM / HSPA / LTE / 5G,"Galaxy Blue, Mint Green",-,"Available. Released 2023, October 05","P661N, P665L",8 MP,Yes,,18W wired,,,Mali-G57 MC2,,"₹ 7,899",Yes,"720 x 1612 pixels, 20:9 ratio (~267 ppi density)",itel P55 5G,itel
Always-on display,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),"50 MP, f/1.6, (wide), AF0.08 MP (auxiliary lens)","128GB 4GB RAM, 256GB 8GB RAM",https://fdn2.gsmarena.com/vv/bigpic/itel-s23-plus-.jpg,Nano-SIM + Nano-SIM,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",About 110 EUR,7.9 mm thickness,,,,Yes (market/region dependent),,"Android 13, itel OS 13","1, 3, 5, 8, 38, 40, 41","USB Type-C 2.0, OTG",Corning Gorilla Glass 5,1080p@30fps,,"6.78 inches, 111.0 cm2","HSPA, LTE",No,HSDPA 850 / 900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,"2023, September 19","AMOLED, 500 nits (peak)",1080p@30fps,5000 mAh,,"Glass front, plastic frame, plastic back",,"5.0, A2DP, LE",Unspecified,Unisoc Tiger T616 (12 nm),LED flash,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",GSM / HSPA / LTE,"Black, Cyan",178 g (6.28 oz),"Available. Released 2023, September 19",S681LN,"32 MP, f/2.0",Yes,UFS 2.0,18W wired,,,Mali-G57 MP1,,,No,"1080 x 2400 pixels, 20:9 ratio (~388 ppi density)",itel S23+,itel
UFS 2.2,Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),"50 MP, f/1.6, (wide), AF0.08 MP (auxiliary lens)","128GB 4GB RAM, 128GB 8GB RAM, 256GB 8GB RAM",https://fdn2.gsmarena.com/vv/bigpic/itel-s23.jpg,Nano-SIM + Nano-SIM,Yes,About 170 EUR,164 x 76 x 8 mm (6.46 x 2.99 x 0.31 in),,,,No,,Android 12,"1, 3, 5, 8, 38, 40, 41 - India","USB Type-C 2.0, OTG",,1080p@30fps,,"6.6 inches, 104.6 cm2(~84.0% screen-to-body ratio)","HSPA, LTE",microSDXC (dedicated slot),HSDPA 850 / 900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,2023,"IPS LCD, 90Hz",Yes,5000 mAh,,,,Yes,Unspecified,Unisoc T606 (12 nm),LED flash,"Fingerprint (side-mounted), accelerometer",GSM / HSPA / LTE,"Starry Black, Mystery White",195 g (6.88 oz),Available. Released 2023,‎S665L,8 MP,Yes,,10W wired,LED flash,,Mali-G57 MP1,,,Yes,"720 x 1612 pixels, 20:9 ratio (~267 ppi density)",itel S23,itel
,Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),32 MP,64GB 4GB RAM,https://fdn2.gsmarena.com/vv/bigpic/itel-s18-pro.jpg,Dual SIM,Yes,,-,,,"13 MP0.08 MP, (macro)0.08 MP (auxiliary lens)",No,,"Android, itel OS 8.6",LTE,USB Type-C,,1080p@30fps,,"6.6 inches, 104.9 cm2","HSPA, LTE",microSDXC,HSDPA 850 / 900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,2023,IPS LCD,1080p@30fps,5000 mAh,,,,Yes,Unspecified,Unisoc SC9863A (28 nm),LED flash,"Fingerprint (side-mounted), accelerometer",GSM / HSPA / LTE,"Liquid Silver, Starry Black",-,Available. Released 2023,,,Yes,,10W wired,LED flash,,IMG8322,,,Yes,"1080 x 2408 pixels, 20:9 ratio (~400 ppi density)",itel S18 Pro,itel
UFS 2.2,Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),13 MP0.08 MP (auxiliary lens),128GB 4GB RAM,https://fdn2.gsmarena.com/vv/bigpic/itel-p40-plus.jpg,Dual SIM,Yes,,8.9 mm thickness,,,,No,,Android 12 or 13,"1, 3, 5, 8, 38, 40, 41 LTE",USB Type-C,,1080p@30fps,,"6.8 inches, 109.8 cm2","HSPA, LTE",microSDXC,HSDPA 850 / 900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,2023,"IPS LCD, 90Hz",Yes,7000 mAh,,,,Yes,Unspecified,Unisoc T606 (12 nm),LED flash,"Fingerprint (side-mounted), accelerometer",GSM / HSPA / LTE,"Force Black, Ice Cyan",-,Available. Released 2023,‎P683L,8 MP,Yes,,18W wired,,,Mali-G57 MP1,,,Yes,720 x 1640 pixels (~263 ppi density),itel P40+,itel
,Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),"5 MP, (wide), AF",128GB 4GB RAM,https://fdn2.gsmarena.com/vv/bigpic/itel-pad-one.jpg,Nano-SIM,Yes,,241.4 x 160.2 x 8.2 mm (9.50 x 6.31 x 0.32 in),,,,No,,Android 12 (Go edition),"1, 3, 5, 7, 8, 20, 28, 38, 40, 41","USB Type-C 2.0, OTG",,1080p@30fps,,"10.1 inches, 295.8 cm2(~76.5% screen-to-body ratio)","HSPA, LTE",microSDXC,HSDPA 2100,,,GPS,2023,IPS,1080p@30fps,6000 mAh,,"Glass front, aluminum back, aluminum frame",,Yes,FM radio,Unisoc SC9863A1 (28 nm),LED flash,Accelerometer,HSPA / LTE,"Light Blue, Deep Grey",-,Available. Released 2023,,"8 MP, (wide)","Yes, with dual speakers",,10W wired,,,IMG8322,,,Yes,"800 x 1280 pixels, 16:10 ratio (~149 ppi density)",itel Pad One,itel
