,Card slot,Battery (new),Triple,Charging,Size,256GB 16GB RAM,1TB 24GB RAM,32GB 2GB RAM,Bluetooth,OS,5G bands,Features_1,Video,256GB 8GB RAM,_10,2G bands,Announced,64GB 4GB RAM,Model Image,Dimensions,Models,256GB 12GB RAM,Resolution,WLAN,Chipset,Audio quality,Protection,Video_1,_3,_6,GPU,GPRS,EDGE,128GB 4GB RAM,USB,Sensors,Speed,NFC,SAR EU,Performance,SAR,Weight,128GB 6GB RAM,Quad,SIM,_1,_4,Features,Dual,Brand,Display,Type,Single_1,_8,Loudspeaker,_5,Technology,_7,Battery (old),Infrared port,Camera,3.5mm jack,Single,Colors,128GB 8GB RAM,Internal,_2,Radio,3G bands,Build,Loudspeaker_1,_9,CPU,Positioning,Status,Type_1,4G bands,Model Name,512GB 16GB RAM,Price
IP68 dust/water resistant (up to 1.5m for 30 min)Waterproof (5ATM)Compatible with standard 22mm straps,No,,,7.5W wired,1.43 inches,,,,"5.0, A2DP, LE",ColorOS Watch 6.0,,,,,,GSM 850 / 900 / 1800 / 1900,"2024, June 27",,https://fdn2.gsmarena.com/vv/bigpic/oneplus-watch2-china.jpg,47.6 x 46.6 x 12.1 mm (1.87 x 1.83 x 0.48 in),,,466 x 466 pixels (~326 ppi density),"Wi-Fi 802.11 a/b/g/n, dual-band",Qualcomm Snapdragon W5 Gen 1 (4 nm),,,,No,,,,,,No,"Accelerometer, gyro, barometer, compass, heart rate, SpO2","HSPA, LTE",Yes,,,,37 g (1.31 oz),,,eSIM,Always-on display,,,,OnePlus,,"AMOLED, 1000 nits (HBM)",,,Yes,,GSM / HSPA / LTE,,,,,No,,"Black, Silver",,32GB 2GB RAM,eMMC,No,HSDPA 850 / 900 / 1900 / 2100,,,,,"GPS (L1+L5), GLONASS, GALILEO, BDS, QZSS","Available. Released 2024, July 03",500 mAh,LTE,OnePlus Watch 2 (eSIM),,About 230 EUR
"IP54, dust and splash resistant",microSDXC (uses shared SIM slot),,,"80W wired, 100% in 50 min5W reverse wired","6.67 inches, 107.4 cm2(~87.2% screen-to-body ratio)",,,,"5.1, A2DP, LE, aptX HD","Android 14, upgradable to Android 15, OxygenOS 15","1, 2, 3, 5, 7, 8, 12, 20, 28, 38, 40, 41, 66, 77, 78 SA/NSA",Panorama,"1080p@30fps, gyro-EIS",£ 229.00,,GSM 850 / 900 / 1800 / 1900,"2024, June 24",,https://fdn2.gsmarena.com/vv/bigpic/oneplus-nord-ce4-lite-intl.jpg,162.9 x 75.6 x 8.1 mm (6.41 x 2.98 x 0.32 in),,,"1080 x 2400 pixels, 20:9 ratio (~395 ppi density)","Wi-Fi 802.11 a/b/g/n/ac, dual-band",Qualcomm SM6375 Snapdragon 695 5G (6 nm),,,"1080p@30fps, gyro-EIS",,,Adreno 619,,,,"USB Type-C 2.0, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","HSPA, LTE, 5G",Yes,,,,191 g (6.74 oz),,,Nano-SIM + Nano-SIM,UFS 2.2,,"Dual-LED flash, HDR, panorama","50 MP, f/1.8, 25mm (wide), 1/1.95"", 0.8µm, PDAF, OIS2 MP, f/2.4, (depth)",OnePlus,,"AMOLED, 120Hz, 600 nits (typ), 1200 nits (HBM), 2100 nits (peak)",,,"Yes, with stereo speakers",,GSM / HSPA / LTE / 5G,,,,,Yes,"16 MP, f/2.4, 24mm (wide)","Super Silver, Mega Blue",,256GB 8GB RAM,,No,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,"Glass front, plastic frame, plastic back",,,Octa-core (2x2.2 GHz Kryo 660 Gold & 6x1.7 GHz Kryo 660 Silver),"GPS, GALILEO, GLONASS, BDS, QZSS","Available. Released 2024, July 02",5110 mAh,"1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 26, 28, 38, 39, 40, 41, 66",OnePlus Nord CE4 Lite,,£ 229.00
"IP54, dust and splash resistant",microSDXC (uses shared SIM slot),,,"80W wired, 100% in 52 min5W reverse wired","6.67 inches, 107.4 cm2(~87.2% screen-to-body ratio)",,,,"5.1, A2DP, LE, aptX HD","Android 14, OxygenOS 14","1, 3, 5, 8, 28, 40, 41, 77, 78 SA/NSA",Panorama,"1080p@30fps, gyro-EIS","₹ 19,999",,GSM 850 / 900 / 1800 / 1900,"2024, June 24",,https://fdn2.gsmarena.com/vv/bigpic/oneplus-nord-ce4-lite-.jpg,162.9 x 75.6 x 8.1 mm (6.41 x 2.98 x 0.32 in),CPH2621,,"1080 x 2400 pixels, 20:9 ratio (~395 ppi density)","Wi-Fi 802.11 a/b/g/n/ac, dual-band",Qualcomm SM6375 Snapdragon 695 5G (6 nm),,,"1080p@30fps, gyro-EIS",,,Adreno 619,,,,"USB Type-C 2.0, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","HSPA, LTE, 5G",No,,,,191 g (6.74 oz),,,Nano-SIM + Nano-SIM,UFS 2.2,,"Dual-LED flash, HDR, panorama","50 MP, f/1.8, 25mm (wide), 1/1.95"", 0.8µm, PDAF, OIS2 MP, f/2.4, (depth)",OnePlus,,"AMOLED, 120Hz, 600 nits (typ), 1200 nits (HBM), 2100 nits (peak)",,,"Yes, with stereo speakers",,GSM / HSPA / LTE / 5G,,,,,Yes,"16 MP, f/2.4, 24mm (wide)","Super Silver, Mega Blue, Ultra Orange","₹ 16,999","128GB 8GB RAM, 256GB 8GB RAM",,No,HSDPA 850 / 900 / 1900 / 2100,"Glass front, plastic frame, plastic back",,,Octa-core (2x2.2 GHz Kryo 660 Gold & 6x1.7 GHz Kryo 660 Silver),"GPS, GALILEO, GLONASS, BDS, QZSS","Available. Released 2024, June 28",5500 mAh,"1, 3, 4, 5, 8, 28, 40, 41",OnePlus Nord CE4 Lite (India),,"₹ 16,999"
CDMA 800,No,,,"100W wired, 100% in 26 min","6.74 inches, 109.2 cm2(~89.3% screen-to-body ratio)",,,,"5.4, A2DP, LE, aptX HD, LHDC","Android 14, ColorOS 14","1, 5, 8, 28, 41, 77, 78 SA/NSA",,"4K@30/60fps, 1080p@30/60/120fps, gyro-EIS, OIS",,,GSM 850 / 900 / 1800 / 1900,"2024, March 21",,https://fdn2.gsmarena.com/vv/bigpic/oneplus-ace-3v.jpg,162.7 x 75.2 x 8.5 mm (6.41 x 2.96 x 0.33 in),PJF110,,"1240 x 2772 pixels, 20:9 ratio (~451 ppi density)","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band",Qualcomm SM7675 Snapdragon 7+ Gen 3 (4 nm),,,1080p@30fps,,,Adreno 732,,,,USB Type-C 2.0,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","HSPA, LTE, 5G","Yes, eSE, HCE",,,,200 g (7.05 oz),,,Nano-SIM + Nano-SIM,"IP65, waterproof and dustproof",,"LED flash, HDR, panorama","50 MP, f/1.8, 26mm (wide), 1/1.95"", 0.8µm, PDAF, OIS8 MP, f/2.2, 16mm, 112˚ (ultrawide), 1/4.0"", 1.12µm",OnePlus,,"AMOLED, 1B colors, 120Hz, 1100 nits (HBM), 2150 nits (peak)",,,"Yes, with stereo speakers",,GSM / CDMA / HSPA / LTE / 5G,,,Yes,,No,"16 MP, f/2.4, 26mm (wide), 1/3"", 1.0µm","Purple, Gray",,"256GB 12GB RAM, 512GB 12GB RAM, 512GB 16GB RAM",UFS 4.0,No,HSDPA 850 / 900 / 1700(AWS) / 2100,"Glass front, glass back, plastic frame",,,Octa-core (1x2.8 GHz Cortex-X4 & 4x2.6 GHz Cortex-A720 & 3x1.9 GHz Cortex-A520),"GPS (L1+L5), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5), GLONASS","Available. Released 2024, March 25",5500 mAh,"1, 3, 4, 5, 8, 28, 34, 38, 39, 40, 41",OnePlus Ace 3V,,About 260 EUR
"IP54, dust and splash resistant",microSDXC (uses shared SIM slot),,,"100W wired, 100% in 29 min","6.7 inches, 108.0 cm2(~88.3% screen-to-body ratio)",,,,"5.4, A2DP, LE, aptX HD, LHDC","Android 14, ColorOS 14","1, 3, 5, 8, 28, 77, 78 SA/NSA",Panorama,"4K@30fps, 1080p@30/60/120fps, gyro-EIS, OIS","₹ 23,249",,GSM 850 / 900 / 1800 / 1900,"2024, April 01",,https://fdn2.gsmarena.com/vv/bigpic/oneplus-nord-ce4-.jpg,162.5 x 75.3 x 8.4 mm (6.40 x 2.96 x 0.33 in),CPH2613,,"1080 x 2412 pixels, 20:9 ratio (~394 ppi density)","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band",Qualcomm SM7550-AB Snapdragon 7 Gen 3 (4 nm),,,1080p@30fps,,,Adreno 720,,,,USB Type-C 2.0,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","HSPA, LTE, 5G",No,,AnTuTu: 839564 (v10)GeekBench: 3029 (v6)3DMark: 1494 (Wild Life Extreme),1.16 W/kg (head)     0.91 W/kg (body),186 g (6.56 oz),,,Nano-SIM + Nano-SIM,UFS 3.1,,"Dual-LED flash, HDR, panorama","50 MP, f/1.8, 26mm (wide), 1/1.95"", 0.8µm, PDAF, OIS8 MP, f/2.2, 16mm, 112˚ (ultrawide), 1/4.0"", 1.12µm",OnePlus,,"Fluid AMOLED, 1B colors, 120Hz, HDR10+, 900 nits (HBM), 1100 nits (peak)",,,"Yes, with stereo speakers",,GSM / HSPA / LTE / 5G,,,Yes,,No,"16 MP, f/2.4, 26mm (wide), 1/3.0"", 1.0µm","Celadon Marble, Dark Chrome","₹ 20,598","128GB 8GB RAM, 256GB 8GB RAM",24-bit/192kHz Hi-Res & Hi-Res wireless audio,No,HSDPA 900 / 2100,,,,Octa-core (1x2.63 GHz Cortex-A715 & 4x2.4 GHz Cortex-A715 & 3x1.8 GHz Cortex-A510),"GPS, GALILEO, GLONASS, BDS, QZSS","Available. Released 2024, April 04",5500 mAh,"1, 3, 5, 8, 28, 40, 41",OnePlus Nord CE4,,"₹ 20,598"
IP68 dust/water resistant (up to 1.5m for 30 min)MIL-STD-810H compliantWaterproof (5ATM)Compatible with standard 22mm straps,No,,,7.5W wired,1.43 inches,,,€ 229.65,"5.0, A2DP, LE",Android Wear OS 4,,,,,,N/A,"2024, February 26",,https://fdn2.gsmarena.com/vv/bigpic/oneplus-watch-2.jpg,47 x 46.6 x 12.1 mm (1.85 x 1.83 x 0.48 in),,,466 x 466 pixels (~326 ppi density),"Wi-Fi 802.11 a/b/g/n, dual-band",Qualcomm Snapdragon W5 Gen 1 (4 nm),,Sapphire crystal glass,,No,,,No,No,,No,"Accelerometer, gyro, barometer, compass, heart rate, SpO2",No,Yes,,,,49 g (1.73 oz),,,No,Always-on display,,,,OnePlus,,"AMOLED, 1000 nits (HBM)",,,Yes,,No cellular connectivity,,,,,No,,"Black Steel, Radiant Steel",,32GB 2GB RAM,eMMC,No,N/A,"Sapphire crystal front, stainless steel frame, plastic back",,,,"GPS (L1+L5), GLONASS, GALILEO, BDS, QZSS","Available. Released 2024, March 05",500 mAh,N/A,OnePlus Watch 2,,"€ 229.65 / ₹ 19,999"
,No,,,"33W wired, 51% in 30 min","6.72 inches, 109.0 cm2(~86.6% screen-to-body ratio)",,,,"5.3, A2DP, LE","Android 13, OxygenOS 13.1","1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 66, 77, 78 SA/NSA",,1080p@30fps,,,GSM 850 / 900 / 1800 / 1900,"2024, January 29",,https://fdn2.gsmarena.com/vv/bigpic/oneplus-nord-n30-se-5g.jpg,165.6 x 76 x 8 mm (6.52 x 2.99 x 0.31 in),CPH2605,,"1080 x 2400 pixels, 20:9 ratio (~392 ppi density)","Wi-Fi 802.11 a/b/g/n/ac, dual-band",Mediatek Dimensity 6020 (7 nm),,,1080p@30fps,,,Mali-G57 MC2,,,€ 136.06,"USB Type-C 2.0, OTG","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","HSPA, LTE, 5G",Yes,,,,193 g (6.81 oz),,,Nano-SIM + Nano-SIM,,,"LED flash, HDR, panorama","50 MP, f/1.8, (wide), 1/2.76"", 0.64µm, PDAF2 MP, f/2.4, (depth)",OnePlus,,IPS LCD,,,"Yes, with stereo speakers",,GSM / HSPA / LTE / 5G,,,,,Yes,"8 MP, f/2.0, (wide), 1/4.0"", 1.12µm","Black Satin, Cyan",,128GB 4GB RAM,,No,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"Glass front, plastic frame, plastic back",,,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),"GPS, GALILEO, GLONASS, BDS","Available. Released 2024, January 31",5000 mAh,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 26, 28, 38, 39, 40, 41, 66",OnePlus Nord N30 SE,,€ 136.06 / $ 299.99
CDMA 800,No,Active use score 14:32h,"50 MP, f/1.8, 24mm (wide), 1/1.56"", 1.0µm, multi-directional PDAF, OIS8 MP, f/2.2, 16mm, 112˚ (ultrawide), 1/4.0"", 1.12µm2 MP, f/2.4, (macro)","100W wired, 100% in 26 min","6.78 inches, 111.7 cm2(~90.9% screen-to-body ratio)",€ 609.89,,,"5.3, A2DP, LE, aptX HD","Android 14, up to 3 major Android upgrades, OxygenOS 15","1, 2, 3, 5, 7, 8, 12, 20, 28, 38, 40, 41, 66, 77, 78 SA/NSA","HDR, panorama","4K@30/60fps, 1080p@30/60/120/240fps, gyro-EIS, OIS","₹ 39,990",,GSM 850 / 900 / 1800 / 1900,"2024, January 23",,https://fdn2.gsmarena.com/vv/bigpic/oneplus-12r-new.jpg,163.3 x 75.3 x 8.8 mm (6.43 x 2.96 x 0.35 in),"CPH2609, CPH2585, CPH2611",,1264 x 2780 pixels (~450 ppi density),"Wi-Fi 802.11 a/b/g/n/ac/6/7, dual-band",Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm),,Corning Gorilla Glass Victus 2,"1080p@30fps, gyro-EIS",,,Adreno 740,,,,USB Type-C 2.0,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","HSPA, LTE (CA), 5G",Yes,,AnTuTu: 1518552 (v10)GeekBench: 5245 (v6)3DMark: 3732 (Wild Life Extreme),1.19 W/kg (head)     0.82 W/kg (body),207 g (7.30 oz),,,Nano-SIM + Nano-SIM,"IP64, waterproof and dustproof",,"Laser AF, color spectrum sensor, LED flash, HDR, panorama",,OnePlus,1181 nits max brightness (measured),"LTPO4 AMOLED, 1B colors, 120Hz, HDR10+, Dolby Vision, 1600 nits (HBM), 4500 nits (peak)",,,"Yes, with stereo speakers",,GSM / CDMA / HSPA / LTE / 5G,,,Yes,,No,"16 MP, f/2.4, 26mm (wide), 1/3"", 1.0µm","Iron Gray, Cool Blue, Electric Violet, Sunset Dune",$ 499.99,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM, 256GB 16GB RAM",UFS 3.1,No,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"Glass front (Gorilla Glass Victus 2), aluminum frame, glass back",-25.8 LUFS (Very good),,Octa-core (1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),"GPS, GALILEO, GLONASS, BDS, QZSS","Available. Released 2024, February 06",5500 mAh,"1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 26, 28, 32, 38, 39, 40, 41, 66",OnePlus 12R,,"€ 609.89 / $ 499.99 / £ 579.00 / ₹ 39,990"
CDMA 800,No,Active use score 14:11h,"50 MP, f/1.6, 23mm (wide), 1/1.43"", 1.12µm, multi-directional PDAF, OIS64 MP, f/2.6, 70mm (periscope telephoto), 1/2.0"", 0.7µm, PDAF, OIS, 3x optical zoom48 MP, f/2.2, 14mm, 114˚ (ultrawide), 1/2.0"", 0.8µm, PDAF","100W wired, PD, QC, 100% in 26 min (International)80W wired, PD, QC, 100% in 30 min (USA)50W wireless, 100% in 55 min10W reverse wireless","6.82 inches, 113.0 cm2(~90.8% screen-to-body ratio)",,,,"5.4, A2DP, LE, aptX HD, LHDC","Android 14, up to 4 major Android upgrades, OxygenOS 15 (International), ColorOS 14 (China)","1, 2, 3, 5, 7, 8, 12, 20, 25, 28, 30, 38, 40, 41, 66, 71, 77, 78 SA/NSA - International","HDR, panorama","8K@24fps, 4K@30/60fps, 1080p@30/60/240/480fps, Auto HDR, gyro-EIS, Dolby Vision",,,GSM 850 / 900 / 1800 / 1900,"2023, December 05",,https://fdn2.gsmarena.com/vv/bigpic/oneplus-12.jpg,164.3 x 75.8 x 9.2 mm (6.47 x 2.98 x 0.36 in),"PJD110, CPH2573, CPH2581, CPH2583",€ 693.12,1440 x 3168 pixels (~510 ppi density),"Wi-Fi 802.11 a/b/g/n/ac/6e/7, tri-band, Wi-Fi Direct",Qualcomm SM8650-AB Snapdragon 8 Gen 3 (4 nm),,Corning Gorilla Glass Victus 2,"4K@30fps, 1080p@30fps, gyro-EIS","1, 3, 4, 5, 7, 8, 18, 19, 20, 26, 28, 34, 38, 39, 40, 41, 66 - India, China",Always-on display,Adreno 750,,,,"USB Type-C 3.2, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","HSPA, LTE (CA), 5G","Yes, eSE, HCE",,AnTuTu: 1821801 (v10)GeekBench: 5124 (v6)GFXBench ES 3.1: 157fps (offscreen 1080p),1.18 W/kg (head)     0.68 W/kg (body),220 g (7.76 oz),,,Nano-SIMNano-SIM + Nano-SIM +eSIM(max 2 at a time)Nano-SIM + Nano-SIM,"HSDPA 850 / 900 / 1700(AWS) / 2100 - India, China","1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 66, 77, 78 SA/NSA - India, China","Hasselblad Color Calibration, color spectrum sensor, Dual-LED flash, HDR, panorama",,OnePlus,1155 nits max brightness (measured),"LTPO AMOLED, 1B colors, 120Hz, Dolby Vision, HDR10+, 600 nits (typ), 1600 nits (HBM), 4500 nits (peak)",,24-bit/192kHz Hi-Res audio,"Yes, with stereo speakers","IP65, waterproof and dustproof",GSM / CDMA / HSPA / CDMA2000 / LTE / 5G,UFS 4.0,,Yes,Photo/Video,No,"32 MP, f/2.4, 21mm (wide), 1/2.74"", 0.8µm","Flowy Emerald, Silky Black, Silver (Glacial White)",,"256GB 12GB RAM, 256GB 16GB RAM, 512GB 16GB RAM, 1TB 16GB RAM, 1TB 24GB RAM",CDMA2000 1x,No,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - International,"Glass front (Gorilla Glass Victus 2), glass back (Gorilla Glass), aluminum frame",-26.3 LUFS (Good),,Octa-core (1x3.3 GHz Cortex-X4 & 3x3.2 GHz Cortex-A720 & 2x3.0 GHz Cortex-A720 & 2x2.3 GHz Cortex-A520),"GPS (L1+L5), GLONASS (G1), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5), NavIC","Available. Released 2023, December 11",Li-Po 5400 mAh,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 30, 32, 38, 39, 40, 41, 48, 66, 71 - International",OnePlus 12,€ 758.98,"€ 693.12 / $ 526.93 / £ 730.00 / ₹ 47,999"
CDMA 800,No,,"50 MP, f/1.8, 24mm (wide), 1/1.56"", 1.0µm, PDAF, OIS8 MP, f/2.2, 16mm, 112˚ (ultrawide), 1/4.0"", 1.12µm2 MP, f/2.4, (macro)","100W wired, 100% in 27 min","6.78 inches, 111.7 cm2(~90.9% screen-to-body ratio)",,,,"5.3, A2DP, LE, aptX HD","Android 14, ColorOS 14","1, 3, 5, 8, 28, 41, 77, 78 SA/NSA",HDR,"4K@30/60fps, 1080p@30/60/120/240fps, gyro-EIS, OIS",,,GSM 850 / 900 / 1800 / 1900,"2024, January 04",,https://fdn2.gsmarena.com/vv/bigpic/oneplus-ace3.jpg,163.3 x 75.3 x 8.8 mm (6.43 x 2.96 x 0.35 in),PJE110,,1264 x 2780 pixels (~450 ppi density),"Wi-Fi 802.11 a/b/g/n/ac/6/7, dual-band",Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm),,Corning Gorilla Glass Victus 2,1080p@30fps,,,Adreno 740,,,,USB Type-C 2.0,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","HSPA, LTE (CA), 5G","Yes, eSE, HCE",,,,207 g (7.30 oz),,,Nano-SIM + Nano-SIM,Aircraft-grade aluminum alloy,,"Color spectrum sensor, LED flash, HDR, panorama",,OnePlus,,"LTPO AMOLED, 1B colors, 120Hz, HDR10+, Dolby Vision, 1600 nits (HBM), 4500 nits (peak)",,,"Yes, with stereo speakers",,GSM / CDMA / HSPA / LTE / 5G,,,Yes,,No,"16 MP, f/2.4, 26mm (wide), 1/3"", 1.0µm","Black, Blue, Rose Gold",,"256GB 12GB RAM, 512GB 16GB RAM, 1TB 16GB RAM",UFS 4.0,No,HSDPA 850 / 900 / 1700(AWS) / 2100,"Glass front (Gorilla Glass Victus 2), glass back, aluminum frame",,,Octa-core (1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),"GPS (L1+L5), GLONASS (G1), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5)","Available. Released 2024, January 15",5500 mAh,"1, 3, 4, 5, 8, 18, 19, 26, 28, 34, 38, 39, 40, 41",OnePlus Ace 3,,About 340 EUR
IPX4 splash resistant,No,Active use score 11:59h,"48 MP, f/1.7, 24mm (wide), 1/1.43"", 1.12µm, multi-directional PDAF, OIS64 MP, f/2.6, 70mm (telephoto), 1/2.0"", 0.7µm, PDAF, OIS, 3x optical zoom48 MP, f/2.2, 14mm, 114˚ (ultrawide), 1/2.0"", 0.8µm, PDAF","67W wired, PD, 100% in 42 minReverse wired","7.82 inches, 196.7 cm2(~89.6% screen-to-body ratio)",,,,"5.3, A2DP, LE, aptX HD","Android 13, upgradable to Android 15, OxygenOS 15","1, 2, 3, 5, 7, 8, 12, 20, 25, 28, 30, 38, 40, 41, 66, 71, 75, 77, 78 SA/NSA",HDR,"4K@30/60fps, 1080p@30/60/120/240/480fps gyro-EIS, HDR10+, Dolby Vision",,,GSM 850 / 900 / 1800 / 1900,"2023, October 19",,https://fdn2.gsmarena.com/vv/bigpic/oneplus-open-10.jpg,Unfolded: 153.4 x 143.1 x 5.8 mmFolded: 153.4 x 73.3 x 11.7 mm,CPH2551,,2268 x 2440 pixels (~426 ppi density),"Wi-Fi 802.11 a/b/g/n/ac/6e/7, tri-band",Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm),,,"4K@30fps, 1080p@30fps, gyro-EIS",,,Adreno 740,,,,"USB Type-C 3.1, OTG","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","HSPA, LTE (CA), 5G",Yes,,"AnTuTu: 968130 (v9), 1349633 (v10)GeekBench: 3969 (v5.5), 4169 (v6.0)GFXBench: 51fps (ES 3.1 onscreen)",0.98 W/kg (head)     0.76 W/kg (body),239 g or 245 g (8.43 oz),,,Nano-SIM + Nano-SIM +eSIM(max 2 at a time),"Cover display:LTPO3 Super Fluid OLED, 1B colors, Dolby Vision, 120Hz, 2800 nits (peak)6.31 inches, 1116 x 2484 pixels, 431 ppi, Ceramic Guard",,"Hasselblad Color Calibration, LED flash, HDR, panorama",,OnePlus,1238 nits max brightness (measured),"Foldable LTPO3 Flexi-fluid AMOLED, 1B colors, Dolby Vision, 120Hz, 2800 nits (peak)",,,"Yes, with stereo speakers (Dolby Atmos enhanced)",,GSM / HSPA / LTE / 5G,,Endurance rating 96h,Yes,Photo/Video,No,"20MP, f/2.2, 20mm (ultrawide), 1/4.0"", 0.7µmCover camera:32MP, f/2.4, 22mm (ultrawide), 1/3.14"", 0.7µm","Emerald Dusk, Voyager Black, Apex Edition",,"512GB 16GB RAM, 1TB 16GB RAM",UFS 4.0,No,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,"Glass front (Ceramic Guard) (folded), plastic front (unfolded), glass back or eco leather back, aluminum frame",-28.2 LUFS (Average),,Octa-core (1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),"GPS (L1+L5), GLONASS, BDS, GALILEO (E1+E5a), QZSS","Available. Released 2023, October 26",Li-Po 4805 mAh,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 30, 32, 38, 39, 40, 41, 46, 48, 66, 71",OnePlus Open,"€ 1,799.00","€ 1,799.00 / $ 969.00 / ₹ 99,998"
Stylus support,microSDXC (dedicated slot),,,33W wired,"11.35 inches, 396.1 cm2(~82.6% screen-to-body ratio)",,,,"5.2, A2DP, LE, aptX HD","Android 13, OxygenOS 13.2",,,1080p@30fps,,,GSM 850 / 900 / 1800 / 1900,"2023, October 06",,https://fdn2.gsmarena.com/vv/bigpic/oneplus-pad-go.jpg,255.1 x 188 x 6.9 mm (10.04 x 7.40 x 0.27 in),,,1720 x 2408 pixels (~260 ppi density),"Wi-Fi 802.11 a/b/g/n/ac, dual-band",Mediatek Helio G99 (6 nm),,,1080p@30fps,,,Mali-G57 MC2,,,,USB Type-C 2.0,"Accelerometer, proximity (accessories only), gyro, compass","HSPA, LTE - cellular model only",No,,,,532 g (1.17 lb),,,Yes - cellular model only,UFS 2.2,,,,OnePlus,,"IPS LCD, 90Hz, 400 nits (typ)",8 MP,,"Yes, with stereo speakers (4 speakers)",,GSM / HSPA / LTE,,,,,No,8 MP,Twin Mint,,"128GB 8GB RAM, 256GB 8GB RAM",,No,HSDPA 850 / 900 / 2100,,,,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),No,"Available. Released 2023, October 20",Li-Po 8000 mAh,LTE,OnePlus Pad Go,,About 230 EUR
