,Brand,SAR EU,3.5mm jack,_1,CPU,Weight,Protection,Phonebook,Price,NFC,Positioning,Speed,Dual,Resolution,Games,Talk time,Size,Status,GPU,Technology,Colors,Triple,Audio quality,WLAN,Charging,Stand-by,3G bands,Announced,Messaging,Model Name,GPRS,Video_1,Type_1,2G bands,SIM,Type,Chipset,Bluetooth,OS,USB,SAR,Single_1,Keyboard,Java,EDGE,Sensors,Alert types,Video,Dimensions,Features,5G bands,Single,Browser,Quad,_2,Internal,Models,Call records,Features_1,Loudspeaker,_3,Card slot,Model Image,Radio,4G bands
No,T_Mobile,1.10 W/kg (head),Yes,MP4/H.264 playerMP3/WAV/eAAC+ playerOrganizerDocument viewerVoice memo/dialPredictive text input,,100 g (3.53 oz),,,,,"GPS, A-GPS",HSPA 3.6/0.384 Mbps,,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",,Up to 4 h,"2.8 inches, 24.3 cm2(~42.4% screen-to-body ratio)",Discontinued,,GSM / HSPA,Black,,,Wi-Fi 802.11 b/g,,Up to 200 h,HSDPA,"2011, Q4. Released 2011, December",,T-Mobile Arizona,Class 12,,Removable Li-Ion 1100 mAh battery,GSM 850 / 900 / 1800 / 1900,Mini-SIM,"TFT, 256K colors",,"2.1, A2DP, EDR",Android OS,microUSB 2.0,,,,,Class 12,Accelerometer,,Yes,104 x 55 x 12.9 mm (4.09 x 2.17 x 0.51 in),,,2 MP,,,,100MB,,,,Yes,,"microSDHC (dedicated slot), 2 GB included",https://fdn2.gsmarena.com/vv/bigpic/t-mobile-arizona.jpg,,
MP4/WMV/H.264 playerMP3/WAV/WMA/eAAC+ playerOrganizerDocument viewerVoice memo/dialPredictive text input,T_Mobile,,Yes,,,118 g (4.16 oz),,,About 170 EUR,,"GPS, A-GPS",HSPA,,"480 x 800 pixels, 5:3 ratio (~267 ppi density)",,Up to 4 h,"3.5 inches, 34.9 cm2(~52.3% screen-to-body ratio)",Discontinued,,GSM / HSPA,Black,,,"Wi-Fi 802.11 b/g/n, hotspot",,Up to 200 h,HSDPA 900 / 2100,"2011, November. Released 2011, November",,T-Mobile Vivacity,,,Removable Li-Ion 1500 mAh battery,GSM 850 / 900 / 1800 / 1900,Mini-SIM,"TFT, 256K colors",,Yes,Android 2.3 (Gingerbread),microUSB 2.0,,Yes,,,,"Accelerometer, proximity, compass",,Yes,115 x 58 x 10.5 mm (4.53 x 2.28 x 0.41 in),LED flash,,5 MP,,,,512MB,,,,Yes,,"microSDHC (dedicated slot), 2 GB included",https://fdn2.gsmarena.com/vv/bigpic/t-mobile-vivacity.jpg,"Stereo FM radio, RDS",
T-Mobile TVMP4/WMV/H.264 playerMP3/WAV/WMA/eAAC+ playerOrganizerDocument viewerVoice memo/dial/commandsPredictive text input,T_Mobile,,Yes,,Dual-core 1.2 GHz Scorpion,184 g (6.49 oz),,,About 350 EUR,,"GPS, A-GPS",HSPA 14.4/5.76 Mbps,,"480 x 800 pixels, 5:3 ratio (~252 ppi density)",,Up to 9 h (2G) / Up to 7 h (3G),"3.7 inches, 39.0 cm2(~48.4% screen-to-body ratio)",Discontinued,Adreno 220,GSM / HSPA,"White, Black",,,"Wi-Fi 802.11 b/g/n, DLNA, hotspot",,Up to 300 h (2G) / Up to 240 h (3G),HSDPA 1700 / 2100,"2011, June. Released 2011, July",,T-Mobile myTouch 4G Slide,,,Removable Li-Ion 1520 mAh battery,GSM 850 / 900 / 1800 / 1900,Mini-SIM,S-LCD,,"3.0, A2DP, EDR",Android 2.3.4 (Gingerbread),microUSB 2.0,,Yes,QWERTY,,,"Accelerometer, proximity",,1080p@30fps,122 x 66 x 14 mm (4.80 x 2.60 x 0.55 in),"Dual-LED flash, HDR",,"8 MP, AF",,,,4GB 768MB RAM,,,,Yes,,"microSDHC (dedicated slot), 8 GB included",https://fdn2.gsmarena.com/vv/bigpic/t-mobile-mytouch-4g-slide.jpg,"Stereo FM radio, RDS",
No,T_Mobile,,Yes,SNS applicationsMP3/WAV/AAC+ playerMP4/H.263 playerOrganizerPredictive text input,,121 g (4.27 oz),,"500 entries, Photocall",,,No,,,"320 x 480 pixels, 3:2 ratio (~165 ppi density)",Yes,Up to 4 h 30 min,"3.5 inches, 36.5 cm2(~52.2% screen-to-body ratio)",Discontinued,,GSM,Black,,,Wi-Fi 802.11 b/g,,Up to 200 h,,2011. Released 2011,"SMS, MMS, Email",T-Mobile Energy,Yes,,Removable Li-Ion battery,GSM 850 / 900 / 1800 / 1900,Mini-SIM,"TFT, 256K colors",,Yes,,microUSB 2.0,,,,Yes,Yes,,,Yes,116.5 x 60 x 12 mm (4.59 x 2.36 x 0.47 in),,,3.15 MP,,,,,,"20 dialed, 20 received, 20 missed calls",,Yes,,"microSD (dedicated slot), 2 GB included",https://fdn2.gsmarena.com/vv/bigpic/tmobile-energy.jpg,FM radio,
T-Mobile TVMP4/H.264 playerMP3/WAV/eAAC+ playerOrganizerPhoto/video editorDocument editorPredictive text input (Swype),T_Mobile,,Yes,,Dual-core 1.2 GHz Scorpion,607.8 (1.34 lb),,,About 350 EUR,,"GPS, A-GPS",HSPA 42.2/5.76 Mbps,,"800 x 1280 pixels, 16:10 ratio (~216 ppi density)",,Up to 7 h,"7.0 inches, 142.1 cm2(~58.0% screen-to-body ratio)",Discontinued,Adreno 220,GSM / HSPA,Black,,,"Wi-Fi 802.11 b/g/n, hotspot",,Up to 288 h,HSDPA 850 / 1700 / 2100,"2011, October. Released 2011, December",,T-Mobile SpringBoard,,,Non-removable Li-Po 7000 mAh battery,GSM 850 / 900 / 1800 / 1900,Mini-SIM,TFT,Qualcomm MSM8260 Snapdragon S3,"2.1, A2DP","Android 3.2 (Honeycomb), upgradable to 4.0 (Ice Cream Sandwich)",2.0,,1.3 MP,,,,"Accelerometer, compass",,720p,190 x 129 x 10.4 mm (7.48 x 5.08 x 0.41 in),,,"5 MP, AF",,,,16GB,,,,Yes,,microSDHC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/t-mobile-springboard.jpg,No,
No,T_Mobile,,Yes,T-Mobile TVMP4/WMV/H.264 playerMP3/WAV/WMA/eAAC+ playerOrganizerDocument viewerVoice memo/dial/commandsPredictive text input (Swype),1.0 GHz Scorpion,160 g (5.64 oz),,,About 190 EUR,,"GPS, A-GPS",HSPA 42.2/5.76 Mbps,,"320 x 480 pixels, 3:2 ratio (~165 ppi density)",,Up to 3 h 20 min,"3.5 inches, 36.5 cm2(~47.1% screen-to-body ratio)",Discontinued,Adreno 205,GSM / HSPA,"Gray, Violet",,,"Wi-Fi 802.11 b/g/n, DLNA, UMA, hotspot",,Up to 280 h,HSDPA 1700 / 2100,"2011, October. Released 2011, November",,T-Mobile myTouch Q,,,Removable Li-Ion 1500 mAh battery,GSM 850 / 900 / 1800 / 1900,Mini-SIM,TFT,Qualcomm MSM8255 Snapdragon S2,"3.0, A2DP, EDR",Android 2.3 (Gingerbread),microUSB 2.0,,,QWERTY,,,"Accelerometer, proximity",,720p@30fps,121 x 64 x 13 mm (4.76 x 2.52 x 0.51 in),LED flash,,"5 MP, AF",,,,2GB 512MB RAM,,,,Yes,,"microSDHC (dedicated slot), 2 GB included",https://fdn2.gsmarena.com/vv/bigpic/tmobile-mytouch-q.jpg,"Stereo FM radio, RDS",
T-Mobile TVMP4/WMV/H.264 playerMP3/WAV/WMA/eAAC+ playerOrganizerDocument viewerVoice memo/dial/commandsPredictive text input (Swype),T_Mobile,,Yes,,1.0 GHz Scorpion,108 g (5.64 oz),,,About 190 EUR,,"GPS, A-GPS",HSPA 42.2/5.76 Mbps,,"480 x 800 pixels, 5:3 ratio (~246 ppi density)",,Up to 4 h,"3.8 inches, 41.1 cm2(~52.6% screen-to-body ratio)",Discontinued,Adreno 205,GSM / HSPA,"Black, White",,,"Wi-Fi 802.11 b/g/n, DLNA, UMA, hotspot",,Up to 312 h,HSDPA 1700 / 2100,"2011, October. Released 2011, November",,T-Mobile myTouch,,,Removable Li-Ion 1500 mAh battery,GSM 850 / 900 / 1800 / 1900,Mini-SIM,AMOLED,Qualcomm MSM8255 Snapdragon S2,"3.0, A2DP, EDR",Android 2.3 (Gingerbread),microUSB 2.0,,Yes,,,,"Accelerometer, proximity, compass",,720p@30fps,122 x 64 x 10 mm (4.80 x 2.52 x 0.39 in),,,"5 MP, AF",,,,2GB 512MB RAM,,,,Yes,,"microSDHC (dedicated slot), 2 GB included",https://fdn2.gsmarena.com/vv/bigpic/tmobile-mytouch.jpg,No,
HDMI portMP4/DivX/XviD/H.264/WMV playerMP3/WAV/WMA/eAAC+ playerDocument viewer/editorOrganizerVoice memoPredictive text input,T_Mobile,,Yes,,Dual-core 1.0 GHz Cortex-A9,621 g (1.37 lb),,,About 710 EUR,,"GPS, A-GPS",HSPA 10.2/2 Mbps,,"768 x 1280 pixels, 5:3 ratio (~168 ppi density)",,Up to 9 h 20 min,"8.9 inches, 225.5 cm2(~61.7% screen-to-body ratio)",Discontinued,ULP GeForce,GSM / HSPA,Black,,,"Wi-Fi 802.11 b/g/n, DLNA, hotspot",,Up to 273 h,HSDPA 1700 / 2100,"2011, February. Released 2011, April",,T-Mobile G-Slate,,,Non-removable Li-Ion battery,GSM 850 / 900 / 1800 / 1900,Mini-SIM,3D LCD,Nvidia Tegra 2 T20,"2.1, A2DP, EDR",Android 3.0 (Honeycomb),microUSB 2.0,,2 MP,,,,"Accelerometer, proximity, compass",,"1080p@24fps (2D), 720@30fps (3D)",243.8 x 150 x 12.7 mm (9.60 x 5.91 x 0.5 in),LED flash,,"5 MP, AF5 MP, AF","HTML, Adobe Flash",,,32GB,,,,"Yes, with stereo speakers",,microSDHC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/t-mobile-g-slate-3d.jpg,No,
No,T_Mobile,,Yes,MP3/AAC+/WAV/WMA playerMP4/H.264 playerOrganizerDocument viewerVoice memo/dialPredictive text input,600 MHz,120 g (4.23 oz),,,,,"GPS, A-GPS",HSPA 7.2/2 Mbps,,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",,,"2.8 inches, 24.3 cm2(~38.5% screen-to-body ratio)",Discontinued,,GSM / HSPA,"Red, Black, Pink",,,Wi-Fi 802.11 b/g,,,HSDPA 900 / 2100,"2011, June. Released 2011, Q2",,T-Mobile Move,,,Removable Li-Ion 1300 mAh battery,GSM 850 / 900 / 1800 / 1900,Mini-SIM,"TFT, 256K colors",,"3.0, A2DP","Android 2.2 (Froyo), upgradable to 2.3 (Gingerbread)",microUSB 2.0,,,,,,"Accelerometer, proximity, compass",,Yes,110 x 57.4 x 12.5 mm (4.33 x 2.26 x 0.49 in),,,2 MP,HTML,,,150MB 512MB RAM,,,,Yes,,microSDHC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/t-mobile-move.jpg,"Stereo FM radio, RDS",
T-Mobile TVNVIDIA Tegra ZoneT-Mobile Video ChatHDMI portDivX/Xvid/MP4/H.264/WMV playerMP3/WAV/WMA/eAAC+ playerDocument editorOrganizerVoice memo/dial/commandsPredictive text input (Swype),T_Mobile,,Yes,,Dual-core 1.0 GHz Cortex-A9,141.8 g (4.97 oz),,,About 350 EUR,,"GPS, A-GPS",HSPA 21.1/5.76 Mbps,,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",,Up to 7 h 40 min,"4.0 inches, 45.5 cm2(~57.6% screen-to-body ratio)",Discontinued,ULP GeForce,GSM / HSPA,Dark Ale,,,"Wi-Fi 802.11 b/g/n, DLNA, hotspot",,Up to 400 h,HSDPA 1700 / 2100,"2011, March. Released 2011, April",,T-Mobile G2x,,,Removable Li-Ion 1500 mAh battery,GSM 850 / 900 / 1800 / 1900,Mini-SIM,IPS LCD,Nvidia Tegra 2 AP20H,"2.1, A2DP","Android 2.2 (Froyo), upgradable to 2.3 (Gingerbread)",microUSB 2.0,,1.3 MP,,,,"Accelerometer, gyro, proximity, compass",,"1080p@24fps, 720p@30fps",124.5 x 63.5 x 10.2 mm (4.90 x 2.5 x 0.40 in),LED flash,,"8 MP, AF","HTML, Adobe Flash",,,8GB 512MB RAM,,,,Yes,,microSDHC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/t-mobile-g2x.jpg,"Stereo FM radio, RDS",
HSDPA 2100,T_Mobile,,Yes,Optical trackpad,1.0 GHz Cortex-A8,162 g (5.71 oz),,,About 310 EUR,,"GPS, A-GPS",HSPA 7.2/5.76 Mbps,,"480 x 800 pixels, 5:3 ratio (~267 ppi density)",,Up to 6 h 30 min,"3.5 inches, 34.9 cm2(~45.0% screen-to-body ratio)",Discontinued,PowerVR SGX540,GSM / HSPA,"Matte black, Pearl magenta",,,"Wi-Fi 802.11 b/g/n, DLNA, hotspot",,Up to 456 h,HSDPA 1700 / 2100,"2011, March. Released 2011, April 20",,T-Mobile Sidekick 4G,,,Removable Li-Ion 1500 mAh battery,GSM 850 / 900 / 1800 / 1900,Mini-SIM,TFT,Hummingbird,"3.0, A2DP",Android 2.2 (Froyo),microUSB 2.0,0.34 W/kg (head)     0.96 W/kg (body),VGA,QWERTY,,,"Accelerometer, proximity",,480p@30fps,127 x 61 x 15 mm (5.0 x 2.40 x 0.59 in),,,"3.15 MP, AF","HTML, Adobe Flash",,"T-Mobile TVMP4/H.264 playerMP3/WAV/eAAC+ playerOrganizerThinkFree Office document editor , PDF viewerVoice memoPredictive text input",1GB 512MB RAM,,,,Yes,,"microSDHC (dedicated slot), 2 GB included",https://fdn2.gsmarena.com/vv/bigpic/t-mobile-sidekick-4g.jpg,Nо,
GSM 900 / 1800 / 1900,T_Mobile,1.26 W/kg (head),No,No,,105 g (3.70 oz),,"Yes, Photocall",,,No,,,"320 x 240 pixels, 4:3 ratio (~167 ppi density)",Yes,Up 16 h 40 min,"2.4 inches, 17.8 cm2(~25.5% screen-to-body ratio)",Discontinued,,GSM,Black,,,Wi-Fi 802.11 b/g,,Up to 726 h,,2011,"SMS, MMS, Email",T-Mobile Vairy Text II,Class 12,,Removable Li-Ion 850 mAh battery,GSM 850 / 1800 / 1900,Mini-SIM,"TFT, 256K colors",,"2.0, A2DP",,microUSB 2.0,,,QWERTY,"Yes, MIDP 2.0",Class 12,,,QCIF,118.5 x 59 x 12.2 mm (4.67 x 2.32 x 0.48 in),,,2 MP,,,MP3/eAAC+ playerMP4/H.264 playerDocument viewerOrganizerCalculatorVoice memoPredictive text input,70MB,,Yes,,Yes,,microSDHC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/t-mobile-vairy-text-ii.jpg,"Stereo FM radio, RDS",
No,T_Mobile,,No,MP4/H.263 playerMP3/AAC+ playerOrganizerVoice memoPredictive text input,,95 g (3.35 oz),,"Yes, Photocall",About 50 EUR,,No,,,"240 x 400 pixels, 5:3 ratio (~167 ppi density)",Yes,Up to 6 h 30 min,"2.8 inches, 22.3 cm2(~38.6% screen-to-body ratio)",Discontinued,,GSM,"Black, Pink",,,No,,Up to 390 h,,"2010, November. Released 2010, November","SMS, MMS, Email",T-Mobile Vibe E200,Yes,,Removable Li-Ion battery,GSM 900 / 1800,Mini-SIM,"TFT resistive touchscreen, 256K colors",,"2.0, A2DP",,2.0,,,QWERTY,"Yes, MIDP 2.0",No,,,Yes,109 x 53 x 15 mm (4.29 x 2.09 x 0.59 in),,,2 MP,"WAP 2.0/xHTML, HTML",,,,,Yes,,Yes,,"microSD (dedicated slot), 2 GB included",https://fdn2.gsmarena.com/vv/bigpic/T-Mobile-Vibe-E200.jpg,FM radio,
No,T_Mobile,,Yes,MP3/WMA/eAAC+ playerMP4/H.264 playerOrganizerPhoto viewer/editorVoice memo/dial/commandsPredictive text input (Swype),528 MHz ARM 11,102.1 g (3.60 oz),,,About 150 EUR,,"GPS, A-GPS",HSPA 7.2/0.384 Mbps,,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",,Up to 9 h,"2.8 inches, 24.3 cm2(~41.7% screen-to-body ratio)",Discontinued,No,GSM / HSPA,Black,,,"Wi-Fi 802.11 b/g/n, hotspot",,Up to 288 h,HSDPA 900 / 1700 / 2100,"2010, November. Released 2010, November",,T-Mobile Comet,,,Removable Li-Ion 1200 mAh battery,GSM 850 / 900 / 1800 / 1900,Mini-SIM,"TFT, 256K colors",Qualcomm MSM7225 Snapdragon S1,"2.0, A2DP",Android 2.2 (Froyo),microUSB 2.0,,,,,,Accelerometer,,CIF,104.1 x 55.9 x 12.7 mm (4.10 x 2.20 x 0.5 in),,,3.15 MP,"HTML, Adobe Flash",,,,,,,Yes,,"microSDHC (dedicated slot), 2 GB included",https://fdn2.gsmarena.com/vv/bigpic/T-Mobile-Comet.jpg,FM radio,
Optical trackpad,T_Mobile,,Yes,MP4/H.264 playerMP3/WAV/eAAC+ playerOrganizerDocument viewerVoice memo/dial/commandsPredictive text input (Swype),1.0 GHz Scorpion,153.1 g (5.40 oz),,,About 280 EUR,,"GPS, A-GPS",HSPA 14.4/5.76 Mbps,,"480 x 800 pixels, 5:3 ratio (~246 ppi density)",,Up to 9 h (2G) / Up to 10 h 20 min (3G),"3.8 inches, 41.1 cm2(~55.3% screen-to-body ratio)",Discontinued,Adreno 205,GSM / HSPA,Black,,,"Wi-Fi 802.11 b/g/n, DLNA, hotspot",,Up to 552 h (2G) / Up to 432 h (3G),HSDPA 900 / 1700 / 2100,"2010, October. Released 2010, November",,T-Mobile myTouch 4G,,,Removable Li-Ion 1400 mAh battery,GSM 850 / 900 / 1800 / 1900,Mini-SIM,TFT,Qualcomm MSM8255 Snapdragon S2,"2.1, A2DP","Android 2.2 (Froyo), upgradable to 2.3 (Gingerbread), Sense UI",miniUSB 2.0,,VGA videocall camera,,,,"Accelerometer, proximity",,720p@30fps,121.9 x 61 x 10.2 mm (4.80 x 2.40 x 0.40 in),LED flash,,"5 MP, AF","HTML, Adobe Flash",,,4GB 768MB RAM,,,,Yes,,"microSDHC (dedicated slot), 8 GB included",https://fdn2.gsmarena.com/vv/bigpic/t-mobile-mytouch-hd.jpg,FM radio,
Optical trackpad,T_Mobile,,Yes,No,800 MHz Scorpion,184.3 g (6.49 oz),Corning Gorilla Glass,,About 420 EUR,,"GPS, A-GPS",HSPA 14.4/2 Mbps,,"480 x 800 pixels, 5:3 ratio (~252 ppi density)",,Up to 9 h 50 min (2G) / Up to 6 h 40 min (3G),"3.7 inches, 39.0 cm2(~53.5% screen-to-body ratio)",Discontinued,Adreno 205,GSM / HSPA,"White, Black",,,"Wi-Fi 802.11 b/g/n, hotspot",,Up to 430 h (2G) / Up to 430 h (3G),HSDPA 1700 / 2100,"2010, September. Released 2010, October",,T-Mobile G2,,,Removable Li-Ion 1300 mAh battery,GSM 850 / 900 / 1800 / 1900,Mini-SIM,TFT,Qualcomm MSM7230,"2.1, A2DP",Android 2.2 (Froyo),microUSB 2.0,,,QWERTY,,,"Accelerometer, proximity, compass",,720p,119.4 x 61 x 15.2 mm (4.70 x 2.40 x 0.60 in),LED flash,,"5 MP, AF","HTML, Adobe Flash",,MP4/H.264 playerMP3/WAV/eAAC+ playerOrganizerDocument viewerVoice memoPredictive text input (Swype),4GB 512MB RAM,,,,Yes,,"microSDHC (dedicated slot), 8 GB included",https://fdn2.gsmarena.com/vv/bigpic/t-mobile-g2.jpg,Nо,
Optical trackpad,T_Mobile,,Yes,No,600 MHz ARM 11,167 (5.89 oz),Corning Gorilla Glass,,About 330 EUR,,"GPS, A-GPS",HSPA 7.2/2 Mbps,,"320 x 480 pixels, 3:2 ratio (~170 ppi density)",,Up to 6 h 40 min,"3.4 inches, 34.4 cm2(~52.1% screen-to-body ratio)",Discontinued,Adreno 130,GSM / HSPA,"White, Black, Red",,,Wi-Fi 802.11 b/g,,Up to 286 h,HSDPA 1700 / 2100,"2010, April. Released 2010, June",,T-Mobile myTouch 3G Slide,,,Removable Li-Ion 1300 mAh battery,GSM 850 / 900 / 1800 / 1900,Mini-SIM,"TFT, 65K colors",,"2.1, A2DP, EDR","Android 2.1 (Eclair), upgradable to 2.2 (Froyo)",microUSB 2.0,0.75 W/kg (head)     0.65 W/kg (body),,QWERTY,,,Accelerometer,,Yes,114 x 58 x 15 mm (4.49 x 2.28 x 0.59 in),LED flash,,"5 MP, AF",HTML,,MP4/H.264 playerMP3/WAV/eAAC+ playerOrganizerDocument viewerVoice memoPredictive text input,"512MB RAM, 512MB",,,,Yes,,"microSDHC (dedicated slot), 8 GB included",https://fdn2.gsmarena.com/vv/bigpic/t-mobile-mytouch-slide-ofic.jpg,No,
No,T_Mobile,,No,MP3/eAAC+/WAV playerMP4/H.264 playerDocument viewerPhoto viewer/editorOrganizerVoice memoPredictive text input,,136 g (4.80 oz),,,About 340 EUR,,"GPS, A-GPS, Garmin navigation",HSPA 7.2/0.384 Mbps,,"320 x 480 pixels, 3:2 ratio (~165 ppi density)",,Up to 4 h,"3.5 inches, 36.5 cm2(~50.6% screen-to-body ratio)",Discontinued,,GSM / HSPA,Black,,,Wi-Fi 802.11b/g,,Up to 144 h,HSDPA 1700 / 2100,"2010, February. Released 2010, June",,T-Mobile Garminfone,,,Removable Li-Ion 1150 mAh battery,GSM 850 / 900 / 1800 / 1900,Mini-SIM,"TFT, 256K colors",,"2.0, A2DP, EDR",Android 2.1 (Eclair),2.0,,,,,,"Accelerometer, proximity, compass",,480p@24fps,116 x 62.2 x 12 mm (4.57 x 2.45 x 0.47 in),,,"3.15 MP, AF",HTML,,,4GB 256MB RAM,,,,Yes,,microSDHC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/t-mobile-garminfone.jpg,No,
No,T_Mobile,,Yes,MP3/WAV/WMA/eAAC+ playerMP4/H.264 playerDocument viewerOrganizerVoice memoPredictive text input,600 MHz ARM 11,110 g (3.88 oz),,,,,"GPS, A-GPS",HSPA 3.6/0.384 Mbps,,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",,Up to 4 h,"2.8 inches, 24.3 cm2(~40.2% screen-to-body ratio)",Discontinued,Adreno 200,GSM / HSPA,"Black, White",,,Wi-Fi 802.11 b/g,,Up to 300 h,HSDPA 900 / 2100,"2010, February. Released 2010, May",,T-Mobile Pulse Mini,,,Removable Li-Ion 1150 mAh battery,GSM 900 / 1800 / 1900,Mini-SIM,"TFT resistive touchscreen, 256K colors",Qualcomm MSM7227 Snapdragon S1,"2.0, A2DP",Android 2.1 (Eclair),2.0,,,,,,Accelerometer,,Yes,106 x 57 x 14 mm (4.17 x 2.24 x 0.55 in),LED flash,,3.15 MP,HTML,,,300MB,,,,Yes,,microSDHC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/t-mobile-pulse-mini.jpg,FM radio,
No,T_Mobile,,Yes,MP3/WAV/eAAC+ playerVoice memo/dial/commandsPredictive text input,528 MHz ARM 11,116 g (4.09 oz),,,About 300 EUR,,"GPS, A-GPS",HSPA 7.2/2 Mbps,,"320 x 480 pixels, 3:2 ratio (~180 ppi density)",,Up to 7 h,"3.2 inches, 30.5 cm2(~48.2% screen-to-body ratio)",Discontinued,Adreno 130,GSM / HSPA,Sunburst,,,"Wi-Fi 802.11 b/g, hotspot (Android 2.2)",,Up to 408 h,HSDPA 900 / 1700 / 2100,"2009, October. Released 2010, January",,T-Mobile myTouch 3G Fender Edition,,,Removable Li-Ion 1340 mAh battery,GSM 850 / 900 / 1800 / 1900,Mini-SIM,"TFT, 65K colors",Qualcomm MSM7201A,"2.0, A2DP (headset support only)","Android 1.6 (Donut), upgradable to 2.2 (Froyo)",miniUSB 2.0,,,,,,"Accelerometer, compass",,CIF,113 x 56 x 14.7 mm (4.45 x 2.20 x 0.58 in),,,"3.15 MP, AF",HTML,,,"192MB RAM, 512MB",,,,Yes,,"microSDHC (dedicated slot), 16 GB included",https://fdn2.gsmarena.com/vv/bigpic/t-mobile-mytouch-3g-fender.jpg,No,
No,T_Mobile,,Yes,"MP3/WAV/WMA/eAAC+ playerMP4/WMV/H.264 playerPocket OfficeHTC Peep, HTC FootprintsT-mobile services: MobiTV, BLOCKBUSTER, Barnes & Nobl, Gogo Inflight InternetTransformers & Transformers 2 movies preloadedVoice memoPredictive text input",1.0 GHz Scorpion,157 g (5.54 oz),,,About 230 EUR,,"GPS, A-GPS; NaviPanel",HSPA 7.2/2 Mbps,,"480 x 800 pixels, 5:3 ratio (~217 ppi density)",,Up to 6 h,"4.3 inches, 52.6 cm2(~64.4% screen-to-body ratio)",Discontinued,Adreno 200,GSM / HSPA,Black,,,Wi-Fi 802.11 b/g,,Up to 480 h,HSDPA 1700 / 2100,"2010, January. Released 2010, March",,T-Mobile HD2,,,Removable Li-Ion 1230 mAh battery,GSM 850 / 900 / 1800 / 1900,Mini-SIM,"TFT, 65K colors",Qualcomm QSD8250 Snapdragon S1,"2.1, A2DP","Microsoft Windows Mobile 6.5 Professional, Sense UI",microUSB,,,,,,"Accelerometer, proximity, compass",,480p@30fps,122 x 67 x 11 mm (4.80 x 2.64 x 0.43 in),Dual-LED flash,,"5 MP, AF","WAP 2.0/xHTML, HTML",,,"576MB RAM, 1GB ROM",,,,Yes,,"microSDHC (dedicated slot), 16 GB included",https://fdn2.gsmarena.com/vv/bigpic/t-mobile-hd2.jpg,"Stereo FM radio, RDS",
No,T_Mobile,,No,MP3/AAC+/WAV playerMP4/H.264 playerVoice memoPredictive text input,,104.9 g (3.67 oz),,"1000 entries, Photocall",About 80 EUR,,"GPS, A-GPS",HSPA 3.6/0.384 Mbps,,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",Yes,Up to 5 h,"2.8 inches, 24.3 cm2(~40.7% screen-to-body ratio)",Discontinued,,GSM / HSPA,"Berry, Midnight Blue",,,No,,Up to 240 h,HSDPA 1700 / 2100,"2009, October. Released 2009, November","SMS, MMS, Email, IM",T-Mobile Tap,,,Removable Li-Ion 1150 mAh battery,GSM 850 / 900 / 1800 / 1900,Mini-SIM,"TFT resistive touchscreen, 256K colors",,"2.0, A2DP",,miniUSB,,,,"Yes, MIDP 2.1",,,,Yes,106.7 x 55.9 x 12.7 mm (4.20 x 2.20 x 0.5 in),,,2 MP,WAP 2.0 / xHTML,,,,,"30 received, dialed and missed calls",,Yes,,microSD (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/t-mobile-tap-midnight-blue.jpg,No,
Trackball,T_Mobile,,No,2.5 mm audio jack,,130 g (4.59 oz),,,About 250 EUR,,"GPS, A-GPS",HSPA 7.2/2 Mbps,,"320 x 480 pixels, 3:2 ratio (~165 ppi density)",,Up to 4 h,"3.5 inches, 36.5 cm2(~49.9% screen-to-body ratio)",Discontinued,,GSM / HSPA,Black,,,Wi-Fi 802.11 b/g,,Up to 300 h,HSDPA 900 / 2100,"2009, August. Released 2009, October",,T-Mobile Pulse,,,Removable Li-Ion 1500 mAh battery,GSM 850 / 900 / 1800 / 1900,Mini-SIM,"TFT, 65K colors",,"2.0, A2DP",Android 1.5 (Cupcake),Proprietary,,VGA,,,,Accelerometer,,Yes,116 x 63 x 13.5 mm (4.57 x 2.48 x 0.53 in),,,"3.15 MP, AF",HTML,,MP3/AAC+/WAV playerMP4/H.264 playerVoice memoPredictive text input,192MB,,,,Yes,,microSDHC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/t-mobile-pulse-new.jpg,No,
