,Brand,SAR EU,3.5mm jack,_1,CPU,Weight,Protection,Phonebook,Price,NFC,Positioning,Speed,Dual,Resolution,Games,Talk time,Size,Status,GPU,Technology,Colors,Triple,Audio quality,WLAN,Charging,Stand-by,3G bands,Announced,Messaging,Model Name,GPRS,Video_1,Type_1,2G bands,SIM,Type,Chipset,Bluetooth,OS,USB,SAR,Single_1,Keyboard,Java,EDGE,Sensors,Alert types,Video,Dimensions,Features,5G bands,Single,Browser,Quad,_2,Internal,Models,Call records,Features_1,Loudspeaker,_3,Card slot,Model Image,Radio,4G bands
eMMC 5.1,T_Mobile,,Yes,,Quad-core 2.0 GHz Cortex-A53,158.5 (5.61 oz),,,About 100 EUR,No,GPS,"HSPA, LTE",,"720 x 1520 pixels, 19:9 ratio (~270 ppi density)",,,"6.22 inches, 96.6 cm2(~79.9% screen-to-body ratio)","Available. Released 2020, September 04",PowerVR GE8300,GSM / HSPA / LTE,Graphite,,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,,HSDPA 850 / 1700(AWS) / 1900,"2020, August 27",,T-Mobile REVVL 4,,,Li-Ion 3500 mAh,GSM 850 / 900 / 1800 / 1900,Nano-SIM,IPS LCD,Mediatek MT6761 Helio A22 (12 nm),"5.0, A2DP, LE",Android 10,USB Type-C 2.0,,5 MP,,,,"Fingerprint (rear-mounted), accelerometer, proximity",,1080p@30fps,159 x 76 x 8.1 mm (6.26 x 2.99 x 0.32 in),"LED flash, HDR, panorama",,"13 MP, PDAF",,,,32GB 2GB RAM,"5007Z, 5007W, TMRVL4G",,,Yes,,microSDXC,https://fdn2.gsmarena.com/vv/bigpic/tmobile-revvl-4.jpg,No,"2, 4, 5, 7, 12, 25, 26, 41, 66, 71"
"IP54, dust and splash resistant",T_Mobile,,Yes,eMMC 5.1,Octa-core (4x1.8 GHz Kryo 260 Gold & 4x1.6 GHz Kryo 260 Silver),-,,,About 310 EUR,No,"GPS, GLONASS, GALILEO","HSPA 42.2/5.76 Mbps, LTE (2CA) Cat12 600/50 Mbps","16 MP, f/1.7, 1.22µm, PDAF, OIS5 MP, f/2.4, (depth)","1080 x 2270 pixels, 19:9 ratio (~403 ppi density)",,,"6.24 inches, 97.5 cm2(~81.8% screen-to-body ratio)","Available. Released 2019, July",Adreno 509,GSM / HSPA / LTE,Black,,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",27W wired,,HSDPA 850 / 1700(AWS) / 1900,"2019, July",,T-Mobile Revvlry+,,1080p@30fps,"Li-Ion 3000 mAh, non-removable",GSM 850 / 900 / 1800 / 1900,Nano-SIM,IPS LCD,Qualcomm SDM636 Snapdragon 636 (14 nm),"5.0, A2DP, LE",Android 9.0 (Pie),USB Type-C 2.0,,,,,,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",,"4K@30fps, 1080p@30/60/120fps, gyro-EIS",158.5 x 75.2 x 8.6 mm (6.24 x 2.96 x 0.34 in),"Dual-LED dual-tone flash, panorama, HDR",,"12 MP, (wide), 1/2.8"", 1.25µm",,,,64GB 4GB RAM,,,HDR,Yes,,microSDXC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/t-mobile-revvlry-plus-.jpg,FM radio,"1, 2, 3, 4, 5, 7, 12, 13, 20, 66, 71"
Splash resistant,T_Mobile,,Yes,eMMC 5.1,Octa-core (4x1.8 GHz Kryo 250 Gold & 4x1.8 GHz Kryo 250 Silver),-,,,About 180 EUR,No,"GPS, GLONASS","HSPA 42.2/5.76 Mbps, LTE (2CA) Cat6 300/50 Mbps",,"720 x 1520 pixels, 19:9 ratio (~295 ppi density)",,,"5.7 inches, 81.1 cm2(~76.4% screen-to-body ratio)","Available. Released 2019, July",Adreno 506,GSM / HSPA / LTE,Black,,,Wi-Fi 802.11 b/g/n,10W wired,,HSDPA 850 / 1700(AWS) / 1900,"2019, July",,T-Mobile Revvlry,,1080p@30fps,"Li-Ion 3000 mAh, non-removable",GSM 850 / 900 / 1800 / 1900,Nano-SIM,IPS LCD,Qualcomm SDM632 Snapdragon 632 (14 nm),"4.2, A2DP, LE",Android 9.0 (Pie),USB Type-C 2.0,,"8 MP, f/2.2, 1/4.0"", 1.12µm",,,,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",,1080p@30fps,148.6 x 71.4 x 8.1 mm (5.85 x 2.81 x 0.32 in),"LED flash, panorama, HDR",,"13 MP, f/2.0, 1/3.1"", 1.12µm, PDAF",,,,32GB 3GB RAM,,,LED flash,Yes,,microSDXC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/t-mobile-revvlry-.jpg,FM radio,"2, 4, 5, 7, 12, 38, 66, 71"
,T_Mobile,,Yes,,Quad-core 1.5 GHz Cortex-A53,157.9 g (5.64 oz),,,About 110 EUR,No,GPS,"HSPA, LTE",,"720 x 1280 pixels, 16:9 ratio (~267 ppi density)",,Up to 12 h (3G),"5.5 inches, 83.4 cm2(~71.3% screen-to-body ratio)",Discontinued,Mali-T860MP2,GSM / HSPA / LTE,Black,,,Wi-Fi 802.11 b/g/n,,Up to 288 h (3G),HSDPA 1700 (AWS)/ 1900,"2017, August. Released 2017, August",,T-Mobile Revvl,,,"Li-Ion 3000 mAh, non-removable",GSM 900 / 1800 / 1900,Nano-SIM,IPS LCD,Mediatek MT6738,"4.2, A2DP",Android 7.0 (Nougat),microUSB 2.0,,5 MP,,,,"Fingerprint (rear-mounted), accelerometer, proximity",,1080p@30fps,151.9 x 77 x 8.4 mm (5.98 x 3.03 x 0.33 in),"LED flash, HDR",,"13 MP, AF",,,,32GB 2GB RAM,,,LED flash,Yes,,microSDXC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/t-mobile-revvl.jpg,FM radio,"2, 4, 5, 12, 66"
No,T_Mobile,,Yes,,1.0 GHz Cortex-A5,100 g (3.53 oz),,,About 90 EUR,No,GPS,HSPA,,"320 x 480 pixels, 3:2 ratio (~165 ppi density)",,Up to 8 h,"3.5 inches, 36.5 cm2(~50.3% screen-to-body ratio)",Discontinued,,GSM / HSPA,Black,,,"Wi-Fi 802.11 b/g/n, hotspot",,Up to 260 h,HSDPA 850 / 1700 / 1900 / 2100,"2013, June. Released 2013, June",,T-Mobile Prism II,,,"Li-Ion 1750 mAh, removable",GSM 850 / 900 / 1800 / 1900,Mini-SIM,TFT,,"4.0, A2DP",Android 4.1 (Jelly Bean),microUSB 2.0,,,,,,Accelerometer,,Yes,117 x 62 x 12.4 mm (4.61 x 2.44 x 0.49 in),,,3.15 MP,,,,4GB 512MB RAM,,,,Yes,,microSDHC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/t-mobile-prism-ii.jpg,FM radio,
No,T_Mobile,,Yes,MP4/WMV/H.264 playerMP3/WAV/WMA/eAAC+ playerOrganizerDocument viewerVoice memo/dialPredictive text input,832 MHz,100 g (3.53 oz),,,About 80 EUR,,"GPS, A-GPS",HSPA 7.2/5.76 Mbps,,"320 x 480 pixels, 3:2 ratio (~165 ppi density)",,Up to 8 h 30 min,"3.5 inches, 36.5 cm2(~50.3% screen-to-body ratio)",Discontinued,,GSM / HSPA,Black,,,"Wi-Fi 802.11 b/g/n, hotspot",,Up to 300 h,HSDPA 850 / 1700 / 1900 / 2100,"2012, August. Released 2012, August",,T-Mobile Concord,,,Removable Li-Ion 1500 mAh battery,GSM 850 / 900 / 1800 / 1900,Mini-SIM,"TFT, 256K colors",BCM21553,"3.0, A2DP",Android 2.3.5 (Gingerbread),microUSB 2.0,,,,,,"Accelerometer, proximity",,480p,117 x 62 x 11.4 mm (4.61 x 2.44 x 0.45 in),,,2 MP,,,,512MB 512MB RAM,,,,Yes,,"microSDHC (dedicated slot), 2 GB included",https://fdn2.gsmarena.com/vv/bigpic/zte-t-mobile-concord.jpg,No,
T-Mobile TVMP4/WMV/H.264 playerMP3/WAV/WMA/eAAC+ playerOrganizerDocument viewerVoice memo/dial/commandsPredictive text input (Swype),T_Mobile,,Yes,,1.4 GHz Scorpion,185 g (6.53 oz),,,About 290 EUR,,"GPS, A-GPS",HSPA,,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",,Up to 6 h,"4.0 inches, 45.5 cm2(~57.1% screen-to-body ratio)",Discontinued,Adreno 205,GSM / HSPA,"Black, White",,,"Wi-Fi 802.11 b/g/n, DLNA, hotspot",,Up to 185 h,HSDPA 1700 / 2100,"2012, August. Released 2012, August",,T-Mobile myTouch Q 2,,,Removable Li-Ion 1500 mAh battery,GSM 850 / 900 / 1800 / 1900,Mini-SIM,IPS LCD,Qualcomm MSM8255T Snapdragon S2,Yes,Android 2.3 (Gingerbread),microUSB 2.0,,VGA,QWERTY,,,"Accelerometer, proximity, compass",,720p@30fps,124.8 x 63.9 x 14.3 mm (4.91 x 2.52 x 0.56 in),LED flash,,"5 MP, AF",,,,4GB 1GB RAM,,,,Yes,,microSDHC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/t-mobile-mytouch-q-2.jpg,No,
T-Mobile TVMP4/WMV/H.264 playerMP3/WAV/WMA/eAAC+ playerOrganizerDocument viewerVoice memo/dial/commandsPredictive text input (Swype),T_Mobile,,Yes,,1.4 GHz Scorpion,140 g (4.94 oz),,,About 290 EUR,,"GPS, A-GPS",HSPA,,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",,Up to 6 h 10,"4.0 inches, 45.5 cm2(~64.4% screen-to-body ratio)",Discontinued,Adreno 205,GSM / HSPA,"Black, Dark red",,,"Wi-Fi 802.11 b/g/n, DLNA, hotspot",,Up to 186 h,HSDPA 1700 / 2100,"2012, August. Released 2012, August",,T-Mobile myTouch 2,,,Removable Li-Ion 1500 mAh battery,GSM 850 / 900 / 1800 / 1900,Mini-SIM,IPS LCD,Qualcomm MSM8255T Snapdragon S2,Yes,Android 2.3 (Gingerbread),microUSB 2.0,,VGA,,,,"Accelerometer, proximity, compass",,720p@30fps,114 x 62 x 10 mm (4.49 x 2.44 x 0.39 in),LED flash,,"5 MP, AF",,,,4GB 1GB RAM,,,,Yes,,microSDHC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/t-mobile-mytouch-2.jpg,No,
No,T_Mobile,,Yes,MP3/WAV/eAAC+ playerMP4/H.264 playerOrganizerDocument viewerVoice memo/dialPredictive text input (Swype),600 MHz,125 g (4.41 oz),,,About 170 EUR,,"GPS, A-GPS",HSPA,,"320 x 480 pixels, 3:2 ratio (~165 ppi density)",,Up to 6 h 30 min,"3.5 inches, 36.5 cm2(~52.1% screen-to-body ratio)",Discontinued,,GSM / HSPA,Black,,,"Wi-Fi 802.11 b/g, hotspot",,Up to 400 h,HSDPA 850 / 1700 / 1900 / 2100,"2012, May. Released 2012, May",,T-Mobile Prism,,,Removable Li-Ion 1400 mAh battery,GSM 850 / 900 / 1800 / 1900,Mini-SIM,"TFT, 256K colors",,"2.1, A2DP, EDR",Android 2.3.5 (Gingerbread),microUSB 2.0,,,,,,"Accelerometer, proximity, compass",,Yes,116.3 x 60.2 x 12.2 mm (4.58 x 2.37 x 0.48 in),,,3.15 MP,,,,512MB,,,,Yes,,microSDHC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/t-mobile-prism.jpg,No,
HSDPA 900 / 2100,T_Mobile,0.54 W/kg (head),Yes,No,800 MHz,142 g (5.01 oz),,,About 100 EUR,,"GPS, A-GPS",HSPA 7.2/0.384 Mbps,,"480 x 800 pixels, 5:3 ratio (~252 ppi density)",,Up to 11 h,"3.7 inches, 39.0 cm2(~55.3% screen-to-body ratio)",Discontinued,,GSM / HSPA,Black,,,Wi-Fi 802.11 b/g/n,,Up to 770 h,HSDPA 850 / 1900,"2011, December. Released 2011, December",,T-Mobile Move Balance,,,Removable Li-Ion 2000 mAh battery,GSM 850 / 900 / 1800 / 1900,Mini-SIM,"TFT, 256K colors",,"2.1, A2DP",Android 2.3.5 (Gingerbread),microUSB 2.0,,,,,,Accelerometer,,Yes,118.5 x 59.5 x 10.5 mm (4.67 x 2.34 x 0.41 in),LED flash,,"5 MP, AF",,,MP3/WAV/eAAC+ playerMP4/H.264 playerOrganizerDocument viewerVoice memo/dialPredictive text input,4GB 512MB RAM,,,,Yes,,"microSDHC (dedicated slot), 4 GB included",https://fdn2.gsmarena.com/vv/bigpic/t-mobile-move-balance.jpg,FM radio,
