,Positioning,Single_1,4G bands,Java,Talk time,Video,Video_1,_1,WLAN,Messaging,GPRS,Phonebook,3G bands,CPU,OS,USB,2G bands,Announced,Internal,Chipset,GPU,Status,3.5mm jack,Games,NFC,EDGE,Model Name,SIM,Brand,Type,Technology,Size,Model Image,Weight,Call records,Keyboard,Colors,Resolution,Speed,Sensors,Radio,Bluetooth,Features,Dimensions,Card slot,Loudspeaker,Type_1,Single,Stand-by
,GPS,VGA,,,Up to 8 h,720p,,,"Wi-Fi 802.11 b/g/n, hotspot",,,,HSDPA 850 / 1900,Dual-core 1.0 GHz Cortex-A7,Android 4.4.2 (KitKat),microUSB 2.0,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"2014, October. Released 2014, November",4GB 512MB RAM,Mediatek MT6572M (28 nm),Mali-400,Discontinued,Yes,,No,,Maxwest Astro 4,Dual SIM (dual stand-by),Maxwest,TFT,GSM / HSPA,"4.0 inches, 45.5 cm2(~56.7% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/maxwest-astro-4.jpg,122 g (4.30 oz),,,White/Black,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",HSPA 21.1/5.76 Mbps,"Accelerometer, proximity",Stereo FM radio,"4.0, A2DP",LED flash,125.5 x 64 x 9.8 mm (4.94 x 2.52 x 0.39 in),microSDHC,Yes,"Li-Ion 1400 mAh, removable",2 MP,Up to 180 h
,GPS,Yes,,,Up to 6 h,Yes,,,"Wi-Fi 802.11 b/g/n, hotspot",,Class 12,,,Dual-core 1.0 GHz Cortex-A7,Android 4.2.2 (Jelly Bean),microUSB,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"2014, September. Released 2014, September",256MB 512MB,Mediatek MT6572M (28 nm),Mali-400,Discontinued,Yes,,No,Class 12,Maxwest Astro JR,Dual SIM (dual stand-by),Maxwest,TFT,GSM,"3.5 inches, 36.5 cm2(~48.8% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/maxwest-astro-jr.jpg,116 g (4.09 oz),,,"Black, White, Blue, Red","320 x 480 pixels, 3:2 ratio (~165 ppi density)",,Accelerometer,FM radio,"4.0, A2DP",,119 x 62.8 x 11.4 mm (4.69 x 2.47 x 0.45 in),microSDHC,Yes,"Li-Ion 1300 mAh, removable",2 MP,Up to 180 h
,GPS,VGA,,,Up to 6 h,720p@30fps,,,"Wi-Fi 802.11 b/g/n, hotspot",,,,HSDPA 850 / 1900,Quad-core 1.3 GHz Cortex-A7,Android 4.4.2 (KitKat),microUSB 2.0,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"2014, June. Released 2014, July",4GB 1GB RAM,Mediatek MT6582M (28 nm),Mali-400MP2,Discontinued,Yes,,No,,Maxwest Virtue Z5,"Dual SIM (Mini-SIM, dual stand-by)",Maxwest,IPS LCD,GSM / HSPA,"5.0 inches, 68.9 cm2(~62.5% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/maxwest-virtue-z5.jpg,140 g (4.94 oz),,,"Black, White, Blue, Pink","480 x 854 pixels, 16:9 ratio (~196 ppi density)",HSPA 21.1/5.76 Mbps,"Accelerometer, proximity",FM radio,2.0,LED flash,147 x 75 x 9.3 mm (5.79 x 2.95 x 0.37 in),microSDHC,Yes,"Li-Ion 2300 mAh, removable","8 MP, AF",Up to 300 h
,GPS,2 MP,,,Up to 14 h,1080p@30fps,,,"Wi-Fi 802.11 b/g/n, hotspot",,,,HSDPA 850 / 1900 / 1700,Quad-core 1.2 GHz Cortex-A7,Android 4.4.2 (KitKat),microUSB 2.0,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"2014, May. Released 2014, June",4GB 1GB RAM,Broadcom BCM23550,Broadcom VideoCore,Discontinued,Yes,,No,,Maxwest Gravity 5.5,"Dual SIM, (Dual stand-by)",Maxwest,IPS LCD,GSM / HSPA,"5.5 inches, 83.4 cm2(~67.8% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/maxwest-gravity-55.jpg,174 g (6.14 oz),,,White/Black/Blue/Rose Red/Yellow,"540 x 960 pixels, 16:9 ratio (~200 ppi density)",HSPA 21.1/5.76 Mbps,"Accelerometer, proximity",Stereo FM radio,3.0,LED flash,156.2 x 78.8 x 8.7 mm (6.15 x 3.10 x 0.34 in),microSDHC,Yes,"Li-Ion 2300 mAh, removable","13 MP, AF",Up to 350 h
,GPS,2 MP,,,Up to 14 h,1080p@30fps,,,"Wi-Fi 802.11 b/g/n, hotspot",,,,HSDPA 850 / 1900 / 1700,Quad-core 1.2 GHz Cortex-A7,Android 4.4.2 (KitKat),microUSB 2.0,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"2014, April. Released 2014, March",4GB 1GB RAM,Broadcom BCM23550,Broadcom VideoCore,Discontinued,Yes,,No,,Maxwest Gravity 6,"Dual SIM, (Dual stand-by)",Maxwest,IPS LCD,GSM / HSPA,"6.0 inches, 99.2 cm2(~72.3% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/maxwest-gravity-6.jpg,207 g (7.30 oz),,,"Black, White, Red","720 x 1280 pixels, 16:9 ratio (~245 ppi density)",HSPA 21.1/5.76 Mbps,"Accelerometer, proximity",Stereo FM radio,"4.0, A2DP",LED flash,163.3 x 84 x 8.9 mm (6.43 x 3.31 x 0.35 in),microSDXC,Yes,"Li-Ion 2800 mAh, removable","13 MP, AF",Up to 350 h
No,GPS,,,,Up to 6 h,Yes,,,"Wi-Fi 802.11 b/g/n, hotspot",,,,HSDPA 850 / 1700 / 1900 / 2100,Dual-core 1.0 GHz Cortex-A7,Android 4.2.2 (Jelly Bean),microUSB 2.0,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"2014, April. Released 2014, April",512MB 512MB,Mediatek MT6572M (28 nm),Mali-400,Discontinued,Yes,,No,,Maxwest Orbit 330G,"Dual SIM (Mini-SIM, dual stand-by)",Maxwest,TFT,GSM / HSPA,"3.5 inches, 36.5 cm2(~48.8% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/orbit-330g.jpg,116 g (4.09 oz),,,"Black, White, Red, Blue","320 x 480 pixels, 3:2 ratio (~165 ppi density)",HSPA 21.1/5.76 Mbps,Accelerometer,FM radio,"4.0, A2DP",,119 x 62.8 x 11.4 mm (4.69 x 2.47 x 0.45 in),microSDHC,Yes,"Li-Ion 1300 mAh, removable",2 MP,Up to 180 h
,GPS,VGA,,,Up to 6 h,720p@30fps,,,"Wi-Fi 802.11 b/g/n, hotspot",,,,HSDPA 850 / 1700,Dual-core 1.2 GHz Cortex-A7,Android 4.2.2 (Jelly Bean),microUSB 2.0,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"2014, March. Released 2014, March",4GB 512MB RAM,Mediatek MT6572AW,Mali-400,Discontinued,Yes,,No,,Maxwest Orbit 6200T,"Dual SIM (Mini-SIM, dual stand-by)",Maxwest,IPS LCD,GSM / HSPA,"6.0 inches, 99.2 cm2(~69.5% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/maxwest-orbit-6200t.jpg,210 g (7.41 oz),,,"Black, White","540 x 960 pixels, 16:9 ratio (~184 ppi density)",HSPA 21.1/5.76 Mbps,"Accelerometer, proximity",FM radio,"4.0, A2DP",LED flash,167.3 x 85.4 x 9 mm (6.59 x 3.36 x 0.35 in),microSDHC,Yes,"Li-Ion 2350 mAh, removable","8 MP, AF",Up to 300 h
No,GPS,,,,Up to 6 h,Yes,,,Wi-Fi 802.11 b/g/n,,Class 12,,,Dual-core 1.0 GHz Cortex-A7,Android 4.2.2 (Jelly Bean),microUSB,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"2014, January. Released 2014, January",512MB 256MB RAM,Mediatek MT6572M (28 nm),Mali-400,Discontinued,Yes,,No,Class 12,Maxwest Android 330,Dual SIM (Dual stand-by),Maxwest,"TFT, 256K colors",GSM,"3.5 inches, 36.5 cm2(~48.8% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/maxwest-android-330.jpg,116 g (4.09 oz),,,"Black, White, Blue, Red","320 x 480 pixels, 3:2 ratio (~165 ppi density)",,Accelerometer,FM radio,"4.0, A2DP",LED flash,119 x 62.8 x 11.4 mm (4.69 x 2.47 x 0.45 in),microSDHC (dedicated slot),Yes,"Li-Ion 1300 mAh, removable",2 MP,Up to 180 h
TV-out,GPS,VGA,,,Up to 6 h,Yes,,,"Wi-Fi 802.11 b/g/n, hotspot",,,,UMTS 850 / 1900 / 2100,Dual-core 1.2 GHz Cortex-A9,Android 4.1.2 (Jelly Bean),Proprietary,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"2013, August. Released 2013, August",8GB 1GB RAM,Mediatek MT8377 (40 nm),PowerVR SGX531u,Discontinued,Yes,,No,,Maxwest Tab Phone 72DC,Dual SIM (Dual stand-by),Maxwest,TFT,GSM / UMTS,"7.0 inches, 137.9 cm2(~68.9% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/maxwest-72dc.jpg,270 g (9.52 oz),,,Black/White,"600 x 1024 pixels, 16:9 ratio (~170 ppi density)",HSPA 7.2/5.76 Mbps,"Accelerometer, proximity",FM radio,"4.0, A2DP",,187 x 107 x 9.2 mm (7.36 x 4.21 x 0.36 in),microSDHC (dedicated slot),Yes,"Li-Ion 2800 mAh, non-removable",2 MP,Up to 50 h
No,No,,,No,Up to 4 h,Yes,,SNS applicationsAnalog TVMP3/WAV/WMA playerMP4/H.263 playerOrganizerPredictive text input,No,"SMS, MMS",Yes,Yes,,,,miniUSB,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"2013, September. Released 2013, November","32MB RAM, 32MB ROM",,,Discontinued,No,Downloadable,No,Yes,Maxwest MX-210TV,Dual SIM (Mini-SIM),Maxwest,"TFT, 65K colors",GSM,"2.0 inches, 12.6 cm2(~30.4% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/maxwest-MX-210TV.jpg,82 g (2.89 oz),Yes,,"Black, Red, Blue",128 x 160 pixels (~102 ppi density),,,Stereo FM radio,2.0,,92 x 45 x 17.5 mm (3.62 x 1.77 x 0.69 in),microSDHC (dedicated slot),Yes,"Li-Ion 800 mAh, removable",1.3 MP,Up to 160 h
No,GPS,,,,Up to 12 h,480p@30fps,,,Wi-Fi 802.11 b/g/n,,Class 12,,,1.0 GHz,Android 4.0 (Ice Cream Sandwich),microUSB 2.0,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"2013, September. Released 2013, October",512MB 256MB RAM,,,Discontinued,Yes,,No,Class 12,Maxwest Android 320,"Dual SIM (Mini-SIM, dual stand-by)",Maxwest,"TFT, 256K colors",GSM,"3.5 inches, 36.5 cm2(~50.8% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/maxwest-android-320.jpg,105 g (3.70 oz),,,White,"320 x 480 pixels, 3:2 ratio (~165 ppi density)",,Accelerometer,Stereo FM radio,"2.1, A2DP",,115 x 62.4 x 13.4 mm (4.53 x 2.46 x 0.53 in),microSDHC (dedicated slot),Yes,"Li-Ion 1450 mAh, removable",2 MP,Up to 600 h
,GPS,VGA,,,Up to 6 h,720p@30fps,,,"Wi-Fi 802.11 b/g/n, hotspot",,,,HSDPA 850 / 1900,Dual-core 1.2 GHz Cortex-A7,Android 4.2.2 (Jelly Bean),microUSB 2.0,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"2013, October. Released 2013, October",4GB 512MB RAM,Mediatek MT6572AW,Mali-400,Discontinued,Yes,,No,,Maxwest Orbit 6200,"Dual SIM (Mini-SIM, dual stand-by)",Maxwest,IPS LCD,GSM / HSPA,"6.0 inches, 99.2 cm2(~69.5% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/Orbit-6200-White-web.jpg,210 g (7.41 oz),,,"Black, White","540 x 960 pixels, 16:9 ratio (~184 ppi density)",HSPA 21.1/5.76 Mbps,"Accelerometer, proximity",FM radio,"4.0, A2DP",LED flash,167.3 x 85.4 x 9 mm (6.59 x 3.36 x 0.35 in),microSDHC (dedicated slot),Yes,"Li-Ion 2350 mAh, removable","8 MP, AF",Up to 300 h
,GPS,VGA,,,Up to 24 h (2G) / Up to 10 h (3G),720p@30fps,,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",,,,HSDPA 850 / 1700 / 2100,Dual-core 1.2 GHz Cortex-A7,Android 4.2.2 (Jelly Bean),microUSB 2.0,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"2013, August. Released 2013, October",4GB 512MB RAM,Mediatek MT6572 (28 nm),Mali-400,Discontinued,Yes,,No,,Maxwest Orbit 5400T,Dual SIM (dual stand-by),Maxwest,TFT,GSM / HSPA,"5.0 inches, 68.9 cm2(~65.0% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/Orbit-5400T-white-web.jpg,170 g (6.00 oz),,,"Black, White, Red","540 x 960 pixels, 16:9 ratio (~220 ppi density)",HSPA 21.1/5.76 Mbps,"Accelerometer, proximity",Stereo FM radio,"2.1, A2DP",LED flash,143 x 74.2 x 9.6 mm (5.63 x 2.92 x 0.38 in),microSDHC (dedicated slot),Yes,"Li-Ion 2000 mAh, removable","8 MP, AF",Up to 900 h (2G) / Up to 750 h (3G)
,GPS,VGA,,,Up to 8 h,Yes,,,"Wi-Fi 802.11 b/g/n, hotspot",,,,HSDPA 850 / 1900,Dual-core 1.3 GHz Cortex-A7,Android 4.2 (Jelly Bean),microUSB 2.0,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"2013, September. Released 2013, October",4GB 512MB RAM,Mediatek MT6572M (28 nm),Mali-400,Discontinued,Yes,,No,,Maxwest Orbit 4400,Dual SIM (dual stand-by),Maxwest,TFT,GSM / HSPA,"4.0 inches, 45.5 cm2(~56.0% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/Orbit-4400-white-web.jpg,115 g (4.06 oz),,,"Black, White","480 x 800 pixels, 5:3 ratio (~233 ppi density)",HSPA 21.1/5.76 Mbps,"Accelerometer, proximity",FM radio,"3.0, A2DP",LED flash,127 x 64 x 9.3 mm (5.0 x 2.52 x 0.37 in),microSDHC (dedicated slot),Yes,"Li-Ion 1400 mAh, removable","5 MP, AF",Up to 240 h
,No,1.3 MP,,,Up to 8 h,Yes,,,"Wi-Fi 802.11 b/g/n, hotspot",,,,HSDPA 850 / 1900,Dual-core 1.0 GHz Cortex-A7,Android 4.2 (Jelly Bean),microUSB 2.0,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"2013, October. Released 2013, October",4GB 512MB RAM,Mediatek MT6572M (28 nm),Mali-400,Discontinued,Yes,,No,,Maxwest Orbit 3000,Dual SIM (dual stand-by),Maxwest,TFT,GSM / HSPA,"3.5 inches, 36.5 cm2(~47.4% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/Orbit-3000-White-web.jpg,116 g (4.09 oz),,,"Black, White, Pink","320 x 480 pixels, 3:2 ratio (~165 ppi density)",HSPA,Accelerometer,FM radio,"4.0, A2DP",,120.4 x 63.9 x 10.7 mm (4.74 x 2.52 x 0.42 in),microSDHC (dedicated slot),Yes,"Li-Ion 1100 mAh, removable",3.15 MP,Up to 240 h
,GPS,0.3 MP,,,Up to 4 h,720p@30fps,,,"Wi-Fi 802.11 b/g/n, hotspot",,,,HSDPA 850 / 1900,Quad-core 1.2 GHz Cortex-A7,Android 4.2.2 (Jelly Bean),microUSB 2.0,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"2013, October. Released 2013, October",4GB 512MB RAM,Broadcom BCM23550,,Discontinued,Yes,,No,,Maxwest Orbit X50,Dual SIM (dual stand-by),Maxwest,LED-backlit IPS LCD,GSM / HSPA,"5.0 inches, 68.9 cm2(~58.1% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/Orbit-X50-white-web2.jpg,127 g without battery (4.48 oz),,,"Black, White","540 x 960 pixels, 16:9 ratio (~220 ppi density)",HSPA 21.1/5.76 Mbps,"Accelerometer, gyro, proximity",Stereo FM radio,"4.0, A2DP",LED flash,152 x 78 x 9.9 mm (5.98 x 3.07 x 0.39 in),microSDHC (dedicated slot),Yes,"Li-Ion 2000 mAh, removable","8 MP, AF",Up to 250 h
,GPS,2 MP,,,Up to 24 h (2G) / Up to 10 h (3G),720p@30fps,,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",,,,HSDPA 850 / 1900  - D570a,Quad-core 1.2 GHz Cortex-A5,Android 4.1.2 (Jelly Bean),microUSB 2.0,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"2013, June. Released 2013, June",4GB 1GB RAM,Qualcomm MSM8225Q Snapdragon S4 Play,Adreno 203,Discontinued,Yes,,No,,Maxwest Orbit Z50,"Dual SIM (Mini-SIM, dual stand-by)",Maxwest,LED-backlit IPS LCD,GSM / HSPA,"5.0 inches, 68.9 cm2(~66.9% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/maxwest-orbit-z50.jpg,170 g (6.00 oz),,,"Black, White, Pink","540 x 960 pixels, 16:9 ratio (~220 ppi density)",HSPA 7.2/5.76 Mbps,"Accelerometer, gyro, proximity, compass",Stereo FM radio,"3.0, A2DP",Dual-LED flash,143 x 72 x 8.9 mm (5.63 x 2.83 x 0.35 in),microSDHC (dedicated slot),Yes,"Li-Ion 2000 mAh, removable","8 MP, AF",Up to 900 h (2G) / Up to 750 h (3G)
,GPS,VGA,,,Up to 24 h (2G) / Up to 10 h (3G),1080p@30fps,,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",,,,HSDPA 850 / 1900,Dual-core 1.0 GHz Cortex-A9,Android 4.1.2 (Jelly Bean),microUSB 2.0,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"2013, April. Released 2013, June",4GB 512MB RAM,Mediatek MT6577 (40 nm),PowerVR SGX531u,Discontinued,Yes,,No,,Maxwest Orbit 5400,Dual SIM,Maxwest,TFT,GSM / HSPA,"5.0 inches, 68.9 cm2(~65.0% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/maxwest-orbit-5400.jpg,170 g (6.00 oz),,,"Black, Black/Red, White","540 x 960 pixels, 16:9 ratio (~220 ppi density)",HSPA 7.2/5.76 Mbps,"Accelerometer, proximity",Stereo FM radio,"3.0, A2DP",LED flash,143 x 74.2 x 9.6 mm (5.63 x 2.92 x 0.38 in),microSDHC (dedicated slot),Yes,"Li-Ion 2000 mAh, removable","8 MP, AF",Up to 900 h (2G) / Up to 750 h (3G)
,GPS,VGA,,,Up to 24 h (2G) / Up to 10 h (3G),720p@30fps,,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",,,,HSDPA 850 / 1900,1.2 GHz dual-core Cortex-A9,Android 4.2.2 (Jelly Bean),microUSB 2.0,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"2013, May. Released 2013, July",4GB 512MB RAM,Broadcom BCM21663,Broadcom VideoCore IV,Discontinued,Yes,,No,,Maxwest Orbit 4600,"Dual SIM (Mini-SIM, dual stand-by)",Maxwest,TFT,GSM / HSPA,"4.7 inches, 60.9 cm2(~63.7% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/maxwest-orbit-4600.jpg,170 g (6.00 oz),,,"Black, Black/Blue, Black/Red, White","480 x 854 pixels, 16:9 ratio (~208 ppi density)",HSPA 21.1/5.76 Mbps,"Accelerometer, gyro, proximity, compass",Stereo FM radio,"3.0, A2DP",LED flash,136.5 x 70 x 8.9 mm (5.37 x 2.76 x 0.35 in),microSDHC (dedicated slot),Yes,"Li-Ion 1700 mAh, removable","5 MP, AF",Up to 900 h (2G) / Up to 750 h (3G)
No,No,,,No,Up to 10 h,Yes,,Analog TVSNS appsMP3/AAC+/WAV/WMA playerMP4/H.264 playerPredictive text input,No,"SMS, MMS, IM",Class 12,Yes,,,,miniUSB,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"2013, July. Released 2013, September","32MB RAM, 32MB ROM",Mediatek MT6250,,Discontinued,Yes,Downloadable,No,Class 12,Maxwest MX-200TV,Dual SIM (Mini-SIM),Maxwest,"TFT, 256K colors",GSM,"2.0 inches, 12.6 cm2(~21.7% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/maxwest-mx-200tv.jpg,69 g (2.43 oz),Yes,QWERTY,"Black/Blue, Black/Pink, White",176 x 220 pixels (~141 ppi density),,,Stereo FM radio; built-in antenna,2.1,,102 x 57 x 11 mm (4.02 x 2.24 x 0.43 in),microSDHC (dedicated slot),Yes,"Li-Ion 800 mAh, removable",1.3 MP,Up to 500 h
Flashlight,No,,,No,Up to 8 h,Yes,,No,No,"SMS, MMS",Yes,200 entries,,,,miniUSB,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"2013, July. Released 2013, July","32MB RAM, 32MB ROM",,,Discontinued,No,Downloadable,No,No,Maxwest MX-100,Dual SIM (Mini-SIM),Maxwest,"TFT, 65K colors",GSM,"1.8 inches, 10.2 cm2(~20.6% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/maxwest-mx-100.jpg,73 g (2.57 oz),Yes,,"Black, White, Red, Blue",128 x 160 pixels (~114 ppi density),,,Stereo FM radio; built-in antenna,2.1,,110 x 45 x 14 mm (4.33 x 1.77 x 0.55 in),microSDHC (dedicated slot),Yes,"Li-Ion 800 mAh, removable",VGA,Up to 800 h
