,Positioning,Single_1,4G bands,Java,Talk time,Video,Video_1,_1,WLAN,Messaging,GPRS,Phonebook,3G bands,CPU,OS,USB,2G bands,Announced,Internal,Chipset,GPU,Status,3.5mm jack,Games,NFC,EDGE,Model Name,SIM,Brand,Type,Technology,Size,Model Image,Weight,Call records,Keyboard,Colors,Resolution,Speed,Sensors,Radio,Bluetooth,Features,Dimensions,Card slot,Loudspeaker,Type_1,Single,Stand-by
,GPS,2 MP,,,Up to 15 h (3G),720p,,,"Wi-Fi 802.11 b/g/n, hotspot",,,,HSDPA 850 / 1900 / 2100,Quad-core 1.3 GHz Cortex-A7,Android 4.4.2 (KitKat),microUSB 2.0,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"2015, June. Released 2015, September",8GB 1GB RAM,Mediatek MT6582M (28 nm),Mali-400MP2,Discontinued,Yes,,No,,Maxwest Astro 6,Dual SIM (dual stand-by),Maxwest,IPS LCD,GSM / HSPA,"6.0 inches, 99.2 cm2(~71.2% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/maxwest-astro-60.jpg,150 g (5.29 oz),,,"White, Black, Blue, Red","540 x 960 pixels, 16:9 ratio (~184 ppi density)",HSPA 21.1/5.76 Mbps,"Accelerometer, proximity",Stereo FM radio,"4.0, A2DP",LED flash,166 x 84 x 8.8 mm (6.54 x 3.31 x 0.35 in),microSDHC,Yes,"Li-Ion 3000 mAh, removable","8 MP, AF",Up to 380 h (3G)
,GPS,VGA,,,Up to 12 h (3G),720p@30fps,,,"Wi-Fi 802.11 b/g/n, hotspot",,,,HSDPA 850 / 1900 / 2100,Dual-core 1.0 GHz Cortex-A7,Android 4.4.2 (KitKat),microUSB 2.0,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"2015, June. Released 2015, July",4GB 512MB RAM,Mediatek MT6572M (28 nm),Mali-400,Discontinued,Yes,,No,,Maxwest Astro X5,Dual SIM (dual stand-by),Maxwest,TFT,GSM / HSPA,"5.0 inches, 68.9 cm2(~65.9% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/maxwest-astro-x5.jpg,154 g (5.43 oz),,,"White, Black, Blue, Rose Red","480 x 854 pixels, 16:9 ratio (~196 ppi density)",HSPA 21.1/5.76 Mbps,"Accelerometer, proximity",Stereo FM radio,"4.0, A2DP",LED flash,143.7 x 72.8 x 9.4 mm (5.66 x 2.87 x 0.37 in),microSDHC,Yes,"Li-Ion 2100 mAh, removable",5 MP,Up to 170 h (3G)
,GPS,VGA,,,Up to 4 h 30 min (3G),720p,,,"Wi-Fi 802.11 b/g/n, hotspot",,,,HSDPA 850 / 1900 / 2100,Dual-core 1.0 GHz Cortex-A7,Android 4.4.2 (KitKat),microUSB 2.0,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"2015, August. Released 2015, September",512MB 256MB RAM,Mediatek MT6572M (28 nm),Mali-400,Discontinued,Yes,,No,,Maxwest Astro 3.5,Dual SIM (dual stand-by),Maxwest,"TFT, 256K colors",GSM / HSPA,"3.5 inches, 36.5 cm2(~49.6% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/maxwest-astro-35.jpg,125 g (4.41 oz),,,"White, Black, Pink, Blue, Gold","320 x 480 pixels, 3:2 ratio (~165 ppi density)",HSPA 21.1/5.76 Mbps,"Accelerometer, proximity",Stereo FM radio,"4.0, A2DP",LED flash,118.6 x 62 x 11 mm (4.67 x 2.44 x 0.43 in),microSDHC,Yes,"Li-Ion 1400 mAh, removable",2 MP,Up to 170 h (3G)
No,No,,,No,Up to 8 h,No,,MP3/AAC/WAV playerMP4/H.264/H.263 playerOrganizerPhoto viewerPredictive text input,No,"SMS, MMS, IM",Class 33,Yes,,312 MHz,,microUSB 1.1,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"2015, June. Released 2015, June",8MB 8MB RAM,,,Discontinued,No,No,No,No,Maxwest Blade,Dual SIM (dual stand-by),Maxwest,TFT,GSM,"2.4 inches, 17.8 cm2(~32.7% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/maxwest-blade.jpg,76 g (2.68 oz),Yes,,"White, Black, Red, Blue","240 x 320 pixels, 4:3 ratio (~167 ppi density)",,,Stereo FM radio,2.0,,103.2 x 52.8 x 11.1 mm (4.06 x 2.08 x 0.44 in),microSDHC,Yes,"Li-Ion 800 mAh, removable",VGA,Up to 200 h
,GPS,VGA,,,Up to 12 h (3G),1080p@25fps,,,"Wi-Fi 802.11 b/g/n, hotspot",,,,HSDPA 850 / 1900,Quad-core 1.2 GHz Cortex-A7,Android 4.4.2 (KitKat),microUSB 2.0,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"2015, June. Released 2015, July",4GB 512MB RAM,Spreadtrum SC7731,Mali-400,Discontinued,Yes,,No,,Maxwest Nitro 5,Dual SIM (dual stand-by),Maxwest,IPS LCD,GSM / HSPA,"5.0 inches, 68.9 cm2(~65.7% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/maxwest-nitro-5.jpg,155 g (5.47 oz),,,"Silver, Black, Gray","540 x 960 pixels, 16:9 ratio (~220 ppi density)",HSPA 21.1/5.76 Mbps,Accelerometer,Stereo FM radio,2.1,LED flash,145.6 x 72 x 9.6 mm (5.73 x 2.83 x 0.38 in),microSDHC,Yes,"Li-Ion 2000 mAh, removable",5 MP,Up to 170 h (3G)
HSDPA 850 / 1700 / 1900,GPS,VGA,,,Up to 5 h (3G),720p,,,"Wi-Fi 802.11 b/g/n, hotspot",,,,HSDPA 850 / 1900 / 2100,Dual-core 1.2 GHz Cortex-A7,Android 4.4.2 (KitKat),microUSB 2.0,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"2015, July. Released 2015, July",4GB 512MB RAM,Mediatek MT6572M (28 nm),Mali-400,Discontinued,Yes,,No,,Maxwest Astro 4.5,Dual SIM (dual stand-by),Maxwest,"TFT, 256K colors",GSM / HSPA,"4.5 inches, 55.8 cm2(~62.3% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/maxwest-astro-45.jpg,131 g (4.62 oz),,,"White, Black, Gold, Gray, Blue","480 x 854 pixels, 16:9 ratio (~218 ppi density)",HSPA 21.1/5.76 Mbps,"Accelerometer, proximity",Stereo FM radio,"4.0, A2DP",LED flash,134.3 x 66.7 x 10 mm (5.29 x 2.63 x 0.39 in),microSDHC,Yes,"Li-Ion 1700 mAh, removable",8 MP,Up to 190 h (3G)
,GPS,2 MP,,,Up to 14 h,1080p@30fps,,,"Wi-Fi 802.11 b/g/n, hotspot",,,,HSDPA 850 / 1900 / 2100,Dual-core 1.2 GHz Cortex-A7,Android 4.4.2 (KitKat),microUSB 2.0,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"2015, January. Released 2015, February",4GB 512MB RAM,Mediatek MT6572 (28 nm),Mali-400,Discontinued,Yes,,No,,Maxwest Nitro Phablet 71,"Dual SIM, (Dual stand-by)",Maxwest,IPS LCD,GSM / HSPA,"7.0 inches, 137.9 cm2(~70.4% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/maxwest-nitro-71.jpg,321 g (11.32 oz),,,"White, Black, Blue, Dark Blue, Golden, Gray, Pink, Red","600 x 1024 pixels, 16:9 ratio (~170 ppi density)",HSPA 21.1/5.76 Mbps,"Accelerometer, proximity",Stereo FM radio,3.0,LED flash,192 x 102 x 9.8 mm (7.56 x 4.02 x 0.39 in),microSDHC,Yes,"Li-Ion 2800 mAh, removable",5 MP,Up to 350 h
,GPS,2 MP,,,Up to 14 h,720p@30fps,,,"Wi-Fi 802.11 b/g/n, hotspot",,,,HSDPA 850 / 1900 / 1700,Dual-core 1.2 GHz Cortex-A7,Android 4.4.2 (KitKat),microUSB 2.0,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"2015, January. Released 2015, February",4GB 512MB RAM,Mediatek MT6572 (28 nm),Mali-400,Discontinued,Yes,,No,,Maxwest Nitro 5.5,"Dual SIM, (Dual stand-by)",Maxwest,IPS LCD,GSM / HSPA,"5.5 inches, 83.4 cm2(~67.8% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/maxwest-nitro-55.jpg,174 g (6.14 oz),,,"White, Black, Blue, Pink, Yellow","540 x 960 pixels, 16:9 ratio (~200 ppi density)",HSPA 21.1/5.76 Mbps,"Accelerometer, proximity",Stereo FM radio,"4.0, A2DP",LED flash,156.2 x 78.8 x 8.7 mm (6.15 x 3.10 x 0.34 in),microSDHC,Yes,"Li-Ion 2200 mAh, removable","8 MP, AF",Up to 350 h
,GPS,1.3 MP,,,Up to 12 h (3G),1080p@25fps,,,"Wi-Fi 802.11 b/g/n, hotspot",,,,HSDPA 850 / 1900 / 2100,Quad-core 1.3 GHz Cortex-A7,Android 4.4.2 (KitKat),microUSB 2.0,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"2014, November. Released 2014, December",4GB 512MB RAM,Mediatek MT6582M (28 nm),Mali-400MP2,Discontinued,Yes,,No,,Maxwest Astro 5,Dual SIM (dual stand-by),Maxwest,IPS LCD,GSM / HSPA,"5.0 inches, 68.9 cm2(~65.7% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/Maxwest-Astro-5.jpg,154 g (5.43 oz),,,"White, Black, Blue, Rose Red","480 x 854 pixels, 16:9 ratio (~196 ppi density)",HSPA 21.1/5.76 Mbps,"Accelerometer, proximity",Stereo FM radio,"4.0, A2DP",LED flash,142.8 x 73.4 x 9.3 mm (5.62 x 2.89 x 0.37 in),microSDHC,Yes,"Li-Ion 2000 mAh, removable","8 MP, AF",Up to 170 h (3G)
No,No,,,No,Up to 8 h,Yes,,MP3/AAC/WMA/WAV playerMP4/H.264/WMV playerPredictive text input,No,"SMS, MMS, IM",Yes,200 entries,,,,microUSB,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"2014, November. Released 2014, December","32MB RAM, 32MB ROM",,,Discontinued,No,Yes,No,No,Maxwest MX-110,Dual SIM (Mini-SIM),Maxwest,"TFT, 65K colors",GSM,"1.8 inches, 10.2 cm2(~19.7% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/maxwest-mx-110.jpg,63.7 g (2.22 oz),Yes,,"White, Black, Red, Baby blue, Dark Blue, Hot pink, Yellow",176 x 220 pixels (~157 ppi density),,,Stereo FM radio; built-in antenna,2.0,,110 x 47 x 14.3 mm (4.33 x 1.85 x 0.56 in),microSDHC (dedicated slot),Yes,"Li-Ion 800 mAh, removable",VGA,Up to 800 h
