,Features,Talk time,Positioning,Resolution,Type_1,WLAN,Phonebook,EDGE,Bluetooth,Messaging,Keyboard,Java,Model Image,OS,3G bands,2G bands,Call records,Card slot,Internal,Status,_3,Technology,Stand-by,Video,Games,Single,3.5mm jack,Brand,Speed,Dimensions,_2,GPRS,Weight,Colors,Announced,Type,Alert types,_1,Sensors,Size,Model Name,Loudspeaker,USB,Browser,SIM,Radio
No,,Up to 8 h,No,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",Removable Li-Ion 1100 mAh battery,No,"1000 entries, Photocall",Class 10,Yes,"SMS(threaded view), EMS, MMS",,Yes,https://fdn2.gsmarena.com/vv/bigpic/i-mobile-630.jpg,,,GSM 900 / 1800 / 1900,Yes,microSDHC (dedicated slot),,Discontinued,,GSM,Up to 420 h,480p,Yes,"8 MP, AF",No,i_mobile,,115 x 52.5 x 13 mm (4.53 x 2.07 x 0.51 in),,Class 10,102 g (3.60 oz),Black,"2009, July. Released 2009, Q4","TFT, 256K colors",,TV tuner/recorderMP3 playerMP4/3GP playerOrganizerPredictive text input,,"2.4 inches, 17.8 cm2(~29.5% screen-to-body ratio)",i-mobile TV 630,Yes,miniUSB,WAP 2.0/xHTML,Dual SIM (Mini-SIM),FM radio
No,,Up to 7 h,No,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",Removable Li-Ion 950 mAh battery,No,"1000 entries, Photocall",No,Yes,"SMS(threaded view), EMS, MMS",,Yes,https://fdn2.gsmarena.com/vv/bigpic/i-mobile-628.jpg,,,GSM 900 / 1800 / 1900,Yes,microSDHC (dedicated slot),10MB,Discontinued,,GSM,Up to 380 h,Yes,Yes,3.15 MP,No,i_mobile,,113 x 51 x 17 mm (4.45 x 2.01 x 0.67 in),,Class 12,109.5 g (3.84 oz),Black,"2009, July. Released 2009, Q4","TFT, 256K colors",,TV tunerMP3 playerMP4/3GP playerOrganizerPredictive text input,,"2.4 inches, 17.8 cm2(~31.0% screen-to-body ratio)",i-mobile TV 628,Yes,miniUSB,WAP 2.0/xHTML,Dual SIM (Mini-SIM),FM radio
No,,Up to 8 h,No,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",Removable Li-Ion 1050 mAh battery,No,"1000 entries, Photocall",,"1.2, A2DP","SMS(threaded view), EMS, MMS",,Yes,https://fdn2.gsmarena.com/vv/bigpic/i-mobile-620.jpg,,,GSM 900 / 1800 / 1900,Yes,microSDHC (dedicated slot),14MB,Discontinued,,GSM,Up to 420 h,Yes,Yes,3.15 MP,No,i_mobile,,114 x 51.5 x 14.6 mm (4.49 x 2.03 x 0.57 in),,Class 10,98 g (3.46 oz),Black,"2009, July","TFT, 256K colors",,TV tunerMP3 playerMP4/3GP playerOrganizerPredictive text input,,"2.4 inches, 17.8 cm2(~30.4% screen-to-body ratio)",i-mobile TV 620,Yes,miniUSB,WAP 2.0/xHTML,Dual SIM (Mini-SIM),FM radio
No,,Up to 3 h,No,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",Removable Li-Ion 1000 mAh battery,No,"1000 entries, Photocall",No,"1.2, A2DP","SMS(threaded view), EMS, MMS",,No,https://fdn2.gsmarena.com/vv/bigpic/i-mobile-536.jpg,,,GSM 900 / 1800 / 1900,Yes,microSDHC (dedicated slot),,Discontinued,,GSM,Up to 250 h,Yes,Yes,VGA,No,i_mobile,,112 x 51 x 13.7 mm (4.41 x 2.01 x 0.54 in),,Class 10,,"Black, Silver","2009, July. Released 2009, Q4","TFT, 256K colors",,TV tunerMP3 playerMP4/3GP playerOrganizerPredictive text input,,"2.4 inches, 17.8 cm2(~31.2% screen-to-body ratio)",i-mobile TV 536,Yes,miniUSB,WAP 2.0/xHTML,Dual SIM (Mini-SIM),FM radio
CDMA 800,,Up to 8 h 30 min,No,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",Removable Li-Ion 1050 mAh battery,No,"1000 entries, Photocall",No,Yes,"SMS(threaded view), EMS, MMS",,No,https://fdn2.gsmarena.com/vv/bigpic/i-mobile-638cg.jpg,,,GSM 900 / 1800 / 1900,Yes,microSDHC (dedicated slot),25MB,Discontinued,,GSM,Up to 400 h,Yes,Yes,3.15 MP,No,i_mobile,,113 x 51 x 14.5 mm (4.45 x 2.01 x 0.57 in),TV tunerMP3 playerMP4/3GP playerOrganizerPredictive text input,Class 12,,Black,"2009, July. Released 2009, Q4","TFT, 256K colors",,No,,"2.4 inches, 17.8 cm2(~31.0% screen-to-body ratio)",i-mobile 638CG,Yes,microUSB,WAP 2.0/xHTML,Dual SIM (Mini-SIM),FM radio
CDMA 800,,Up to 9 h,No,176 x 220 pixels (~141 ppi density),Removable Li-Ion 1050 mAh battery,No,"1000 entries, Photocall",No,Yes,"SMS(threaded view), EMS, MMS",,No,https://fdn2.gsmarena.com/vv/bigpic/i-mobile-232cg.jpg,,,GSM 900 / 1800 / 1900,Yes,microSDHC (dedicated slot),,Discontinued,,GSM,Up to 850 h,No,Yes,CIF,No,i_mobile,,109.5 x 47.8 x 11.1 mm (4.31 x 1.88 x 0.44 in),MP3 playerOrganizerPredictive text input,Class 10,-,"Black, Silver","2009, July. Released 2009, Q4","TFT, 65K colors",,No,,"2.0 inches, 12.6 cm2(~24.1% screen-to-body ratio)",i-mobile Hitz 232CG,Yes,microUSB (charging and headset only),WAP 2.0/xHTML,Mini-SIM,FM radio
No,,Up to 3 h,No,"240 x 320 pixels, 4:3 ratio (~182 ppi density)",Removable Li-Ion 1000 mAh battery,No,1000 entries,No,"1.2, A2DP","SMS, MMS",,No,https://fdn2.gsmarena.com/vv/bigpic/i-mobile-535.jpg,,,GSM 900 / 1800 / 1900,Yes,microSD (dedicated slot),,Discontinued,,GSM,Up to 250 h,Yes,Yes,1.3 MP,No,i_mobile,,108 x 48 x 13.8 mm (4.25 x 1.89 x 0.54 in),,Class 10,90 g (3.17 oz),"Black, Silver","2009, January. Released 2009, January","TFT, 256K colors",,TV tunerYamaha audio amplifierMP3 playerMP4/3GP playerOrganizerStop watchPrivate menuPredictive text input,,"2.2 inches, 15.0 cm2(~28.9% screen-to-body ratio)",i-mobile TV 535,No,miniUSB,WAP 2.0/xHTML,Dual SIM (Mini-SIM),FM radio; built-in antenna
No,LED flash,Up to 3 h,No,"240 x 320 pixels, 4:3 ratio (~200 ppi density)",Removable Li-Ion 830 mAh battery,No,1000 entries,Class 10,"1.2, A2DP","SMS, MMS",,"Yes, MIDP 2.0",https://fdn2.gsmarena.com/vv/bigpic/i-mobile-627.jpg,,,GSM 900 / 1800 / 1900,Yes,microSD (dedicated slot),63MB,Discontinued,,GSM,Up to 250 h,Yes,Yes,"3.15 MP, Casio-Hitachi module, AF",No,i_mobile,,109 x 46 x 15.2 mm (4.29 x 1.81 x 0.60 in),,Class 10,90 g (3.17 oz),"Black, Silver","2008, October. Released 2008, October","TFT, 256K colors",,Yamaha audio amplifierMP3 playerMP4/3GP playerOrganizerStop watchTalking disctionaryPrivate menuPredictive text input,Accelerometer,"2.0 inches, 12.4 cm2(~24.7% screen-to-body ratio)",i-mobile 627,"Yes, with stereo speakers",miniUSB,WAP 2.0/xHTML,Mini-SIM,FM radio; built-in antenna
No,,Up to 3 h,No,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",Removable Li-Ion 1100 mAh battery,No,500 entries,No,"1.2, A2DP","SMS, MMS",,No,https://fdn2.gsmarena.com/vv/bigpic/i-mobile-533.jpg,,,GSM 900 / 1800,Yes,microSD (dedicated slot),,Discontinued,,GSM,Up to 250 h,Yes,Yes,VGA,No,i_mobile,,112.7 x 50 x 14.5 mm (4.44 x 1.97 x 0.57 in),,Class 10,105 g (3.70 oz),"Black, Silver","2009, January. Released 2009, January","TFT, 256K colors",,TV tunerYamaha Audio AmplifierMP3 playerMP4/3GP playerOrganizerStop watchPredictive text input,,"2.4 inches, 17.8 cm2(~31.7% screen-to-body ratio)",i-mobile TV 533,No,miniUSB,WAP 2.0/xHTML,"Dual SIM (Mini-SIM, dual stand-by)",FM radio
No,,Up to 3 h 30 min,No,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",Removable Li-Ion 1100 mAh battery,No,500 entries,No,"1.2, A2DP","SMS, MMS",,No,https://fdn2.gsmarena.com/vv/bigpic/i-mobile-530.jpg,,,GSM 900 / 1800,Yes,microSD (dedicated slot),,Discontinued,,GSM,Up to 300 h,Yes,Yes,VGA,No,i_mobile,,112 x 50 x 16.4 mm (4.41 x 1.97 x 0.65 in),,Class 10,105 g (3.70 oz),Black,"2008, September. Released 2008, October","TFT, 256K colors",,TV tunerYamaha Audio AmplifierMP3 playerMP4/3GP playerOrganizerStop watchPredictive text input,,"2.4 inches, 17.8 cm2(~31.9% screen-to-body ratio)",i-mobile TV 530,No,miniUSB,WAP 2.0/xHTML,Mini-SIM,No
