,Type,Dimensions,Messaging,Model Image,_1,Keyboard,Bluetooth,3.5mm jack,Chipset,NFC,SIM,4G bands,EDGE,Video,Brand,Status,Sensors,Resolution,Phonebook,WLAN,Single,Build,Price,Features_1,USB,GPU,Internal,Card slot,Colors,3G bands,Dual_1,Talk time,OS,Loudspeaker,Single_1,Triple,Games,CPU,SAR,Dual,Radio,Type_1,Call records,2G bands,Size,Charging,Weight,Announced,Model Name,Video_1,Technology,Stand-by,Features,_2,GPRS,Protection,Positioning,Java,_3,Speed
eMMC 5.1,IPS LCD,146.5 x 71.5 x 10.2 mm (5.77 x 2.81 x 0.40 in),,https://fdn2.gsmarena.com/vv/bigpic/yezz-max2.jpg,,,"4.0, A2DP, LE",Yes,Mediatek MT6737M (28 nm),No,Nano-SIM + Micro-SIM,"2, 3, 4, 7, 12, 17, 28",,1080p@30fps,Yezz,"Available. Released 2022, January",No,"480 x 960 pixels, 18:9 ratio (~197 ppi density)",,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","8 MP, AF",,About 60 EUR,,microUSB 2.0,Mali-T720MP2,32GB 1GB RAM,microSDHC,"Ocean Green, Space Black, Pacific Blue",HSDPA 850 / 900 / 2100,,,Android 11 (Go edition),Yes,5 MP,,,Quad-core 1.45 GHz Cortex-A53,,,"Stereo FM radio, recording","Li-Ion 2500 mAh, removable",,GSM 850 / 900 / 1800 / 1900,"5.45 inches, 76.7 cm2(~73.2% screen-to-body ratio)",USB Power Delivery,170 g (6.00 oz),"2021, October",Yezz Max 2,,GSM / HSPA / LTE,,LED flash,,,Asahi Glass,GPS,,,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps"
eMMC 5.1,TFT LCD,144.6 x 73.4 x 10.7 mm (5.69 x 2.89 x 0.42 in),,https://fdn2.gsmarena.com/vv/bigpic/yezz-liv3.jpg,,,"4.2, A2DP, LE",Yes,Unisoc SC9832E (28 nm),No,Nano-SIM + Nano-SIM,"2, 3, 4, 7, 17",,1080p@30fps,Yezz,"Available. Released 2021, December",Accelerometer,"480 x 854 pixels, 16:9 ratio (~196 ppi density)",,Wi-Fi 802.11 b/g/n,2 MP,,,,microUSB 2.0,Mali-T820 MP1,16GB 1GB RAM,microSDXC (dedicated slot),"Smoke Black, Glacier Blue, Forest Green",HSDPA 850 / 900 / 1900 / 2100,,,Android 11 (Go edition),Yes,,,,Quad-core 1.3 GHz Cortex-A53,,5 MPVGA,Stereo FM radio,"Li-Ion 2000 mAh, removable",,GSM 850 / 900 / 1800 / 1900,"5.0 inches, 68.9 cm2(~64.9% screen-to-body ratio)",,-,"2021, August",Yezz Liv 3 LTE,,GSM / HSPA / LTE,,"LED flash, HDR, panorama",,,Asahi Glass,GPS,,,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps"
,OLED,125.7 x 63.5 x 9 mm (4.95 x 2.5 x 0.35 in),,https://fdn2.gsmarena.com/vv/bigpic/yezz-go3.jpg,,,"4.2, A2DP, LE",Yes,Unisoc SC7731e,No,Nano-SIM + Nano-SIM,,,720p@30fps,Yezz,"Available. Released 2021, August",N/A,"360 x 640 pixels, 16:9 ratio (~184 ppi density)",,Wi-Fi 802.11 b/g/n,5 MP,,About 50 EUR,,microUSB 2.0,Mali-400 MP2,8GB 1GB RAM,microSDXC (dedicated slot),"Black, Blue, Green",HSDPA 850 / 900 / 1900 / 2100,,,Android 11 (Go edition),Yes,2 MP,,,Quad-core 1.3 GHz Cortex-A7,,,FM radio,"Li-Ion 1350 mAh, removable",,GSM 850 / 900 / 1800 / 1900,"4.0 inches, 44.1 cm2(~55.3% screen-to-body ratio)",,84.5 g (3.00 oz),"2021, April",Yezz GO 3,,GSM / HSPA,,"LED flash, Panorama, HDR",,,AGC glass,GPS,,,HSPA 21.1/5.76 Mbps
,IPS LCD,164.2 x 76.3 x 8.8 mm (6.46 x 3.00 x 0.35 in),,https://fdn2.gsmarena.com/vv/bigpic/yezz-art-2-pro.jpg,,,"4.2, A2DP, LE",Yes,Unisoc SC9863A (28 nm),No,Nano-SIM + Nano-SIM,"2, 3, 4, 7, 12, 17, 28",,1080p@30fps,Yezz,"Available. Released 2021, July","Fingerprint (side-mounted), accelerometer, gyro, proximity","720 x 1600 pixels, 20:9 ratio (~269 ppi density)",,Wi-Fi 802.11 b/g/n,"13 MP, f/2.0","Glass front, aluminum back, aluminum frame",About 120 EUR,,USB Type-C 2.0,IMG8322,"64GB 3GB RAM, 128GB 4GB RAM",microSDXC (dedicated slot),"Graphite Black, Arctic Blue",HSDPA 900 / 1900 / 850,,,Android 11,Yes,,"16 MP, f/2.0, 1/2.8"", AF2 MP2 MP",,Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),0.40 W/kg (head)     0.74 W/kg (body),,"Stereo FM radio, recording",Li-Ion 5000 mAh,,GSM 850 / 900 / 1800 / 1900,"6.53 inches, 102.9 cm2(~82.2% screen-to-body ratio)","10W wired, PD",188 g (6.63 oz),"2021, April",Yezz Art 2 Pro,,GSM / HSPA / LTE,,"LED flash, HDR, panorama",,,Asahi Glass,GPS,,,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps"
eMMC 5.1,IPS LCD,149.7 x 72.2 x 9.7 mm (5.89 x 2.84 x 0.38 in),,https://fdn2.gsmarena.com/vv/bigpic/yezz-max2-plus.jpg,,,"4.0, A2DP, LE",Yes,Unisoc SC9832E (28 nm),No,Nano-SIM + Nano-SIM,"2, 3, 4, 7, 12, 17, 28",,1080p@30fps,Yezz,"Available. Released 2021, July","Fingerprint (rear-mounted), accelerometer","720 x 1440 pixels, 18:9 ratio (~293 ppi density)",,Wi-Fi 802.11 b/g/n,8 MP,,About 70 EUR,,microUSB 2.0,Mali-T820 MP1,32GB 2GB RAM,microSDXC,"Black Panther, Pacific Blue",HSDPA 850 / 900 / 1900 / 2100,,,Android 11,Yes,,,,Quad-core 1.3 GHz,0.77 W/kg (head)     0.59 W/kg (body),"13 MP, AF0.3 MP","Stereo FM radio, recording","Li-Ion 2600 mAh, removable",,GSM 850 / 900 / 1800 / 1900,"5.5 inches, 78.1 cm2(~72.2% screen-to-body ratio)",USB Power Delivery,150 g (5.29 oz),"2021, April",Yezz Max 2 Plus,,GSM / HSPA / LTE,,"LED flash, HDR, panorama",,,Asahi Glass,GPS,,,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps"
eMMC 5.1,IPS LCD,141.2 x 66.7 x 10 mm (5.56 x 2.63 x 0.39 in),,https://fdn2.gsmarena.com/vv/bigpic/yezz-liv-1s.jpg,,,"4.2, A2DP, LE",Yes,Spreadtrum SC7731E (28 nm),No,Nano-SIM + Nano-SIM,,,1080p@30fps,Yezz,"Available. Released 2021, February",Accelerometer,"480 x 960 pixels, 18:9 ratio (~217 ppi density)",,Wi-Fi 802.11 b/g/n,"5 MP, f/2.2, AF",,About 50 EUR,LED flash,microUSB 2.0,Mali-T820,16GB 1GB RAM,microSDXC (dedicated slot),"Storm Black, Steel Grey, Tropical Green, Caribbean Blue",HSDPA 850 / 900 / 1900 / 2100,,,Android 10 (Go edition),Yes,"2 MP, f/2.8",,,Quad-core 1.3 GHz,,,"FM radio, recording","Li-Ion 2000 mAh, removable",,GSM 850 / 900 / 1800 / 1900,"4.95 inches, 63.2 cm2(~67.1% screen-to-body ratio)",,137 g (4.83 oz),"2020, November",Yezz Liv 1s,,GSM / HSPA,,"LED flash, HDR, panorama",,,Asahi Glass,"GPS, GLONASS",,,HSPA 21.1/5.76 Mbps
eMMC 5.1,IPS LCD,163.9 x 77.9 x 8.9 mm (6.45 x 3.07 x 0.35 in),,https://fdn2.gsmarena.com/vv/bigpic/yezz-art-1-pro.jpg,,,"4.2, A2DP, LE",Yes,Mediatek MT6762D Helio A25 (12 nm),No,Nano-SIM + Nano-SIM,"2, 3, 4, 7, 12, 17, 28",,"1080p@30fps, gyro-EIS",Yezz,"Available. Released 2020, November","Fingerprint (rear-mounted), accelerometer, gyro, proximity","720 x 1560 pixels, 19.5:9 ratio (~263 ppi density)",,Wi-Fi 802.11 a/b/g/n,"8 MP, f/2.4, 1/4.0""",,About 100 EUR,,microUSB 2.0,PowerVR GE8320,64GB 4GB RAM,microSDXC (uses shared SIM slot),Stellar Blue,HSDPA 900 / 1900 / 850,,,Android 10,Yes,,"16 MP, f/2.8, 1/2.8"", AF2 MP2 MP",,Octa-core (4x1.8 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53),0.40 W/kg (head)     0.74 W/kg (body),,"Stereo FM radio, recording",Li-Ion 4000 mAh,,GSM 850 / 900 / 1800 / 1900,"6.53 inches, 104.7 cm2(~82.0% screen-to-body ratio)","10W wired, PD",120 g (4.23 oz),"2020, August",Yezz Art 1 Pro,,GSM / HSPA / LTE,,LED flash,,,Asahi Glass,GPS,,,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps"
eMMC 5.1,TFT LCD,149 x 72.5 x 9.7 mm (5.87 x 2.85 x 0.38 in),,https://fdn2.gsmarena.com/vv/bigpic/yezz-liv-2-lte.jpg,,,"4.0, A2DP, LE",Yes,Mediatek MT6739 (28 nm),No,"Dual SIM (Micro-SIM, dual stand-by)","2, 3, 4, 7, 12, 17, 28",,1080p@30fps,Yezz,"Available. Released 2020, August","Accelerometer, proximity","540 x 960 pixels, 16:9 ratio (~220 ppi density)",,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,,,LED flash,microUSB 2.0,,16GB 1GB RAM,microSDXC (dedicated slot),"Black, Green, Red, Gray",HSDPA 850 / 900 / 1900 / 2100,"12 MP, f/1.8, 25mm (wide), 1/2.55"", 1.4µm8 MP, 12mm, (ultrawide)",,Android 10 (Go edition),Yes,,,,Quad-core 1.5 GHz Cortex-A53,,"8 MP, AF2 MP","FM radio, recording","Li-Ion 2450 mAh, removable",,GSM 850 / 900 / 1800 / 1900,"5.0 inches, 68.9 cm2(~63.8% screen-to-body ratio)",,112 g (3.95 oz),"2020, March",Yezz Liv 2 LTE,1080p@30fps,GSM / HSPA / LTE,,"LED flash, HDR",,,Corning Gorilla Glass 3 or Asahi Dragontrail Glass,"GPS, GLONASS",,,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps"
eMMC 5.1,TFT LCD,155.2 x 72.9 x 9.7 mm (6.11 x 2.87 x 0.38 in),,https://fdn2.gsmarena.com/vv/bigpic/yezz-art1.jpg,,,"4.0, A2DP, LE",Yes,Mediatek MT6739 (28 nm),No,Nano-SIM + Nano-SIM,"2, 3, 4, 7, 12, 17, 28",,1080p@30fps,Yezz,"Available. Released 2020, August","Fingerprint (rear-mounted), accelerometer, gyro, proximity","720 x 1560 pixels, 19.5:9 ratio (~282 ppi density)",,Wi-Fi 802.11 b/g/n,8 MP,,,,microUSB 2.0,,32GB 3GB RAM,microSDXC (dedicated slot),"Green, Blue",HSDPA 900 / 1900 / 850,,,Android 10,Yes,,,,Quad-core 1.5 GHz Cortex-A53,,"13 MP, AF0.3 MP",Stereo FM radio,"Li-Ion 3000 mAh, removable",,GSM 850 / 900 / 1800 / 1900,"6.1 inches, 91.3 cm2(~80.7% screen-to-body ratio)",,120 g (4.23 oz),"2020, March",Yezz Art 1,,GSM / HSPA / LTE,,"Dual-LED flash, panorama, HDR",,,AGC glass,GPS,,,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps"
,TFT LCD,128.5 x 65.2 x 11 mm (5.06 x 2.57 x 0.43 in),,https://fdn2.gsmarena.com/vv/bigpic/yezz-go1.jpg,,,"4.0, A2DP, LE",Yes,Mediatek MT6580 (28 nm),No,Nano-SIM + Nano-SIM,,,720p,Yezz,"Available. Released 2020, July 28",Accelerometer,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",,Wi-Fi 802.11 a/b/g/n,5 MP,,,,microUSB 2.0,Mali-400,8GB 1GB RAM,microSDXC (dedicated slot),Black,HSDPA 850 / 900 / 1900 / 2100,,,Android 10 (Go edition),Yes,2 MP,,,Quad-core 1.3 GHz,,,FM radio,"Li-Ion 1400 mAh, removable",,GSM 850 / 900 / 1800 / 1900,"4.0 inches, 45.5 cm2(~54.4% screen-to-body ratio)",,123 g (4.34 oz),"2020, February",Yezz GO 1,,GSM / HSPA,,"LED flash, Panorama, HDR",,,,GPS,,,HSPA 21.1/5.76 Mbps
,IPS,148.7 x 70.9 x 8.9 mm (5.85 x 2.79 x 0.35 in),,https://fdn2.gsmarena.com/vv/bigpic/yezz-max-1-plus.jpg,,,"4.0, A2DP, LE",Yes,Unisoc SC9832E (28 nm),No,Nano-SIM + Nano-SIM,"2, 3, 4, 7, 12, 17",,1080p@30fps,Yezz,"Available. Released 2019, September",,"720 x 1440 pixels, 18:9 ratio (~295 ppi density)",,Wi-Fi 802.11 b/g/n,8 MP,,About 80 EUR,LED flash,microUSB 2.0,Mali-T820 MP1,16GB 2GB RAM,microSDXC (dedicated slot),"Black, Gun Metal, Blue",HSDPA 850 / 900 / 1900 / 2100,,Up to 9 h,Android 9.1 (Pie),Yes,,,,Quad-core 1.3 GHz Cortex-A53,,"8 MP, AF0.3 MP",Stereo FM radio,"Li-Ion 2800 mAh, removable",,GSM 850 / 900 / 1800 / 1900,"5.45 inches, 76.7 cm2(~72.7% screen-to-body ratio)",,154.8 g (5.47 oz),"2019, August",Yezz Max 1 Plus,,GSM / HSPA / LTE,Up to 280 h,"LED flash, panorama, HDR",,,AGC glass,GPS,,,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps"
,TFT LCD,138.5 x 65.8 x 9.5 mm (5.45 x 2.59 x 0.37 in),,https://fdn2.gsmarena.com/vv/bigpic/yezz-liv1.jpg,,,"4.0, A2DP, LE",Yes,Unisoc SC7731E (28 nm),No,Nano-SIM + Nano-SIM,,,1080p@30fps,Yezz,"Available. Released 2019, September",Accelerometer,"480 x 960 pixels, 18:9 ratio (~215 ppi density)",,Wi-Fi 802.11 b/g/n,5 MP,,About 50 EUR,LED flash,microUSB 2.0,Mali-T820 MP1,16GB 1GB RAM,microSDXC (dedicated slot),"Black, Gun Metal, Blue, Red",HSDPA 850 / 900 / 1900 / 2100,,Up to 7 h 30 min,Android 9.1 Pie (Go edition),Yes,2 MP,,,Quad-core 1.3 GHz Cortex-A7,,,Stereo FM radio,"Li-Ion 2000 mAh, removable",,GSM 850 / 900 / 1800 / 1900,"5.0 inches, 64.5 cm2(~70.8% screen-to-body ratio)",,133.3 g (4.69 oz),"2019, August",Yezz LIV1,720p@30fps,GSM / HSPA,Up to 220 h,"LED flash, panorama, HDR",,,AGC glass,GPS,,,HSPA 21.1/5.76 Mbps
,TFT,139 x 65.8 x 8.8 mm (5.47 x 2.59 x 0.35 in),,https://fdn2.gsmarena.com/vv/bigpic/yezz-max1.jpg,,,"4.0, A2DP, LE",Yes,Mediatek MT6580M (28 nm),No,Nano-SIM + Nano-SIM,,,720p@30fps,Yezz,"Available. Released 2018, December",Accelerometer,"480 x 960 pixels, 18:9 ratio (~215 ppi density)",,Wi-Fi 802.11 b/g/n,8 MP,,About 60 EUR,LED flash,microUSB 2.0,Mali-400,16GB 2GB RAM,microSDHC (dedicated slot),Black,HSDPA 850 / 900 / 1900 / 2100,,Up to 5 h 30 min,Android 8.1 (Oreo),Yes,8 MP,,,Quad-core 1.3 GHz Cortex-A7,,,FM radio,"Li-Ion 2000 mAh, removable",,GSM 850 / 900 / 1800 / 1900,"5.0 inches, 64.5 cm2(~70.5% screen-to-body ratio)",,120 g (4.23 oz),"2018, October",Yezz Max 1,720p@30fps,GSM / HSPA,Up to 180 h,"LED flash, panorama, HDR",,,,GPS,,,HSPA 42.2/5.76 Mbps
,TN,126 x 65 x 10.7 mm (4.96 x 2.56 x 0.42 in),,https://fdn2.gsmarena.com/vv/bigpic/yezz-4e7.jpg,,,"4.0, A2DP, LE",Yes,Mediatek MT6580M (28 nm),No,Nano-SIM + Micro-SIM,,,1080p@30fps,Yezz,"Available. Released 2018, September","Accelerometer, proximity","480 x 800 pixels, 5:3 ratio (~187 ppi density)",,Wi-Fi 802.11 a/b/g/n,5 MP,,,,microUSB 2.0,Mali-400,8GB 1GB RAM,microSDHC (dedicated slot),"Black, Dark Gray, Gold",HSDPA 850 / 900 / 1900 / 2100,,Up to 4 h,Android 8.1 Oreo (Go edition),Yes,2 MP,,,Quad-core 1.3 GHz Cortex-A7,,,"FM radio, recording","Li-Ion 1400 mAh, removable",,GSM 850 / 900 / 1800 / 1900,"5.0 inches, 71.2 cm2(~86.9% screen-to-body ratio)",,112 g (3.95 oz),"2018, September",Yezz Andy 4E7,,GSM / HSPA,Up to 300 h,LED flash,,,,GPS,,,HSPA 21.1/5.76 Mbps
HSDPA 850 / 1900 - 5E5043,TN,139.8 x 71.5 x 8.6 mm (5.50 x 2.81 x 0.34 in),,https://fdn2.gsmarena.com/vv/bigpic/yezz-5e5.jpg,,,"4.0, A2DP, LE",Yes,Mediatek MT6580M (28 nm),No,Nano-SIM + Micro-SIM,,,1080p@30fps,Yezz,"Available. Released 2018, August",Accelerometer,"480 x 854 pixels, 16:9 ratio (~196 ppi density)",,Wi-Fi 802.11 a/b/g/n,5 MP,,,,microUSB 2.0,Mali-400MP2,8GB 1GB RAM,microSDHC (dedicated slot),"Black, Dark Gray, Gold",HSDPA 850 / 900 / 1900 / 2100 - 5E5052,,Up to 6 h (3G),Android 8.0 Oreo (Go edition),Yes,2 MP,,,Quad-core 1.3 GHz Cortex-A7,,,Stereo FM radio,"Li-Ion 2000 mAh, non-removable",,GSM 850 / 900 / 1800 / 1900,"5.0 inches, 68.9 cm2(~68.9% screen-to-body ratio)",,125 g (4.41 oz),"2018, August",Yezz Andy 5E5,,GSM / HSPA,Up to 180 h (3G),LED flash,,,Yes,GPS,,,HSPA 21.1/5.76 Mbps
IP68 dust/water resistant (up to 1.5m for 30 min)MIL-STD-810G compliantFlashlight,IPS LCD,168.8 x 86.5 x 15.9 mm (6.65 x 3.41 x 0.63 in),,https://fdn2.gsmarena.com/vv/bigpic/yezz-epic-t.jpg,eMMC 5.1,,"4.0, A2DP, LE",Yes,Mediatek MT6750 (28 nm),No,Nano-SIM + Nano-SIM,"2, 4, 7, 17, 28",,1080p@60fps,Yezz,"Available. Released 2018, April","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct","16 MP, AF",,About 250 EUR,,USB Type-C 2.0,Mali-T860MP2,32GB 3GB RAM,microSDXC (dedicated slot),Black,HSDPA 850 / 1900 / 2100,,Up to 30 h (3G),Android 7.0 (Nougat),Yes,8 MP,,,Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),,,FM radio,"Li-Po 9000 mAh, non-removable",,GSM 850 / 900 / 1800 / 1900,"5.5 inches, 83.4 cm2(~57.1% screen-to-body ratio)",10W wired,469 g (1.03 lb),"2018, March",Yezz Epic T,,GSM / HSPA / LTE,Up to 650 h (3G),"LED flash, panorama, HDR",,,Corning Gorilla Glass 3,GPS,,,"HSPA 42.2/11.5 Mbps, LTE (2CA) Cat6 300/50 Mbps"
,TN,125.8 x 63 x 10.8 mm (4.95 x 2.48 x 0.43 in),,https://fdn2.gsmarena.com/vv/bigpic/yezz-4e4.jpg,,,2.1,Yes,Spreadtrum SC7731C,No,"Dual SIM, (Micro-SIM)",,,720p@30fps,Yezz,Discontinued,Accelerometer,"480 x 854 pixels, 16:9 ratio (~245 ppi density)",,Wi-Fi 802.11 a/b/g/n,5 MP,,,,microUSB 2.0,Mali-400MP2,4GB 512MB RAM,microSDXC (dedicated slot),"Black, White, Gray, Blue, Pink",HSDPA 850 / 1900 - AM4E4I043,,Up to 4 h (3G),Android 6.0 (Marshmallow),Yes,2 MP,,,Quad-core 1.2 GHz Cortex-A7,,,Stereo FM radio,Li-Ion 1400 mAh battery,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"4.0 inches, 44.1 cm2(~55.6% screen-to-body ratio)",,112 g (3.95 oz),"2016, November. Released 2016, December",Yezz Andy 4E4,,GSM / HSPA,Up to 116 h (3G),"LED flash, panorama",,,,GPS,,,HSPA 21.1/5.76 Mbps
eMMC 5.0,IPS LCD,136.5 x 66 x 8.8 mm (5.37 x 2.60 x 0.35 in),,https://fdn2.gsmarena.com/vv/bigpic/yezz-4.5el-lte.jpg,,,"4.0, LE",Yes,Mediatek MT6737M (28 nm),No,Dual SIM (Mini-SIM/ Micro-SIM),"4, 7, 17",,1080p@30fps,Yezz,Discontinued,Accelerometer,"480 x 854 pixels, 16:9 ratio (~218 ppi density)",,Wi-Fi 802.11 b/g/n,5 MP,,,,microUSB 2.0,Mali-T720MP2,8GB 1GB RAM,microSDHC,Black,HSDPA 850 / 1900 - AM45EL133,,Up to 7 h (3G),Android 6.0 (Marshmallow),Yes,2 MP,,,Quad-core 1.1 GHz Cortex-A53,,,Stereo FM radio,Li-Ion 1700 mAh battery,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"4.5 inches, 55.8 cm2(~61.9% screen-to-body ratio)",,130 g (4.59 oz),"2016, November. Released 2016, December",Yezz 4.5EL LTE,,GSM / HSPA / LTE,Up to 250 h (3G),"LED flash, HDR, panorama",,,,GPS,,,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps"
,IPS LCD,143.7 x 72.4 x 9.5 mm (5.66 x 2.85 x 0.37 in),,https://fdn2.gsmarena.com/vv/bigpic/yezz-5m.jpg,,,"4.0, LE",Yes,Mediatek MT6580 (28 nm),No,Dual SIM (Micro-SIM),,,720p@30fps,Yezz,Discontinued,"Accelerometer, proximity","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",8 MP,,,,microUSB 2.0,Mali-400MP2,8GB 1GB RAM,microSDXC (dedicated slot),Black,HSDPA 850 / 1900 - AM5M2L043,,Up to 9 h,Android 6.0 (Marshmallow),Yes,5 MP,,,Quad-core 1.3 GHz Cortex-A7,,,Stereo FM radio,Li-Ion 2300 mAh battery,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"5.0 inches, 68.9 cm2(~66.2% screen-to-body ratio)",,114 g (4.02 oz),"2016, November. Released 2016, December",Yezz 5M,,GSM / HSPA,Up to 300 h,"LED flash, panorama",,,,GPS,,,HSPA 21.1/5.76 Mbps
No,"TFT, 256K colors",113 x 48.5 x 14.6 mm (4.45 x 1.91 x 0.57 in),SMS,https://fdn2.gsmarena.com/vv/bigpic/yezz-c21.jpg,MP3/WAV player,,2.1,No,Spreadtrum SC6531DA,No,Dual SIM (Mini-SIM),,No,Yes,Yezz,Discontinued,,128 x 160 pixels (~114 ppi density),Yes,No,VGA,,,,microUSB 2.0,,4MB 4MB RAM,microSDHC (dedicated slot),"Black, White, Red, Blue",,,Up to 3 h,,Yes,,,No,321 Mhz,,,Stereo FM radio,"Li-Ion 600 mAh, removable",Yes,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 - CM21A003,"1.8 inches, 10.2 cm2(~18.6% screen-to-body ratio)",,70 g (2.47 oz),"2016, July. Released 2016, August",Yezz C21,,GSM,Up to 180 h,,,Up to 48 kbps,,No,No,,
,TFT,145.5 x 74.8 x 8.9 mm (5.73 x 2.94 x 0.35 in),,https://fdn2.gsmarena.com/vv/bigpic/yezz-andy-5ei3.jpg,,,"4.0, LE",Yes,Mediatek MT6580M (28 nm),No,Dual SIM (Mini-SIM/ Micro-SIM),,,720p@30fps,Yezz,Discontinued,Accelerometer,"480 x 854 pixels, 16:9 ratio (~196 ppi density)",,"Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct",5 MP,,,,microUSB 2.0,Mali-400MP2,8GB 512MB RAM,microSDXC (dedicated slot),"Black, Blue, Red, Gun Metal, White, Silver, Pink",HSDPA 900 / 2100 - AM5E047,,Up to 8 h (3G),Android 6.0 (Marshmallow),Yes,2 MP,,,Quad-core 1.3 GHz Cortex-A7,,,Stereo FM radio,Li-Ion 2000 mAh battery,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"5.0 inches, 68.9 cm2(~63.3% screen-to-body ratio)",,153 g (5.40 oz),"2016, June. Released 2016, August",Yezz Andy 5EI3 (2016),,GSM / HSPA,Up to 333 h (3G),"LED flash, panorama",,,,GPS,,,HSPA 21.1/5.76 Mbps
HSDPA 850 / 1900 - AM5E3043,TN,145.5 x 74.8 x 8.9 mm (5.73 x 2.94 x 0.35 in),,https://fdn2.gsmarena.com/vv/bigpic/yezz-andy-5E3.jpg,HSDPA 850 / 2100 - AM5E3062,,"4.0, LE",Yes,Mediatek MT6580M (28 nm),No,"Dual SIM (Micro-SIM/ Mini-SIM, dual stand-by)",,,720p@30fps,Yezz,Discontinued,Accelerometer,"480 x 854 pixels, 16:9 ratio (~196 ppi density)",,"Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct",5 MP,,,,microUSB 2.0,Mali-400MP2,8GB 512MB RAM,microSDXC (dedicated slot),"Black, Blue, Red, Gun Metal, White, Silver, Pink",HSDPA 850 / 1700 / 1900 - AM5E054,,Up to 8 h (3G),Android 6.0 (Marshmallow),Yes,2 MP,,,Quad-core 1.3 GHz Cortex-A7,,,FM radio,"Li-Ion 2000 mAh, removable",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"5.0 inches, 68.9 cm2(~63.3% screen-to-body ratio)",,153 g (5.40 oz),"2016, June. Released 2016, August",Yezz Andy 5E3,,GSM / HSPA,Up to 333 h (3G),,,,,GPS,,,HSPA 21.1/5.76 Mbps
eMMC 4.5,IPS LCD,135.8 x 67.2 x 7.2 mm (5.35 x 2.65 x 0.28 in),,https://fdn2.gsmarena.com/vv/bigpic/yezz-andy-47t.jpg,,,"4.0, A2DP",Yes,Qualcomm MSM8212 Snapdragon 200 (28 nm),No,"Dual SIM (Micro-SIM, dual stand-by)",,,720p@30fps,Yezz,Discontinued,"Accelerometer, proximity, compass","720 x 1280 pixels, 16:9 ratio (~312 ppi density)",,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","8 MP, AF",,,,microUSB 2.0,Adreno 302,8GB 1GB RAM,microSDXC (dedicated slot),"Blue, Red, White",HSDPA 850 / 900 / 1900 / 2100 - SIM 1 & SIM 2,,Up to 16 h (2G) / Up to 7 h 30 min (3G),Android 4.4 (KitKat),Yes,2 MP,,,Quad-core 1.2 GHz Cortex-A7,,,FM radio,"Li-Ion 1780 mAh, removable",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"4.7 inches, 60.9 cm2(~66.7% screen-to-body ratio)",,120 g (4.23 oz),"2016, April. Released 2016, May",Yezz Andy 4.7T,,GSM / HSPA,Up to 480 h (2G) / Up to 350 h (3G),"LED flash, panorama, HDR",,,Asahi Dragontrail Glass,"GPS, GLONASS",,,HSPA 42.2/11.5 Mbps
