,Keyboard,CPU,Model Image,Talk time_1,Video_1,Charging,WLAN,Talk time,Protection,3G bands,Bluetooth,Brand,Music play,Single,Triple,_2,Performance,Single_1,Type,_9,Call records,Dual,Display,1TB 24GB RAM,256GB 8GB RAM,Technology,Games,Messaging,USB,Battery (new),128GB 8GB RAM,Triple_1,Speed,Battery (old),_6,3.5mm jack,SIM,5G bands,256GB 16GB RAM,_5,Internal,Models,Loudspeaker,Card slot,Java,Stand-by,Infrared port,Loudspeaker_1,Chipset,512GB 16GB RAM,SAR EU,Phonebook,_8,GPRS,NFC,OS,Features,Positioning,_7,Sensors,_1,Video,Dimensions,2G bands,256GB 12GB RAM,Browser,_10,Announced,Resolution,Price,_3,Alert types,EDGE,Audio quality,Status,Camera,SAR,Radio,Dual_1,Build,Stand-by_1,Features_1,Colors,Weight,Size,Type_1,_4,GPU,Model Name,4G bands
HSDPA 800 / 900 / 1700 / 1800 / 1900 / 2100  - China,,Octa-core (2x4.32 GHz Oryon V2 Phoenix L + 6x3.53 GHz Oryon V2 Phoenix M),https://fdn2.gsmarena.com/vv/bigpic/asus-rog-phone-9-pro.jpg,,1080p@30fps,"65W wired, PD3.0, PPS, QC5, 100% in 46 min15W wireless (Qi)10W reverse wired","Wi-Fi 802.11 a/b/g/n/ac/6e/7, tri-band, Wi-Fi Direct",,Corning Gorilla Glass Victus 2,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100 - Global,"5.4, A2DP, LE, aptX HD, aptX Adaptive, aptX Lossless",Asus,,"32 MP, f/2.5, 22mm (wide), 1/3.2"", 0.7µm","50 MP, f/1.9, 24mm (wide), 1/1.56"", 1.0µm, PDAF, gimbal OIS32 MP, f/2.4, (telephoto), 1/3.2"", 0.7µm, PDAF, OIS, 3x optical zoom13 MP, f/2.2, 13mm, 120˚ (ultrawide)","1, 2, 3, 4, 5, 7, 8, 18, 19, 26, 28, 34, 38, 39, 40, 41, 42, 48 - China",AnTuTu: 3042971 (v10)GeekBench: 10179 (v6)3DMark: 6718 (Wild Life Extreme),,"LTPO AMOLED, 1B colors, 185Hz, HDR10, 1600 nits (HBM), 2500 nits (peak)",,,,1958 nits max brightness (measured),"$ 1,499.99",,GSM / HSPA / LTE / 5G,,,"USB Type-C (side), DisplayPort 1.4; USB Type-C (bottom), OTG",Active use score 16:41h,,,"HSPA, LTE (Up to 7CA), 5G",,Always-On display,Yes,Nano-SIM +eSIMNano-SIM + Nano-SIM,"1, 2, 3, 5, 7, 8, 12, 18, 20, 25, 26, 28, 38, 40, 41, 48, 66, 77, 78, 79 SA/NSA/Sub6 - International",,IP68 dust/water resistant (up to 1.5m for 30 min)Mini-LED (648 dots) programmable matrix (on the back)Pressure sensitive zones (Gaming triggers),"512GB 16GB RAM, 1TB 24GB RAM","AI2501-16G512G-BK, AI2501-24G1T-BK","Yes, with stereo speakers",No,,,,-26.7 LUFS (Good),Qualcomm SM8750-AB Snapdragon 8 Elite (3 nm),"$ 1,199.99",,,32-bit/384kHz Hi-Res & Hi-Res wireless audio,,Yes,"Android 15, up to 2 major Android upgrades","LED flash, HDR, panorama","GPS (L1+L5), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5), NavIC (L5), GLONASS",UFS 4.0NTFS support for external storage,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 25, 26, 29, 30, 32, 34, 38, 39, 40, 41, 42, 43, 48, 66, 71 - USA","8K@30fps, 4K@30/60/120fps, 1080p@30/60/120/240fps, 720p@480fps; gyro-EIS, HDR10+",163.8 x 76.8 x 8.9 mm (6.45 x 3.02 x 0.35 in),GSM 850 / 900 / 1800 / 1900,,,,"2024, November 19","1080 x 2400 pixels, 20:9 ratio (~388 ppi density)","$ 1,199.99 / £ 1,096.23 / € 1,298.87","1, 2, 3, 5, 7, 8, 12, 18, 20, 25, 26, 29, 30, 38, 40, 41, 48, 66, 71, 77, 78, 79 SA/NSA/Sub6 - USA",,,,"Available. Released 2024, November 20",,,No,,"Glass front (Gorilla Glass Victus 2), glass back (Gorilla Glass), aluminum frame",,"Panorama, HDR",Phantom Black,227 g (8.01 oz),"6.78 inches, 111.0 cm2(~88.2% screen-to-body ratio)",5800 mAh,"1, 3, 5, 8, 28, 41, 77, 78, 79 SA/NSA/Sub6 - China",Adreno 830,Asus ROG Phone 9 Pro,"1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 25, 26, 28, 32, 34, 38, 39, 40, 41, 42, 43, 48, 66 - International"
HSDPA 800 / 900 / 1700 / 1800 / 1900 / 2100 - China,,Octa-core (2x4.32 GHz Oryon V2 Phoenix L + 6x3.53 GHz Oryon V2 Phoenix M),https://fdn2.gsmarena.com/vv/bigpic/asus-rog-phone-9.jpg,,1080p@30fps,"65W wired, PD3.0, PPS, QC5, 100% in 46 min15W wireless (Qi)10W reverse wired","Wi-Fi 802.11 a/b/g/n/ac/6e/7, tri-band, Wi-Fi Direct",,Corning Gorilla Glass Victus 2,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100 - Global,"5.4, A2DP, LE, aptX HD, aptX Adaptive, aptX Lossless",Asus,,"32 MP, f/2.5, 22mm (wide), 1/3.2"", 0.7µm","50 MP, f/1.9, 24mm (wide), 1/1.56"", 1.0µm, PDAF, gimbal OIS13 MP, f/2.2, 13mm, 120˚ (ultrawide)5 MP, f/2.4, (macro)","1, 2, 3, 4, 5, 7, 8, 18, 19, 26, 28, 34, 38, 39, 40, 41, 42, 48 - China",AnTuTu: 3007932 (v10)GeekBench: 10083 (v6)3DMark: 6718 (Wild Life Extreme),,"LTPO AMOLED, 1B colors, 185Hz, HDR10, 1600 nits (HBM), 2500 nits (peak)",,,,1958 nits max brightness (measured),,,GSM / HSPA / LTE / 5G,,,"USB Type-C (side), DisplayPort 1.4; USB Type-C (bottom), OTG",Active use score 16:41h,,,"HSPA, LTE (Up to 7CA), 5G",,Always-On display,Yes,Nano-SIM +eSIMNano-SIM + Nano-SIM,"1, 2, 3, 5, 7, 8, 12, 18, 20, 25, 26, 28, 38, 40, 41, 48, 66, 77, 78, 79 SA/NSA/Sub6 - International",,IP68 dust/water resistant (up to 1.5m for 30 min)Mini-LED (85 dots) programmable matrix (on the back)Pressure sensitive zones (Gaming triggers),"256GB 12GB RAM, 512GB 16GB RAM","AI2501-12G256G-BK, AI2501-12G256G-WH, AI2501-16G512G-WH, AI2501-16G512G-BK","Yes, with stereo speakers",No,,,,-26.7 LUFS (Good),Qualcomm SM8750-AB Snapdragon 8 Elite (3 nm),"$ 1,290.00",,,32-bit/384kHz Hi-Res & Hi-Res wireless audio,,Yes,"Android 15, up to 2 major Android upgrades","LED flash, HDR, panorama","GPS (L1+L5), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5), NavIC (L5), GLONASS",UFS 4.0NTFS support for external storage,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 25, 26, 29, 30, 32, 34, 38, 39, 40, 41, 42, 43, 48, 66, 71 - USA","8K@30fps, 4K@30/60/120fps, 1080p@30/60/120/240fps, 720p@480fps; gyro-EIS, HDR10+",163.8 x 76.8 x 8.9 mm (6.45 x 3.02 x 0.35 in),GSM 850 / 900 / 1800 / 1900,$ 899.99,,,"2024, November 19","1080 x 2400 pixels, 20:9 ratio (~388 ppi density)","$ 899.99 / £ 925.12 / € 1,099.00","1, 2, 3, 5, 7, 8, 12, 18, 20, 25, 26, 29, 30, 38, 40, 41, 48, 66, 71, 77, 78, 79 SA/NSA/Sub6 - USA",,,,"Available. Released 2024, November 20",,,No,,"Glass front (Gorilla Glass Victus 2), glass back (Gorilla Glass), aluminum frame",,"Panorama, HDR","Phantom Black, Storm White",227 g (8.01 oz),"6.78 inches, 111.0 cm2(~88.2% screen-to-body ratio)",5800 mAh,"1, 3, 5, 8, 28, 41, 77, 78, 79 SA/NSA/Sub6 - China",Adreno 830,Asus ROG Phone 9,"1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 25, 26, 28, 32, 34, 38, 39, 40, 41, 42, 43, 48, 66 - International"
"1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 25, 26, 29, 30, 32, 34, 38, 39, 40, 41, 42, 43, 48, 66, 71 - USA",,Octa-core (1x3.3 GHz Cortex-X4 & 3x3.2 GHz Cortex-A720 & 2x3.0 GHz Cortex-A720 & 2x2.3 GHz Cortex-A520),https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-11-ultra.jpg,,1080p@30fps,"65W wired, PD3.0, PPS, QC5, 100% in 39 min15W wireless (Qi)10W reverse wired","Wi-Fi 802.11 a/b/g/n/ac/6e/7, tri-band, Wi-Fi Direct",,Corning Gorilla Glass Victus 2,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,"5.4, A2DP, LE, aptX HD, aptX Adaptive, aptX Lossless",Asus,,"32 MP, f/2.5, 22mm (wide), 1/3.2"", 0.7µm","50 MP, f/1.9, 24mm (wide), 1/1.56"", 1.0µm, PDAF, gimbal OIS32 MP, f/2.4, 65mm (telephoto), 1/3.2"", 0.7µm, PDAF, OIS, 3x optical zoom13 MP, f/2.2, 13mm, 120˚ (ultrawide), 1/3.0"", 1.12µm",IP68 dust/water resistant (up to 1.5m for 30 min),"AnTuTu: 1640547 (v9), 2147516 (v10)GeekBench: 5699 (v5), 7085 (v6)3DMark: 5246 (Wild Life Extreme)",,"LTPO AMOLED, 144Hz, HDR10, 1600 nits (HBM), 2500 nits (peak)",,,,1773 nits max brightness (measured),,,GSM / HSPA / LTE / 5G,,,USB Type-C,Active use score 16:28h,,,"HSPA, LTE, 5G",,,Yes,Nano-SIM + Nano-SIM,"1, 2, 3, 5, 7, 8, 12, 18, 20, 25, 26, 28, 38, 40, 41, 48, 66, 77, 78, 79 SA/NSA/Sub6 - International",,32-bit/384kHz Hi-Res & Hi-Res wireless audio,"256GB 12GB RAM, 512GB 16GB RAM","AI2401, ASUS_AI2401_H","Yes, with stereo speakers",No,,,,-26.6 LUFS (Good),Qualcomm SM8650-AB Snapdragon 8 Gen 3 (4 nm),"$ 1,149.00",,,,,Yes,"Android 14, up to 2 major Android upgrades","LED flash, HDR, panorama","GPS (L1+L5), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5), NavIC, GLONASS",,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","1, 2, 3, 5, 7, 8, 12, 18, 20, 25, 26, 29, 30, 38, 40, 41, 48, 66, 71, 77, 78, 79 SA/NSA/Sub6 - USA","8K@24fps, 4K@30/60fps, 1080p@30/60/120/240fps, 720p@480fps; gyro-EIS, HDR10+",163.8 x 76.8 x 8.9 mm (6.45 x 3.02 x 0.35 in),GSM 850 / 900 / 1800 / 1900,$ 749.95,,,"2024, March 14","1080 x 2400 pixels, 20:9 ratio (~388 ppi density)",$ 749.95 / £ 594.06 / € 809.99,Always-on display,,,,"Available. Released 2024, April 14",,,No,,"Glass front (Gorilla Glass Victus 2), aluminum frame, glass back",,"Panorama, HDR","Eternal Black, Skyline Blue, Misty Gray, Desert Sand",224 g (7.90 oz),"6.78 inches, 111.0 cm2(~88.2% screen-to-body ratio)",5500 mAh,UFS 4.0,Adreno 750,Asus Zenfone 11 Ultra,"1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 25, 26, 28, 32, 34, 38, 39, 40, 41, 42, 43, 48, 66 - International"
CDMA 800,,Octa-core (1x3.3 GHz Cortex-X4 & 3x3.2 GHz Cortex-A720 & 2x3.0 GHz Cortex-A720 & 2x2.3 GHz Cortex-A520),https://fdn2.gsmarena.com/vv/bigpic/asus-rog-phone-8-pro.jpg,,1080p@30fps,"65W wired, PD3.0, PPS, QC5, 100% in 39 min - International30W wired, PD3.0, PPS - India15W wireless (Qi)10W reverse wired","Wi-Fi 802.11 a/b/g/n/ac/6e/7, tri-band, Wi-Fi Direct",,Corning Gorilla Glass Victus 2,HSDPA 850 / 900 / 1700(AWS) / 1800 / 1900 / 2100 - International,"5.4, A2DP, LE, aptX HD, aptX Adaptive, aptX Lossless",Asus,,"32 MP, f/2.5, 22mm (wide), 1/3.2"", 0.7µm","50 MP, f/1.9, 24mm (wide), 1/1.56"", 1.0µm, PDAF, gimbal OIS32 MP, f/2.4, (telephoto), 1/3.2"", 0.7µm, PDAF, OIS, 3x optical zoom13 MP, f/2.2, 13mm, 120˚ (ultrawide)","1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 25, 26, 29, 30, 32, 34, 38, 39, 40, 41, 42, 43, 48, 66, 71 - USA","AnTuTu: 1639368 (v9), 2167612 (v10)GeekBench: 6542 (v5), 7178 (v6)GFXBench: 163fps (offscreen 1080p)",,"LTPO AMOLED, 1B colors, 165Hz, HDR10, 1600 nits (HBM), 2500 nits (peak)",,,,1765 nits max brightness (measured),,,GSM / CDMA / HSPA / LTE / 5G,,,"USB Type-C (side), DisplayPort 1.4; USB Type-C (bottom), OTG",Active use score 14:43h,,,"HSPA, LTE (Up to 7CA), 5G",,UFS 4.0NTFS support for external storage,Yes,Nano-SIM + Nano-SIM,"1, 2, 3, 5, 7, 8, 12, 18, 20, 25, 26, 28, 38, 40, 41, 48, 66, 77, 78, 79 SA/NSA/Sub6 - International",,Always-On display,"512GB 16GB RAM, 1TB 24GB RAM","AI2401, AI2401_A","Yes, with stereo speakers",No,,,,-26.3 LUFS (Good),Qualcomm SM8650-AB Snapdragon 8 Gen 3 (4 nm),"$ 1,119.00",,,,,Yes,"Android 14, up to 2 major Android upgrades","LED flash, HDR, panorama","GPS (L1+L5), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5), NavIC (L5), GLONASS",32-bit/384kHz Hi-Res & Hi-Res wireless audio,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100 - USA,"8K@24fps, 4K@30/60fps, 1080p@30/60/120/240fps, 720p@480fps; gyro-EIS, HDR10+",163.8 x 76.8 x 8.9 mm (6.45 x 3.02 x 0.35 in),GSM 850 / 900 / 1800 / 1900,,,,"2024, January 08","1080 x 2400 pixels, 20:9 ratio (~388 ppi density)","$ 1,119.00 / € 1,099.00","1, 2, 3, 5, 7, 8, 12, 18, 20, 25, 26, 29, 38, 40, 41, 48, 66, 71, 77, 78, 79 SA/NSA/Sub6 - USA",,,,"Available. Released 2024, January 18",Photo/Video,,No,,"Glass front (Gorilla Glass Victus 2), glass back (Gorilla Glass), aluminum frame",,"Panorama, HDR",Phantom Black,225 g (7.94 oz),"6.78 inches, 111.0 cm2(~88.2% screen-to-body ratio)",5500 mAh,IP68 dust/water resistant (up to 1.5m for 30 min)341 Mini-LED programmable matrix (on the back)Pressure sensitive zones (Gaming triggers),Adreno 750,Asus ROG Phone 8 Pro,"1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 25, 26, 28, 32, 34, 38, 39, 40, 41, 42, 43, 48, 66 - International"
CDMA 800,,Octa-core (1x3.3 GHz Cortex-X4 & 3x3.2 GHz Cortex-A720 & 2x3.0 GHz Cortex-A720 & 2x2.3 GHz Cortex-A520),https://fdn2.gsmarena.com/vv/bigpic/asus-rog-phone-8.jpg,,1080p@30fps,"65W wired, PD3.0, PPS, QC5, 100% in 39 min - International30W wired, PD3.0, PPS - India15W wireless (Qi)10W reverse wired","Wi-Fi 802.11 a/b/g/n/ac/6e/7, tri-band, Wi-Fi Direct",,Corning Gorilla Glass Victus 2,HSDPA 850 / 900 / 1700(AWS) / 1800 / 1900 / 2100 - International,"5.4, A2DP, LE, aptX HD, aptX Adaptive, aptX Lossless",Asus,,"32 MP, f/2.5, 22mm (wide), 1/3.2"", 0.7µm","- International model -50 MP, f/1.9, 24mm (wide), 1/1.56"", 1.0µm, PDAF, gimbal OIS32 MP, f/2.4, (telephoto), 1/3.2"", 0.7µm, PDAF, OIS, 3x optical zoom13 MP, f/2.2, 13mm, 120˚ (ultrawide), 1/3.0"", 1.12µm- SEA/China/India model -50 MP, f/1.9, 24mm (wide), 1/1.56"", 1.0µm, PDAF, gimbal OIS13 MP, f/2.2, 13mm, 120˚ (ultrawide), 1/3.0"", 1.12µm5 MP, f/2.4, (macro)","1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 25, 26, 29, 30, 32, 34, 38, 39, 40, 41, 42, 43, 48, 66, 71 - USA",,,"LTPO AMOLED, 1B colors, 165Hz, HDR10, 1600 nits (HBM), 2500 nits (peak)",,,,,,,GSM / CDMA / HSPA / LTE / 5G,,,"USB Type-C (side), DisplayPort 1.4; USB Type-C (bottom), OTG",,,,"HSPA, LTE (Up to 7CA), 5G",,UFS 4.0NTFS support for external storage,Yes,Nano-SIM + Nano-SIM,"1, 2, 3, 5, 7, 8, 12, 18, 20, 25, 26, 28, 38, 40, 41, 48, 66, 77, 78, 79 SA/NSA/Sub6 - International",$ 959.00,Always-On display,"256GB 12GB RAM, 256GB 16GB RAM","AI2401, AI2401_A","Yes, with stereo speakers",No,,,,,Qualcomm SM8650-AB Snapdragon 8 Gen 3 (4 nm),,,,,,Yes,"Android 14, up to 2 major Android upgrades","LED flash, HDR, panorama","GPS (L1+L5), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5), NavIC (L5), GLONASS",32-bit/384kHz Hi-Res & Hi-Res wireless audio,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100 - USA,"8K@24fps, 4K@30/60fps, 1080p@30/60/120/240fps, 720p@480fps; gyro-EIS, HDR10+",163.8 x 76.8 x 8.9 mm (6.45 x 3.02 x 0.35 in),GSM 850 / 900 / 1800 / 1900,£ 830.45,,,"2024, January 08","1080 x 2400 pixels, 20:9 ratio (~388 ppi density)",$ 959.00 / £ 830.45 / € 793.81,"1, 2, 3, 5, 7, 8, 12, 18, 20, 25, 26, 29, 38, 40, 41, 48, 66, 71, 77, 78, 79 SA/NSA/Sub6 - USA",,,,"Available. Released 2024, January 18",,,No,,"Glass front (Gorilla Glass Victus 2), glass back (Gorilla Glass), aluminum frame",,"Panorama, HDR","Phantom Black,  Rebel Grey",225 g (7.94 oz),"6.78 inches, 111.0 cm2(~88.2% screen-to-body ratio)",5500 mAh,IP68 dust/water resistant (up to 1.5m for 30 min)Illuminated RGB logo (on the back)Pressure sensitive zones (Gaming triggers),Adreno 750,Asus ROG Phone 8,"1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 25, 26, 28, 32, 34, 38, 39, 40, 41, 42, 43, 48, 66 - International"
IP68 dust/water resistant (up to 1.5m for 30 min),,Octa-core (1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone10.jpg,,1080p@30fps,"30W wired, PD3.0, PPS, QC415W wireless5W reverse wired","Wi-Fi 802.11 a/b/g/n/ac/6e/7, tri-band, Wi-Fi Direct",,Corning Gorilla Glass Victus,HSDPA 850 / 900 / 1700(AWS) / 1800 / 1900 / 2100,"5.3, A2DP, LE, aptX HD, aptX Adaptive, aptX Lossless",Asus,,"32 MP, f/2.5, (wide), 1/3.2"", 0.7µm",,UFS 4.0,"AnTuTu: 1314458 (v9), 1583804 (v10)GeekBench: 5149 (v5.5), 5698 (v6.0)GFXBench: 115fps (ES 3.1 onscreen)",,"Super AMOLED, 144Hz, HDR10+, 800 nits (HBM), 1100 nits (peak)",,,"50 MP, f/1.9, 24mm (wide), 1/1.56"", 1.0µm, multi-directional PDAF, gimbal OIS13 MP, f/2.2, 120° (ultrawide), 1/3.06"", 1.12µm",807 nits max brightness (measured),,$ 699.00,GSM / HSPA / LTE / 5G,,,"USB Type-C 2.0, OTG",Active use score 13:05h,$ 698.00,,"HSPA, LTE (CA), 5G",Endurance rating 109h,,Yes,Nano-SIM + Nano-SIM,"1, 2, 3, 5, 7, 8, 12, 20, 28, 38, 41, 77, 78 SA/NSA",,,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 16GB RAM, 512GB 16GB RAM",AI2302,"Yes, with stereo speakers",No,,,,-27.1 LUFS (Good),Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm),"C$ 1,649.00",,,,,Yes,"Android 13, up to 2 major Android upgrades","LED flash, HDR, panorama","GPS (L1+L5), GLONASS (L1), BDS (B1I+B2a), GALILEO (E1+E5a), QZSS (L1+L5), NavIC (L5)",,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",Always-on display*144Hz only available in supported games,"8K@24fps, 4K@30/60fps, 1080p@30/60fps; gyro-EIS, HDR",146.5 x 68.1 x 9.4 mm (5.77 x 2.68 x 0.37 in),GSM 850 / 900 / 1800 / 1900,,,,"2023, June 29","1080 x 2400 pixels, 20:9 ratio (~445 ppi density)","$ 698.00 / C$ 1,199.00 / £ 449.00 / € 549.00",24-bit/192kHz Hi-Res audioSnapdragon Sound,,,,"Available. Released 2023, July 10",Photo/Video,,No,,"Glass front, aluminum frame, plastic back",,,"Starry Blue, Midnight Black, Aurora Green, Eclipse Red, Comet White",172 g (6.07 oz),"5.92 inches, 84.6 cm2(~84.8% screen-to-body ratio)",Li-Po 4300 mAh,,Adreno 740,Asus Zenfone 10,"1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 26, 28, 34, 38, 39, 40, 41, 42"
CDMA 800,,Octa-core (1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),https://fdn2.gsmarena.com/vv/bigpic/asus-rog-phone-7-ultimate.jpg,,1080p@30fps,"65W wired, PD3.0, QC5, 100% in 42 min10W reverse wired","Wi-Fi 802.11 a/b/g/n/ac/6e/7, tri-band, Wi-Fi Direct",,Corning Gorilla Glass Victus,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,"5.3, A2DP, LE, aptX HD, aptX Adaptive, aptX Lossless",Asus,,"32 MP, f/2.5, 29mm (wide), 1/3.2"", 0.7µm","50 MP, f/1.9, 24mm (wide), 1/1.56"", 1.0µm, PDAF13 MP, f/2.2, 13mm, 120˚ (ultrawide)5 MP, f/2.0, (macro)","1, 2, 3, 4, 5, 7, 8, 18, 19, 26, 28, 34, 38, 39, 40, 41, 42, 48 - China","AnTuTu: 1325105 (v9)GeekBench: 5139 (v5.5), 5567 (v6)GFXBench: 107fps (ES 3.1 onscreen)",,"AMOLED, 1B colors, 165Hz, HDR10+, 1000 nits (HBM), 1500 nits (peak)",,,,1095 nits max brightness (measured),,,GSM / CDMA / HSPA / LTE / 5G,,,"USB Type-C 3.1 (side), DisplayPort 1.4; USB Type-C 2.0 (bottom), OTG, accessory connector",,,,"HSPA, LTE (Up to 7CA), 5G",Endurance rating 131h,UFS 4.0NTFS support for external storage,Yes,Nano-SIM + Nano-SIM,"1, 2, 3, 5, 7, 8, 12, 18, 20, 25, 26, 28, 38, 40, 41, 48, 66, 77, 78, 79 SA/NSA/Sub6 - International",,"Built-in motorized cooling air vent (AeroActive Portal)IP54, dust and splash resistant2"" OLED display (on the back)Pressure sensitive zones (Gaming triggers)",512GB 16GB RAM,,"Yes, with stereo speakers (2 amplifiers)",No,,,,-25.5 LUFS (Very good),Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm),"$ 3,129.00",,,,,Yes,"Android 13, up to 2 major Android upgrades","LED flash, HDR, panorama","GPS (L1+L5), GLONASS (L1), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5), NavIC (L5)",32-bit/384kHz Hi-Res audioSnapdragon Sound,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 25, 26, 29, 30, 32, 34, 39, 40, 41, 42, 43, 48, 66, 71 - USA","8K@24fps, 4K@30/60fps, 1080p@30/60/120/240fps, 720p@480fps; gyro-EIS, HDR10+",173 x 77 x 10.3 mm (6.81 x 3.03 x 0.41 in),GSM 850 / 900 / 1800 / 1900,,,,"2023, April 13",1080 x 2448 pixels (~395 ppi density),$ 733.51,"1, 2, 3, 5, 7, 8, 12, 18, 20, 25, 26, 29, 30, 38, 40, 41, 48, 66, 71, 77, 78, 79 SA/NSA/Sub6 - USA",,,,"Available. Released 2023, May",Photo/Video,,No,,"Glass front (Gorilla Glass Victus), glass back (Gorilla Glass 3), aluminum frame",,"Panorama, HDR",Storm White,239 g (8.43 oz),"6.78 inches, 109.5 cm2(~82.2% screen-to-body ratio)",Li-Po 6000 mAh,"1, 3, 5, 8, 28, 41, 77, 78, 79 SA/NSA/Sub6 - China",Adreno 740,Asus ROG Phone 7 Ultimate,"1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 25, 26, 28, 32, 34, 38, 39, 40, 41, 42, 43, 48, 66 - International"
